DateTime,AddedIPs,RemovedIPs
1472998089,0,1
1473005249,1,0
1473034016,0,1
1473037616,3,1
1473044846,1,0
1473052065,0,2
1473055628,1,0
1473059231,1,1
1473066445,0,1
1473070034,1,0
1473073628,1,0
1473080829,0,1
1473084414,0,1
1473088038,1,0
1473091609,1,1
1473098845,1,0
1473102430,0,1
1473106048,1,1
1473109642,1,0
1473124054,1,1
1473127681,1,1
1473131230,0,2
1473138446,0,1
1473142029,1,0
1473149230,0,1
1473160004,1,0
1473178040,0,1
1473185278,1,0
1473203285,0,2
1473210455,2,0
1473232046,0,3
1473239219,3,0
1473242808,0,1
1473250054,1,0
1473260872,0,1
1473264399,1,0
1473329283,0,3
1473332836,3,0
1473347240,0,2
1473358034,2,0
1473361663,0,1
1473365232,0,1
1473379675,1,0
1473383239,3,1
1473397705,0,2
1473401268,2,0
1473404856,0,2
1473408459,1,0
1473412077,0,2
1473415715,0,1
1473419231,4,0
1473422889,0,1
1473426463,3,0
1473440822,0,1
1473444506,1,4
1473448099,1,0
1473451684,0,1
1473455288,3,0
1473458975,0,1
1473462451,1,1
1473469695,1,0
1473476851,0,2
1473480521,0,1
1473484068,1,0
1473498458,0,1
1473502069,0,1
1473505629,0,1
1473509259,1,0
1473512817,1,0
1473520081,1,0
1473527257,0,1
1473545294,1,1
1473552499,0,2
1473559949,2,0
1473563248,0,1
1473570450,2,0
1473574025,0,1
1473577677,1,0
1473595655,0,1
1473610028,1,0
1473624478,0,1
1473628054,1,0
1473631634,0,1
1473642496,0,1
1473649645,1,1
1473656859,0,2
1473664040,1,0
1473667631,3,0
1473682041,0,2
1473685648,1,1
1473692854,1,0
1473710818,1,0
1473718168,0,1
1473725370,1,0
1473728823,0,1
1473732483,0,1
1473736037,2,0
1473739659,0,1
1473746826,1,0
1473750425,0,1
1473754018,0,2
1473757627,2,0
1473761237,2,0
1473764854,0,1
1473768431,1,0
1473775638,0,1
1473779237,1,0
1473782844,1,0
1473793658,0,1
1473797237,0,1
1473800829,1,0
1473804500,0,1
1473811691,1,0
1473815240,0,1
1473818851,0,1
1473822430,0,1
1473826032,2,0
1473829634,0,1
1473836835,0,1
1473840441,1,1
1473844044,1,0
1473851236,1,0
1473883624,0,2
1473887251,0,1
1473894467,1,0
1473898073,1,0
1473916030,1,0
1473926803,0,1
1473934034,1,0
1473980843,0,1
1473984539,1,0
1473995240,0,1
1473998878,1,1
1474013207,0,1
1474016835,1,0
1474020457,0,1
1474024042,1,0
1474027710,1,0
1474034864,0,1
1474042044,1,0
1474045632,0,1
1474049248,0,1
1474052856,1,1
1474056433,1,0
1474063665,0,1
1474067249,0,2
1474074453,0,1
1474078066,1,0
1474085249,1,0
1474088861,1,0
1474092480,2,0
1474096023,1,0
1474099625,1,0
1474103275,1,0
1474117638,0,1
1474121250,0,1
1474124846,0,1
1474128413,1,0
1474132025,1,1
1474135652,0,1
1474146451,2,0
1474153691,1,0
1474160861,0,3
1474164509,1,0
1474168020,0,3
1474171715,1,0
1474175258,0,1
1474186031,1,0
1474193251,1,1
1474196846,1,0
1474218445,0,1
1474222055,0,2
1474229302,3,0
1474258073,0,1
1474261654,1,0
1474265240,0,1
1474268844,1,0
1474272431,0,1
1474276030,1,1
1474279672,1,0
1474283228,0,1
1474288267,1,0
1474366256,0,1
1474373749,1,0
1474427268,0,1
1474435179,1,0
1474475621,0,1
1474477648,0,1
1474489095,1,0
1474493344,1,0
1474506416,0,4
1474510294,1,1
1474521840,1,0
1474543093,0,1
1474547549,1,0
1474575435,3,0
1474665048,0,1
1474668960,0,1
1474672673,2,0
1474787531,0,1
1474791167,0,1
1474794520,1,0
1474798296,0,1
1474801873,1,0
1474809004,0,1
1474812807,2,0
1474855970,0,1
1474859518,0,2
1475086019,0,1
1475089618,1,1
1475096822,1,0
1475104033,0,1
1475111213,0,1
1475126263,1,0
1475129539,1,0
1475133561,2,0
1475140546,2,0
1475147223,0,1
1475162230,0,1
1475166006,1,0
1475195336,0,2
1475197891,0,1
1475231532,0,1
1475235142,1,0
1475298578,0,1
1475302408,2,1
1475310755,3,0
1475352858,0,1
1475367390,0,2
1475370893,0,2
1475374274,4,1
1475385424,1,0
1475399452,0,3
1475403429,3,0
1475417826,1,0
1475431716,0,1
1475435327,0,1
1475442643,0,2
1475446104,1,1
1475449940,2,0
1475453914,2,0
1475464112,0,3
1475489642,0,3
1475496599,2,0
1475500056,1,0
1475543339,0,1
1475554110,1,0
1475577139,3,0
1475580737,1,0
1475590062,0,1
1475607999,0,1
1475615206,1,0
1475636810,0,1
1475644019,1,2
1475647621,1,0
1475651210,1,1
1475654816,0,1
1475658417,1,0
1475669210,0,1
1475672819,1,0
1475680143,0,1
1475683606,2,0
1475698009,0,1
1475705218,0,1
1475712407,1,0
1475719606,0,1
1475723206,0,1
1475752011,0,1
1475762812,1,0
1475791612,0,1
1475795222,1,0
1475809615,0,1
1475816808,1,0
1475845613,0,1
1475852805,1,1
1475856415,1,0
1475946419,0,1
1475950018,1,0
1475953618,0,1
1475957211,1,0
1475960827,1,0
1475964424,1,1
1475971616,0,2
1475975209,1,0
1475982399,0,1
1475986008,1,0
1475989606,1,0
1475996808,2,0
1476000403,0,2
1476004008,0,1
1476007620,1,0
1476014812,1,1
1476029212,1,0
1476036407,1,0
1476040005,0,1
1476043588,0,2
1476050811,1,1
1476054410,1,0
1476061614,0,1
1476065216,1,1
1476072404,0,1
1476076016,1,0
1476094014,0,1
1476097612,0,1
1476101213,1,0
1476108422,1,0
1476151599,0,1
1476176819,1,0
1476194819,0,1
1476205620,0,1
1476227210,2,0
1476245220,1,0
1476252410,1,1
1476256016,1,0
1476266815,1,0
1476281210,0,1
1476284836,1,1
1476288421,1,0
1476295611,0,2
1476302824,2,0
1476313620,0,1
1476320806,0,1
1476328004,1,1
1476331622,0,2
1476335213,3,0
1476346016,1,0
1476360416,0,1
1476364034,1,0
1476367611,0,1
1476374820,0,1
1476378420,0,1
1476382024,2,0
1476385627,1,0
1476407224,0,1
1476414409,0,2
1476443221,0,1
1476461227,1,0
1476558407,0,1
1476562015,0,1
1476565609,2,0
1476594405,0,1
1476598005,1,1
1476601621,1,0
1476616008,0,1
1476626807,1,0
1476651998,0,1
1476655620,1,0
1476659191,0,1
1476666425,1,0
1476673622,0,1
1476695211,0,1
1476698833,1,0
1476702426,0,1
