DateTime,Entries,UniqueIPs
1477101859,1551,1551
1477103800,1551,1551
1477105694,1549,1549
1477107609,2683,2683
1477109545,2671,2671
1477111447,2665,2665
1477113375,2660,2660
1477115316,2651,2651
1477117209,2650,2650
1477119133,2647,2647
1477121058,2436,2436
1477122979,2441,2441
1477124895,2407,2407
1477126872,2407,2407
1477128741,2407,2407
1477130655,2409,2409
1477132594,2413,2413
1477134493,2431,2431
1477136417,2432,2432
1477138354,2428,2428
1477140249,2427,2427
1477142176,2432,2432
1477144101,2431,2431
1477146029,2426,2426
1477147943,2427,2427
1477149866,2439,2439
1477151787,2440,2440
1477153699,2440,2440
1477155689,2433,2433
1477157543,2438,2438
1477159472,2433,2433
1477161396,2431,2431
1477163302,2429,2429
1477165213,2646,2646
1477167153,2640,2640
1477169052,2642,2642
1477171020,2641,2641
1477172910,2641,2641
1477174831,2636,2636
1477176739,2629,2629
1477178740,2622,2622
1477180580,2621,2621
1477182511,2624,2624
1477184469,2624,2624
1477186406,2626,2626
1477188279,2629,2629
1477190206,2647,2647
1477192113,2650,2650
1477194015,2353,2353
1477195953,2357,2357
1477197855,2363,2363
1477199813,2368,2368
1477201722,2374,2374
1477203666,2372,2372
1477205544,2371,2371
1477207545,2366,2366
1477209387,2362,2362
1477211300,2084,2084
1477213339,1774,1774
1477215149,1494,1494
1477217085,1477,1477
1477218997,1475,1475
1477220914,1472,1472
1477222817,1481,1481
1477224764,1487,1487
1477226658,1490,1490
1477228592,1490,1490
1477230528,1498,1498
1477232435,1502,1502
1477234347,1502,1502
1477236262,1493,1493
1477238186,1477,1477
1477240108,1476,1476
1477242094,1483,1483
1477243943,1482,1482
1477245962,1473,1473
1477247800,1470,1470
1477249768,1479,1479
1477251709,1224,1224
1477253650,1222,1222
1477255493,1213,1213
1477257630,1228,1228
1477259665,1228,1228
1477261517,1237,1237
1477263450,1239,1239
1477265380,1239,1239
1477267259,1241,1241
1477269148,1245,1245
1477271066,1243,1243
1477272990,1243,1243
1477274904,1234,1234
1477276839,1222,1222
1477278744,1221,1221
1477280652,1223,1223
1477282593,1215,1215
1477284511,1217,1217
1477286412,1201,1201
1477288342,1206,1206
1477290253,1213,1213
1477292184,1216,1216
1477294122,1223,1223
1477296062,1225,1225
1477297936,1196,1196
1477299883,1191,1191
1477301775,1181,1181
1477303695,1187,1187
1477305630,1188,1188
1477307547,1188,1188
1477309455,1203,1203
1477311382,1902,1902
1477313294,1912,1912
1477315237,1911,1911
1477317147,1922,1922
1477319201,1929,1929
1477321115,1930,1930
1477323145,1931,1931
1477325055,1934,1934
1477326988,1945,1945
1477328896,1946,1946
1477330831,1956,1956
1477332744,1956,1956
1477334647,1961,1961
1477336607,1957,1957
1477338519,1966,1966
1477340413,1961,1961
1477342357,1967,1967
1477344251,1963,1963
1477346182,1969,1969
1477348093,1965,1965
1477350067,1969,1969
1477351941,1975,1975
1477353853,1982,1982
1477355774,1986,1986
1477357713,1988,1988
1477359613,1988,1988
1477361574,1986,1986
1477363460,1986,1986
1477365382,1984,1984
1477367300,1988,1988
1477369218,1994,1994
1477371143,1996,1996
1477373048,1995,1995
1477374987,1993,1993
1477376906,2005,2005
1477378877,2000,2000
1477380747,1987,1987
1477382655,1966,1966
1477384580,1950,1950
1477386509,1953,1953
1477388424,1953,1953
1477390365,1955,1955
1477392255,1989,1989
1477394179,1990,1990
1477396102,1972,1972
1477398288,1316,1316
1477400182,1314,1314
1477402107,1355,1355
1477404061,1360,1360
1477405942,1364,1364
1477407865,1373,1373
1477409786,1380,1380
1477411720,1397,1397
1477413625,1401,1401
1477415583,1404,1404
1477417456,1403,1403
1477419540,1413,1413
1477421547,1417,1417
1477423466,1418,1418
1477425377,1431,1431
1477427299,1436,1436
1477429273,1443,1443
1477431142,1445,1445
1477433321,1437,1437
1477435215,1447,1447
1477437179,1450,1450
1477439053,1448,1448
1477440992,1444,1444
1477442901,1436,1436
1477444827,1438,1438
1477446751,1441,1441
1477448674,1448,1448
1477450580,1447,1447
1477452505,1449,1449
1477454502,1456,1456
1477456349,1464,1464
1477458270,1464,1464
1477460196,1467,1467
1477462139,1452,1452
1477464046,1458,1458
1477465948,1458,1458
1477467851,1468,1468
1477470045,1412,1412
1477471941,1415,1415
1477473856,1413,1413
1477475806,1509,1509
1477477701,1629,1629
1477479697,1620,1620
1477481555,1594,1594
1477483456,1584,1584
