DateTime,AddedIPs,RemovedIPs
1477152059,0,1
1477153447,1,0
1477154175,0,2
1477157779,1,1
1477158513,2,0
1477159262,0,3
1477159939,0,1
1477161388,0,1
1477162100,0,1
1477162857,0,1
1477165700,1,0
1477166459,1,0
1477167145,0,2
1477168582,0,1
1477169300,1,0
1477170066,1,0
1477170742,0,1
1477171450,1,2
1477172189,1,0
1477174341,0,88
1477179395,1,0
1477180852,8,0
1477182249,1,0
1477182977,2,0
1477183709,2,0
1477186618,1,0
1477193791,2,0
1477194498,0,1
1477199542,0,1
1477200994,0,1
1477201713,2,0
1477202475,1,0
1477204589,1,0
1477206766,0,1
1477216864,2,0
1477217543,0,1
1477219703,1,0
1477221854,1,0
1477222587,2,0
1477223304,2,1
1477225447,1,0
1477227662,2,0
1477228368,0,1
1477229054,1,0
1477229776,1,0
1477234099,0,2
1477237016,1,0
1477239852,2,0
1477245670,1,0
1477247047,3,0
1477252113,1,0
1477253641,2,0
1477255698,1,0
1477264588,2,4
1477265372,8,1
1477266733,2,40
1477268905,0,1
1477269614,0,1
1477273966,3,0
1477274689,2,0
1477276113,2,0
1477280411,1,0
1477281138,1,0
1477286909,0,1
1477288334,1,0
1477289065,1,0
1477289813,0,2
1477291210,1,0
1477293428,1,0
1477297703,5,0
1477298419,1,0
1477299148,1,0
1477301305,2,0
1477302022,1,0
1477306350,1,0
1477307802,1,0
1477308506,1,3
1477309944,1,0
1477311374,0,1
1477313541,0,1
1477315228,1,1
1477315949,0,1
1477319070,1,0
1477321255,1,0
1477323389,3,0
1477326248,2,1
1477326980,1,0
1477332734,1,1
1477334178,3,0
1477335672,2,0
1477339267,0,1
1477349780,1,0
1477351214,0,1
1477356247,1,0
1477357703,1,0
1477359852,0,2
1477360583,2,1
1477362741,1,0
1477366340,1,1
1477369210,2,0
1477369940,1,0
1477372096,0,1
1477372826,2,0
1477374980,0,1
1477375698,1,0
1477376413,1,1
1477378588,1,0
1477379303,0,1
1477380028,1,0
1477380739,3,0
1477381448,2,0
1477382177,1,0
1477383614,0,47
1477384339,1,0
1477388651,1,0
1477390809,2,0
1477394412,1,0
1477398279,1,0
1477401152,0,1
1477402819,2,0
1477403551,2,0
1477404990,0,1
1477407856,1,0
1477409308,0,1
1477410750,1,2
1477411711,0,2
1477412417,0,4
1477416025,3,0
1477418178,1,0
1477418907,1,1
1477422741,1,1
1477424229,2,0
1477425680,1,0
1477429264,1,0
1477432873,2,0
1477434258,3,0
1477435708,2,0
1477437170,3,0
1477440981,2,0
1477443864,1,1
1477446018,1,0
1477446743,2,1
1477447459,1,0
1477450340,1,0
1477452497,0,2
1477453222,0,5
1477454653,1,0
1477456090,1,0
1477456828,1,1
1477461144,0,1
1477464038,0,2
1477466179,1,0
1477467634,0,1
1477470754,0,1
1477472903,1,0
1477473627,2,0
1477475780,1,0
1477478651,2,0
1477480820,0,20
1477481546,2,0
1477482982,1,0
1477483716,0,6
1477484435,1,0
1477487299,1,0
1477490180,0,4
1477494506,1,0
1477495466,2,0
1477496186,1,0
1477496896,1,0
1477497672,4,0
1477499047,1,0
1477501266,1,0
1477502656,1,0
1477506248,73,0
1477506989,84,0
1477507699,4,0
1477508468,52,1
1477509143,3,0
1477509849,56,0
1477510589,109,0
1477511301,111,1
1477512068,133,0
1477512877,164,0
1477513698,51,0
1477514425,44,0
1477515143,21,0
1477520178,0,1
1477526661,0,1
1477528824,1,0
1477529545,0,11
1477532429,0,1
1477533144,0,1
1477535548,0,1
