DateTime,Entries,UniqueIPs
1475669303,2768,2776
1475672893,2767,2775
1475673861,2766,2774
1475676065,2765,2773
1475676992,2766,2774
1475680579,2768,2776
1475681306,2767,2775
1475682046,2766,2774
1475682736,2764,2772
1475684427,2763,2771
1475686574,2762,2770
1475688006,2761,2769
1475688744,2761,2769
1475691629,2761,2769
1475692343,2765,2773
1475693050,2766,2774
1475693783,2765,2773
1475695217,2763,2771
1475697387,2761,2769
1475699539,2760,2768
1475701701,2761,2769
1475705540,2759,2767
1475709858,2760,2768
1475711318,2760,2768
1475712056,2762,2770
1475712854,2761,2769
1475713712,2760,2768
1475714411,2759,2767
1475716588,2759,2767
1475720178,2758,2766
1475720924,2758,2766
1475725931,2756,2764
1475728107,2754,2762
1475730255,2753,2761
1475734581,2754,2762
1475735307,2755,2763
1475739618,2754,2762
1475741800,2753,2761
1475744655,2754,2762
1475746102,2681,2689
1475759053,2680,2688
1475771546,2681,2689
1475772250,2682,2690
1475776580,2683,2691
1475777304,2684,2692
1475797448,2683,2691
1475808254,2681,2689
1475809703,2681,2689
1475814254,2681,2689
1475827944,2680,2688
1475830100,2680,2688
1475830857,2682,2690
1475831535,2683,2691
1475832985,2684,2692
1475833698,2683,2691
1475836589,2684,2692
1475838098,2685,2693
1475839450,2684,2692
1475843054,2685,2693
1475845269,2684,2692
1475845944,2683,2691
1475846657,2682,2690
1475847377,2681,2689
1475850250,2682,2690
1475859666,2681,2689
1475861777,2680,2688
1475864655,2938,2946
1475883378,2937,2945
1475899768,2936,2944
1475906189,2935,2943
1475912646,2934,2942
1475916974,2933,2941
1475930648,2932,2940
1475934985,2931,2939
1475960660,2930,2938
1475964250,2929,2937
1475969545,2928,2936
1475972420,2927,2935
1475989260,2925,2933
1475991392,2924,2932
1475994263,2922,2930
1475997852,2921,2929
1476001456,2920,2928
1476012982,2919,2927
1476015157,2838,2846
1476073229,2838,2846
1476081852,2839,2847
1476085446,2838,2846
1476086177,2837,2845
1476089773,2836,2844
1476094815,2936,2944
1476095595,3060,3069
1476098346,3059,3068
1476103459,3080,3090
1476104186,3208,3219
1476110648,3302,3316
1476111676,3363,3377
1476114087,3362,3376
1476119301,3361,3375
1476120745,3360,3374
1476122185,3359,3373
1476123625,3358,3372
1476130856,3357,3371
1476140205,3356,3370
1476151016,3355,3369
1476153135,3354,3368
1476172586,3353,3367
1476198189,3352,3366
1476200752,3353,3367
1476201385,3352,3366
1476206893,3351,3365
1476217221,3352,3366
1476217942,3353,3367
1476219381,3418,3432
1476220105,3444,3458
1476221548,3564,3579
1476222984,3647,3663
1476226579,3646,3662
1476239055,3645,3661
1476262863,3707,3724
1476263534,3710,3727
1476264255,3795,3812
1476294245,3853,3870
1476294986,3905,3922
1476297852,3904,3921
1476299307,3903,3920
1476305295,3902,3919
1476319692,3901,3918
1476326184,3900,3917
1476336248,3899,3916
1476345662,3898,3915
1476346343,3897,3914
1476347057,3896,3913
1476365774,3895,3912
1476395542,3894,3911
1476396270,3893,3910
1476399850,3892,3909
1476401298,3891,3908
1476423621,3890,3907
1476430100,3889,3906
1476430880,3888,3905
1476432976,3987,4004
1476433693,3997,4014
1476435858,3996,4013
1476438745,4010,4027
1476439452,4015,4032
1476440905,4016,4033
1476441613,4032,4049
1476442344,4047,4064
1476443063,4056,4073
1476443784,4065,4082
1476444504,4085,4102
1476445938,4092,4109
1476446657,4095,4112
1476447382,4123,4140
1476448109,4127,4144
1476448817,4152,4169
1476449546,4153,4170
1476450976,4152,4169
1476459622,4096,4111
1476495379,4095,4110
1476511939,4094,4109
1476515552,4093,4108
1476545056,4092,4107
1476556113,4091,4106
1476576742,4090,4105
1476578892,4089,4104
1476580590,4088,4103
1476609144,4087,4102
1476617047,4086,4101
1476617813,4103,4118
1476619253,4116,4131
1476619946,4120,4135
1476620648,4133,4148
1476621389,4142,4157
1476622093,4158,4173
1476622880,4163,4178
1476636028,4162,4177
1476644674,4161,4176
1476646108,4160,4175
1476666257,4159,4174
1476670581,4158,4173
1476672017,4157,4172
1476679937,4156,4171
1476708737,4155,4170
1476724602,4154,4169
1476742091,4153,4168
1476769450,4154,4169
1476776647,4155,4170
1476786748,4154,4169
1476807617,4153,4168
1476827792,4129,4144
1476836424,4130,4145
1476845781,4131,4146
1476854418,4130,4145
1476858735,4129,4144
1476865935,4128,4143
1476866653,4126,4141
1476867387,4125,4140
1476868826,4124,4139
1476870249,4123,4138
1476870986,4122,4137
1476872408,4121,4136
1476873741,4120,4135
1476874579,4119,4134
1476876751,4120,4135
1476877454,4119,4134
1476879641,4116,4131
1476881048,4115,4130
1476884657,4114,4129
1476886095,4113,4128
1476887542,4112,4127
1476888990,4110,4125
1476891154,4109,4124
1476896999,4110,4125
1476898332,4109,4124
1476901948,4108,4123
1476903376,4107,4122
1476906977,4106,4121
1476909848,4105,4120
1476910577,4104,4119
1476911304,4101,4116
1476914896,4100,4115
1476922335,4099,4114
1476923772,4098,4113
1476925254,4097,4112
1476931694,4096,4111
1476933138,4096,4111
1476934588,4095,4110
1476938911,4094,4109
1476940345,4093,4108
1476944663,4092,4107
1476946861,4005,4020
1476947542,4002,4017
1476948252,4000,4015
1476948983,3999,4014
1476950473,3998,4013
1476951146,3997,4012
1476951852,3995,4010
1476953303,3994,4009
1476956184,3993,4008
1476956902,3992,4007
1476959050,3991,4006
1476959783,3909,3923
1476961263,3818,3831
1476964111,3807,3820
1476964855,3791,3803
1476965553,3779,3791
1476966976,3778,3790
1476967699,3775,3787
1476968463,3681,3692
1476970580,3680,3691
1476977796,3679,3690
1476978509,3678,3689
1476980649,3676,3687
1476986467,3675,3686
1476988585,3676,3687
1476990075,3676,3687
1476991449,3677,3688
1477008741,3675,3686
1477009454,3673,3684
1477010180,3672,3683
1477014500,3671,3682
1477015268,3670,3681
1477020254,3671,3682
1477021701,3672,3683
1477022487,3672,3684
1477027701,3674,3686
1477031311,3673,3685
1477034910,3672,3684
1477039859,3673,3685
1477040667,3672,3684
1477041389,3673,3685
1477043795,3672,3684
1477046651,3671,3683
1477047376,3670,3682
1477050970,3668,3680
1477056738,3669,3681
1477058900,3667,3679
1477059610,3664,3676
1477063230,3663,3675
1477063948,3664,3676
1477066112,3665,3677
1477068163,3664,3676
1477069485,3665,3677
1477070903,3664,3676
1477072345,3647,3659
1477075234,3646,3658
1477077624,3645,3657
1477080535,3644,3656
1477085791,3643,3655
1477093701,3642,3654
1477096582,3641,3653
1477097304,3642,3654
1477100898,3641,3653
1477104501,3642,3654
1477114578,3640,3652
1477126863,3639,3651
1477134060,3640,3652
1477134742,3639,3651
1477140497,3638,3650
1477143393,3636,3648
1477147704,3637,3649
1477148463,3636,3648
1477153447,3637,3649
1477158513,3636,3648
1477164274,3634,3646
1477167145,3632,3644
1477170066,3633,3645
1477174341,3632,3644
1477175793,3630,3642
1477179395,3631,3643
1477182977,3630,3642
1477184460,3629,3641
1477190903,3628,3640
1477201713,3628,3640
1477204589,3627,3639
1477206766,3625,3637
1477209660,3624,3636
1477212556,3623,3635
1477216116,3622,3634
1477222587,3623,3635
1477223304,3622,3635
1477224756,3621,3634
1477227662,3623,3636
1477229776,3622,3635
1477237016,3623,3636
1477241299,3622,3635
1477244182,3621,3634
1477246345,3620,3633
1477264588,3619,3632
1477273966,3618,3631
1477288334,3619,3632
1477293428,3618,3631
1477305620,3617,3630
1477306350,3616,3629
1477307063,3615,3628
1477309944,3614,3627
1477315949,3613,3626
1477324106,3611,3624
1477332734,3611,3624
1477333470,3610,3623
1477334178,3612,3625
1477335672,3613,3626
1477336346,3612,3625
1477337795,3611,3624
1477342349,3609,3622
1477344034,3608,3621
1477349050,3607,3620
1477349780,3608,3621
1477353376,3607,3620
1477356247,3606,3619
1477362741,3606,3619
1477364905,3605,3618
1477380739,3604,3617
1477386501,3603,3616
1477387223,3602,3615
1477387945,3601,3614
1477392247,3600,3613
1477399712,3599,3612
1477402098,3598,3611
1477407856,3599,3612
1477409308,3598,3611
1477422741,3598,3611
1477424229,3597,3610
1477430652,3596,3609
1477432099,3595,3608
1477432873,3596,3609
1477434258,3596,3609
1477437170,3597,3610
1477438819,3596,3609
1477443864,3595,3608
1477448895,3594,3607
1477450340,3594,3607
1477466179,3595,3608
1477470754,3594,3607
1477475780,3556,3568
1477477948,3555,3567
1477481546,3556,3568
1477482982,3555,3567
1477487299,3526,3537
1477488034,3523,3534
1477489455,3518,3529
1477490180,3517,3528
1477490910,3514,3525
1477492352,3513,3524
1477494506,3512,3523
1477495466,3511,3522
1477496186,3510,3521
1477496896,3509,3520
1477497672,3510,3521
1477498336,3509,3520
1477499047,3396,3407
1477506248,3435,3446
1477506989,3481,3492
1477507699,3483,3494
1477508468,3504,3515
1477509143,3506,3517
1477509849,3531,3542
1477510589,3589,3600
1477511301,3626,3638
1477512068,3682,3694
1477512877,3751,3763
1477513698,3776,3788
1477514425,3789,3801
1477515143,3803,3815
1477525946,3802,3814
1477528824,3802,3815
1477549228,3801,3814
1477586421,3791,3804
1477601297,3790,3803
1477612862,3789,3802
1477631541,3788,3801
1477669211,3826,3840
1477669940,3829,3843
1477670755,3837,3851
1477672110,3871,3885
1477672812,3885,3899
1477673542,3924,3938
1477674264,3934,3948
1477674983,3951,3965
1477675708,3986,4000
1477676420,4002,4016
1477677171,4007,4021
1477678117,4017,4031
1477678815,4026,4040
1477686983,4025,4039
1477691309,4024,4038
1477716506,4023,4037
1477721542,4022,4036
1477731665,4021,4035
1477749668,4020,4034
1477766226,4022,4036
1477769541,4021,4035
1477786339,4020,4034
1477789253,4019,4033
1477792878,4018,4032
1477803668,4017,4031
1477807355,4016,4030
1477809611,4015,4029
1477811794,4014,4028
1477819944,4013,4027
1477820653,4012,4026
1477827146,4011,4025
1477828581,4039,4053
1477830031,4038,4052
1477830758,4072,4086
1477831449,4102,4116
1477832186,4143,4157
1477832900,4150,4164
1477833632,4161,4175
1477834355,4168,4182
1477835054,4176,4190
1477835778,4178,4192
1477836515,4190,4204
1477837215,4213,4228
1477837942,4216,4231
1477855938,4215,4230
1477856679,4214,4229
1477870355,4213,4228
1477876825,4212,4227
1477886247,4211,4226
1477891967,4210,4225
1477896268,4209,4224
1477909231,4208,4223
1477920018,4207,4222
1477921452,4206,4221
1477922177,4206,4221
1477926064,4228,4243
1477926753,4231,4246
1477927707,4250,4265
1477928422,4254,4269
1477929862,4290,4305
1477931308,4300,4315
1477932027,4303,4318
1477932755,4304,4319
1477933464,4316,4331
1477934180,4337,4352
1477934916,4339,4354
1477935613,4364,4379
1477936346,4410,4426
1477937058,4434,4450
1477937786,4448,4464
1477938508,4481,4497
1477939219,4489,4505
1477939946,4500,4516
1477940670,4518,4534
1477941376,4519,4535
1477944291,4518,4534
1477952895,4517,4533
1477956496,4516,4532
1477975700,4515,4531
1477983677,4514,4530
1477985781,4513,4529
1477999696,4512,4528
1478000435,4511,4527
1478009068,4510,4526
1478029447,4509,4525
1478051786,4508,4524
1478075074,4506,4522
