DateTime,Entries,UniqueIPs
1477458264,5600,5630
1477458977,5595,5625
1477459699,5602,5632
1477460414,5604,5634
1477461147,5609,5639
1477461862,5609,5639
1477462590,5609,5639
1477463303,5611,5641
1477464041,5609,5639
1477464742,5611,5642
1477465454,5599,5630
1477466183,5600,5631
1477466902,5597,5628
1477467636,5598,5629
1477468349,5590,5621
1477469056,5598,5629
1477470038,5606,5637
1477470756,5614,5645
1477471453,5613,5644
1477472183,5625,5656
1477472906,5613,5644
1477473629,5614,5645
1477474337,5622,5653
1477475058,5623,5654
1477475783,5631,5662
1477476518,5625,5656
1477477222,5626,5657
1477477950,5628,5659
1477478653,5624,5655
1477479377,5633,5664
1477480100,5631,5662
1477480823,5619,5650
1477481549,5623,5654
1477482255,5624,5655
1477482984,5625,5656
1477483718,5630,5661
1477484437,5638,5669
1477485138,5644,5675
1477485852,5650,5681
1477486579,5650,5681
1477487301,5650,5681
1477488037,5645,5676
1477488744,5648,5679
1477489458,5647,5678
1477490182,5650,5681
1477490913,5650,5681
1477491612,5649,5680
1477492354,5646,5676
1477493054,5649,5679
1477493780,5653,5683
1477494509,5652,5682
1477495469,5653,5683
1477496188,5658,5688
1477496898,5656,5686
1477497674,5652,5682
1477498338,5649,5679
1477499050,5654,5684
1477499790,5652,5682
1477500504,5663,5693
1477501268,5660,5690
1477501933,5659,5689
1477502658,5668,5698
1477503395,5668,5698
1477504108,5667,5697
1477504888,5670,5700
1477505548,5677,5707
1477506251,5688,5718
1477506992,5683,5713
1477507701,5680,5710
1477508471,5678,5709
1477509145,5678,5709
1477509851,5688,5719
1477510592,5691,5722
1477511304,5673,5704
1477512071,5681,5712
1477512880,5679,5710
1477513700,5681,5712
1477514428,5670,5701
1477515146,5669,5700
1477515858,5674,5705
1477516580,5670,5701
1477517304,5679,5710
1477518047,5674,5705
1477518770,5682,5713
1477519455,5684,5715
1477520180,5683,5714
1477520907,5683,5714
1477521625,5689,5720
1477522383,5686,5717
1477523062,5682,5713
1477523808,5681,5712
1477524506,5688,5719
1477525222,5681,5712
1477525948,5685,5716
1477526664,5677,5708
1477527377,5682,5713
1477528099,5673,5704
1477528827,5680,5711
1477529547,5676,5707
1477530258,5679,5710
1477530983,5672,5703
1477531694,5680,5711
1477532431,5666,5697
1477533147,5668,5699
1477533864,5666,5697
1477534838,5673,5704
1477535551,5666,5697
1477536257,5664,5695
1477536982,5668,5699
1477537700,5668,5699
1477538410,5667,5698
1477539142,5662,5693
1477539851,5660,5691
1477540593,5666,5697
1477541306,5664,5695
1477542017,5658,5689
1477542736,5657,5688
1477543453,5659,5690
1477544186,5656,5687
1477544946,5657,5688
1477545613,5657,5688
1477546344,5653,5684
1477547048,5654,5685
1477547780,5659,5690
1477548502,5661,5692
1477549231,5665,5696
