DateTime,Entries,UniqueIPs
1477873246,4347,4347
1477873955,4333,4333
1477874648,4350,4350
1477875381,4342,4342
1477876114,4328,4328
1477876827,4325,4325
1477877544,4322,4322
1477878255,4328,4328
1477878989,4337,4337
1477879708,4335,4335
1477880426,4323,4323
1477881140,4317,4317
1477881861,4320,4320
1477882579,4314,4314
1477883312,4298,4298
1477884011,4310,4310
1477884797,4307,4307
1477885448,4313,4313
1477886249,4307,4307
1477886893,4309,4309
1477887628,4304,4304
1477888347,4284,4284
1477889054,4292,4292
1477889779,4292,4292
1477890558,4296,4296
1477891228,4298,4298
1477891969,4289,4289
1477892658,4298,4298
1477893376,4302,4302
1477894094,4301,4301
1477894826,4303,4303
1477895546,4297,4297
1477896270,4315,4315
1477896983,4304,4304
1477897714,4311,4311
1477898418,4315,4315
1477899153,4321,4321
1477899850,4317,4317
1477900579,4323,4323
1477901307,4328,4328
1477902101,4329,4329
1477902735,4347,4347
1477903533,4346,4346
1477904183,4358,4358
1477904910,4357,4357
1477905618,4378,4378
1477906357,4380,4380
1477907054,4374,4374
1477907847,4364,4364
1477908503,4360,4360
1477909234,4350,4350
1477909942,4379,4379
1477910654,4369,4369
1477911388,4370,4370
1477912124,4383,4383
1477912813,4381,4381
1477913646,4390,4390
1477914248,4384,4384
1477914990,4375,4375
1477915704,4393,4393
1477916464,4400,4400
1477917136,4368,4368
1477917856,4379,4379
1477918584,4378,4378
1477919316,4392,4392
1477920021,4394,4394
1477920747,4395,4395
1477921455,4400,4400
1477922179,4403,4403
1477922922,4398,4398
1477923863,4392,4392
1477924595,4399,4399
1477925316,4405,4405
1477926067,4389,4389
1477926756,4390,4390
1477927710,4397,4397
1477928425,4409,4409
1477929158,4413,4413
1477929865,4407,4407
1477930586,4416,4416
1477931310,4419,4419
1477932029,4413,4413
1477932758,4408,4408
1477933467,4410,4410
1477934182,4410,4410
1477934918,4426,4426
1477935615,4429,4429
1477936348,4416,4416
1477937060,4425,4425
1477937789,4429,4429
1477938510,4433,4433
1477939222,4441,4441
1477939948,4450,4450
1477940673,4448,4448
1477941379,4450,4450
1477942111,4453,4453
1477942833,4442,4442
1477943566,4442,4442
1477944293,4442,4442
1477944975,4450,4450
1477945702,4449,4449
1477946423,4442,4442
1477947144,4444,4444
1477947862,4459,4459
1477948628,4460,4460
1477949309,4443,4443
1477950023,4441,4441
1477950747,4449,4449
1477951452,4446,4446
1477952184,4449,4449
1477952897,4439,4439
1477953622,4437,4437
1477954382,4427,4427
1477955061,4406,4406
1477955879,4413,4413
1477956498,4407,4407
1477957260,4408,4408
1477957942,4400,4400
1477958665,4396,4396
1477959391,4399,4399
1477960115,4384,4384
1477960816,4374,4374
1477961610,4385,4385
1477962535,4370,4370
1477963543,4372,4372
1477964184,4373,4373
1477964924,4368,4368
1477965667,4368,4368
1477966353,4373,4373
