DateTime,Entries,UniqueIPs
1477296619,10181,10181
1477298533,10179,10179
1477299494,10186,10186
1477300511,10182,10182
1477301390,10194,10194
1477302278,10183,10183
1477303513,10178,10178
1477304412,10187,10187
1477305310,10196,10196
1477306501,10180,10180
1477308310,10204,10204
1477309210,10177,10177
1477310110,10185,10185
1477311019,10185,10185
1477311994,10195,10195
1477312928,10178,10178
1477314912,10179,10179
1477315841,10188,10188
1477316876,10162,10162
1477318423,10100,10100
1477319410,10107,10107
1477320133,10094,10094
1477321023,10102,10102
1477322888,10103,10103
1477323731,10011,10011
1477325651,10028,10028
1477326621,10038,10038
1477327512,10035,10035
1477328713,10034,10034
1477329612,10039,10039
1477330510,10045,10045
1477332244,10044,10044
1477332856,10044,10044
1477333813,10053,10053
1477334713,10043,10043
1477335505,10045,10045
1477336518,10042,10042
1477337288,10047,10047
1477338135,10045,10045
1477339513,10056,10056
1477340413,10063,10063
1477341608,10061,10061
1477343023,10074,10074
1477344013,10084,10084
1477344491,10086,10086
1477345327,10078,10078
1477346716,10088,10088
1477347614,10091,10091
1477348812,10083,10083
1477350314,10093,10093
1477351213,10101,10101
1477352123,10110,10110
1477353027,10117,10117
1477353973,10113,10113
1477354812,10120,10120
1477355296,10121,10121
1477357843,10117,10117
1477359309,10108,10108
1477361648,10111,10111
1477362613,10101,10101
1477363763,10110,10110
1477364826,10104,10104
1477365957,10117,10117
1477366814,10101,10101
1477367715,10111,10111
1477368617,10100,10100
1477370531,10096,10096
1477372668,10104,10104
1477374014,10108,10108
1477374914,10115,10115
1477375818,10116,10116
1477377729,10113,10113
1477378773,10112,10112
1477379715,10119,10119
1477380612,10108,10108
1477381335,10112,10112
1477382168,10118,10118
1477383017,10031,10031
1477384211,10026,10026
1477385115,10037,10037
1477386054,10032,10032
1477386912,10048,10048
1477387814,10043,10043
1477388711,10046,10046
1477389649,10038,10038
1477390449,10044,10044
1477391414,10028,10028
1477392131,10027,10027
1477392969,10035,10035
1477393811,10032,10032
1477394622,10035,10035
1477396522,10041,10041
1477397658,10046,10046
1477398617,10037,10037
1477399517,10036,10036
1477400455,10032,10032
1477401316,10037,10037
1477402212,10035,10035
1477403113,10033,10033
1477403771,10038,10038
1477404618,10036,10036
1477406529,10027,10027
1477407576,10033,10033
1477408514,10036,10036
1477409425,10036,10036
1477410136,10037,10037
1477411512,10046,10046
1477412413,10053,10053
1477413311,10048,10048
1477414443,10052,10052
1477415412,10052,10052
1477415653,10054,10054
1477416616,10055,10055
1477417329,10058,10058
1477418267,10069,10069
1477419203,10071,10071
1477420089,10080,10080
1477421112,10081,10081
1477422313,10085,10085
1477423215,10095,10095
1477424531,10087,10087
1477426514,10087,10087
1477427412,10080,10080
1477428334,10087,10087
1477430347,10091,10091
1477431502,10136,10136
1477432339,10139,10139
1477433717,10136,10136
1477434613,10132,10132
1477435514,10141,10141
1477437612,10155,10155
1477438510,10151,10151
1477439413,10154,10154
1477440308,10147,10147
1477441215,10154,10154
1477442108,10151,10151
1477444394,10165,10165
1477445370,10158,10158
1477446129,10162,10162
1477446968,10169,10169
1477447817,10173,10173
1477449617,10172,10172
1477450511,10182,10182
1477451410,10178,10178
1477452610,10181,10181
1477453653,10178,10178
1477454862,10173,10173
1477456217,10167,10167
1477457115,10166,10166
1477458317,10161,10161
1477459214,10169,10169
1477460115,10167,10167
1477461012,10172,10172
1477461914,10160,10160
1477462760,10163,10163
1477463293,10166,10166
1477464134,10156,10156
1477464971,10163,10163
1477465812,10162,10162
1477466709,10165,10165
1477467521,10163,10163
1477468509,10163,10163
1477469656,10164,10164
1477470618,10155,10155
1477471335,10156,10156
1477472177,10162,10162
1477473015,10165,10165
1477473867,10168,10168
1477475713,10167,10167
1477476618,10153,10153
1477477667,10160,10160
1477478532,10154,10154
1477479368,10161,10161
1477480214,10151,10151
1477481096,10156,10156
1477482914,10030,10030
1477483821,10027,10027
1477485733,10031,10031
1477487116,10042,10042
1477487908,10052,10052
1477488908,10054,10054
1477490449,10045,10045
1477491312,10050,10050
1477492215,10049,10049
1477493528,10057,10057
1477494360,10047,10047
1477495218,10054,10054
1477496109,10039,10039
1477496533,10040,10040
1477498512,10046,10046
1477499410,10040,10040
1477500308,10043,10043
1477501809,10045,10045
1477503827,10046,10046
1477504675,10050,10050
1477505723,10051,10051
1477506613,10056,10056
1477507331,10056,10056
1477508718,10060,10060
1477509613,10068,10068
1477510934,10050,10050
1477511772,10056,10056
1477512619,10045,10045
1477513413,10052,10052
1477515368,10052,10052
1477516209,10044,10044
1477517067,10048,10048
1477518014,10041,10041
1477518915,10046,10046
1477519818,10039,10039
1477520651,10042,10042
1477521728,10024,10024
1477523115,10029,10029
1477524491,10039,10039
1477525513,10031,10031
1477527613,10036,10036
1477528928,10026,10026
1477530313,10034,10034
1477531215,10041,10041
1477532415,10024,10024
1477533242,10030,10030
1477534081,10028,10028
