DateTime,Entries,UniqueIPs
1477506621,2008,2008
1477507333,2010,2010
1477508720,2010,2010
1477509617,2014,2014
1477510938,2002,2002
1477511774,2011,2011
1477512621,2006,2006
1477513416,2013,2013
1477515371,2005,2005
1477516213,2004,2004
1477517069,2010,2010
1477518918,2007,2007
1477519820,1999,1999
1477520659,2003,2003
1477521731,1988,1988
1477523118,1993,1993
1477524494,2002,2002
1477525519,1987,1987
1477526714,1982,1982
1477527615,1997,1997
1477528930,1982,1982
1477530319,1988,1988
1477531218,1993,1993
1477532418,1999,1999
1477533249,2004,2004
1477534083,1999,1999
1477534451,2002,2002
1477535296,2010,2010
1477536131,2002,2002
1477538413,2015,2015
1477539483,2014,2014
1477541359,2021,2021
1477542230,2027,2027
1477543055,2010,2010
1477543851,2009,2009
1477544719,2006,2006
1477545617,2007,2007
1477546512,1998,1998
1477547842,2003,2003
1477548919,2002,2002
1477549690,2010,2010
1477550494,2004,2004
1477551378,2012,2012
1477552218,2016,2016
1477553144,2024,2024
1477554017,2013,2013
1477554912,2015,2015
1477555845,2011,2011
1477557819,2011,2011
1477559720,2014,2014
1477560624,2010,2010
1477561794,2009,2009
1477563324,2002,2002
1477564225,2004,2004
1477564935,2006,2006
1477566851,2010,2010
1477567821,2012,2012
1477568625,2011,2011
1477569918,2014,2014
1477570819,2022,2022
1477572641,2010,2010
1477573874,2009,2009
1477575745,2006,2006
1477577119,2011,2011
1477578025,2019,2019
1477578491,2021,2021
1477579340,2018,2018
1477581321,2024,2024
1477582222,2022,2022
1477583122,2029,2029
1477584288,2035,2035
1477585127,2039,2039
1477585691,2044,2044
1477586723,2035,2035
1477587913,2034,2034
1477588817,2037,2037
1477590137,2025,2025
1477591520,2029,2029
1477592419,2037,2037
1477593313,2031,2031
1477594638,2035,2035
1477595616,2027,2027
1477596486,2034,2034
1477597342,2028,2028
1477598721,2029,2029
1477599626,2033,2033
1477600512,2023,2023
1477602000,2016,2016
1477603219,2027,2027
1477604418,2023,2023
1477605550,2023,2023
1477606520,2024,2024
1477608141,2017,2017
1477610370,2025,2025
1477611312,2022,2022
1477612538,2025,2025
1477613723,2024,2024
1477614619,2015,2015
1477615331,2014,2014
1477616171,2020,2020
1477617016,2017,2017
1477618942,2003,2003
1477620858,2001,2001
1477621820,1987,1987
1477622721,1987,1987
1477624044,1989,1989
1477625069,1997,1997
1477626317,1974,1974
1477628125,1985,1985
1477629023,1980,1980
1477629740,1981,1981
1477631115,1985,1985
1477632026,1990,1990
1477632911,1978,1978
1477634174,1982,1982
1477635020,1977,1977
1477636228,1970,1970
1477637115,1974,1974
1477638311,1972,1972
1477639445,1982,1982
1477640540,1977,1977
1477641375,1986,1986
1477642224,1987,1987
1477643424,1980,1980
1477644328,1979,1979
1477644976,1983,1983
1477645815,1981,1981
1477647750,1974,1974
1477648961,1973,1973
1477650501,1983,1983
1477651343,1972,1972
1477653317,1979,1979
1477654091,1986,1986
1477654946,1971,1971
1477657225,1988,1988
1477658426,1990,1990
1477659920,1987,1987
1477660830,1992,1992
1477662021,1973,1973
1477662920,1977,1977
1477663821,1968,1968
1477665021,1957,1957
1477665895,1959,1959
1477667545,1961,1961
1477668472,1968,1968
1477669343,1948,1948
1477670170,1954,1954
1477671021,1955,1955
1477672959,1937,1937
1477674916,1947,1947
1477675792,1940,1940
1477676714,1941,1941
1477678522,1945,1945
1477679422,1940,1940
1477680674,1947,1947
1477682442,1950,1950
1477685722,1954,1954
1477686496,1957,1957
1477688717,1940,1940
1477690221,1932,1932
1477690950,1927,1927
1477692322,1928,1928
1477693223,1929,1929
1477694032,1922,1922
1477695018,1932,1932
1477695926,1924,1924
1477697499,1922,1922
1477698317,1923,1923
1477700053,1932,1932
1477700891,1941,1941
1477704616,1919,1919
1477705517,1916,1916
1477706720,1913,1913
1477707624,1921,1921
1477708785,1912,1912
1477710316,1923,1923
1477711230,1927,1927
1477712546,1925,1925
1477713919,1922,1922
1477714817,1925,1925
1477716018,1921,1921
1477717517,1916,1916
1477718051,1917,1917
1477719020,1903,1903
1477719922,1908,1908
1477721121,1902,1902
1477721652,1907,1907
1477722628,1897,1897
1477723521,1896,1896
1477725015,1905,1905
1477726221,1902,1902
1477727122,1906,1906
1477727770,1908,1908
1477729691,1912,1912
1477730716,1905,1905
1477731895,1913,1913
1477732818,1921,1921
1477734017,1911,1911
1477734973,1920,1920
1477735821,1916,1916
1477736676,1929,1929
1477737734,1922,1922
1477738572,1929,1929
1477739413,1922,1922
1477740491,1930,1930
1477742342,1917,1917
1477743317,1921,1921
1477744223,1917,1917
1477746320,1910,1910
1477747822,1907,1907
1477748717,1910,1910
1477749714,1905,1905
1477750524,1909,1909
1477751422,1904,1904
1477752319,1901,1901
1477754416,1907,1907
1477755216,1898,1898
1477756575,1903,1903
1477757420,1899,1899
1477758620,1899,1899
1477759521,1903,1903
1477760597,1903,1903
1477761250,1912,1912
1477762217,1911,1911
1477763122,1914,1914
1477765137,1929,1929
1477765691,1931,1931
1477766535,1914,1914
1477768211,1917,1917
1477769426,1919,1919
1477771428,1912,1912
1477772418,1921,1921
1477773731,1910,1910
1477775116,1904,1904
1477776017,1911,1911
1477776492,1914,1914
1477777511,1909,1909
1477778876,1908,1908
1477780215,1905,1905
1477782802,1903,1903
1477784110,1895,1895
1477785372,1893,1893
1477786223,1891,1891
1477787264,1897,1897
1477788070,1887,1887
1477788916,1888,1888
1477789821,1881,1881
1477790890,1885,1885
1477791731,1877,1877
1477793652,1879,1879
1477794622,1876,1876
1477795522,1882,1882
1477796718,1875,1875
1477797618,1879,1879
1477798817,1868,1868
1477800316,1863,1863
1477801216,1868,1868
1477802111,1863,1863
1477802533,1860,1860
1477803915,1861,1861
1477804817,1881,1881
1477805721,1886,1886
1477806132,1883,1883
1477808417,1880,1880
1477809731,1874,1874
1477811117,1867,1867
1477812018,1872,1872
1477813273,1857,1857
1477815515,1863,1863
1477816517,1864,1864
1477817558,1859,1859
1477818852,1856,1856
1477819775,1848,1848
1477820698,1851,1851
1477821508,1853,1853
1477823305,1862,1862
1477824116,1852,1852
1477825799,1857,1857
1477827731,1848,1848
1477829120,1850,1850
1477830019,1857,1857
1477831224,1857,1857
1477832113,1863,1863
1477833322,1871,1871
1477834221,1868,1868
1477834936,1870,1870
1477836851,1865,1865
1477838531,1860,1860
1477840418,1866,1866
1477841298,1870,1870
1477842316,1870,1870
1477844410,1870,1870
1477845532,1868,1868
1477846516,1871,1871
1477847721,1867,1867
1477848625,1863,1863
1477849334,1864,1864
1477850171,1868,1868
1477851011,1861,1861
1477852226,1853,1853
1477853621,1860,1860
1477854622,1858,1858
1477855774,1853,1853
1477856868,1858,1858
1477858211,1857,1857
1477859074,1863,1863
1477859924,1851,1851
1477860131,1845,1845
1477861523,1843,1843
1477862419,1852,1852
1477863617,1848,1848
1477864516,1859,1859
1477865416,1855,1855
1477866490,1863,1863
1477867547,1858,1858
1477868454,1852,1852
1477869263,1863,1863
1477870172,1852,1852
1477870941,1852,1852
1477872322,1853,1853
1477873219,1859,1859
1477874116,1853,1853
1477875452,1857,1857
1477876525,1862,1862
1477877415,1855,1855
1477878322,1857,1857
1477879397,1862,1862
1477880336,1870,1870
1477881259,1864,1864
1477882257,1875,1875
1477883650,1867,1867
1477884626,1863,1863
1477885520,1863,1863
1477886176,1864,1864
1477887015,1860,1860
1477887250,1861,1861
1477888818,1855,1855
1477889652,1865,1865
1477890622,1866,1866
1477892535,1860,1860
1477893383,1866,1866
1477894216,1865,1865
1477896019,1848,1848
1477896977,1856,1856
1477897824,1857,1857
1477899735,1848,1848
1477900547,1854,1854
1477901418,1845,1845
1477903331,1850,1850
1477904363,1854,1854
1477905319,1865,1865
1477906237,1848,1848
1477907119,1847,1847
1477909156,1843,1843
1477910416,1832,1832
1477912522,1840,1840
1477913426,1839,1839
1477914269,1837,1837
1477915511,1837,1837
1477917506,1840,1840
1477917732,1838,1838
1477919724,1847,1847
1477920598,1838,1838
1477921517,1843,1843
1477923011,1836,1836
1477924780,1836,1836
1477926319,1842,1842
1477927220,1849,1849
1477928100,1836,1836
1477929914,1838,1838
1477930820,1845,1845
1477932022,1830,1830
1477933883,1826,1826
1477934851,1832,1832
1477935739,1814,1814
1477936604,1820,1820
1477937413,1818,1818
1477938625,1810,1810
1477939519,1815,1815
1477940176,1820,1820
1477941024,1825,1825
1477942091,1832,1832
1477943006,1820,1820
1477944311,1810,1810
1477946040,1806,1806
1477947031,1806,1806
1477947376,1810,1810
1477948221,1806,1806
1477949422,1804,1804
1477950140,1800,1800
1477950971,1803,1803
1477951815,1798,1798
1477952681,1801,1801
1477953619,1789,1789
1477954570,1796,1796
1477955424,1797,1797
1477956223,1805,1805
1477957219,1801,1801
1477958713,1801,1801
