DateTime,Entries,UniqueIPs
1477650500,1492,1492
1477651339,1486,1486
1477653316,1483,1483
1477654090,1489,1489
1477654939,1475,1475
1477657221,1487,1487
1477658423,1482,1482
1477659919,1501,1501
1477660824,1511,1511
1477662016,1502,1502
1477662919,1511,1511
1477663820,1511,1511
1477665019,1504,1504
1477665894,1505,1505
1477667544,1516,1516
1477668471,1526,1526
1477669337,1507,1507
1477670169,1514,1514
1477671020,1509,1509
1477672954,1504,1504
1477674915,1532,1532
1477675792,1525,1525
1477676714,1525,1525
1477678520,1534,1534
1477679421,1520,1520
1477680673,1521,1521
1477682437,1535,1535
1477685721,1524,1524
1477686495,1529,1529
1477688716,1516,1516
1477690220,1513,1513
1477690943,1515,1515
1477692317,1517,1517
1477693217,1521,1521
1477694031,1517,1517
1477695017,1524,1524
1477695921,1522,1522
1477697498,1524,1524
1477698316,1532,1532
1477700052,1526,1526
1477700890,1531,1531
1477704615,1523,1523
1477705516,1526,1526
1477706719,1529,1529
1477707619,1532,1532
1477708784,1532,1532
1477710315,1535,1535
1477711225,1535,1535
1477712540,1533,1533
1477713918,1536,1536
1477714817,1540,1540
1477716017,1543,1543
1477717516,1551,1551
1477718050,1555,1555
1477719017,1556,1556
1477719921,1560,1560
1477721120,1565,1565
1477721651,1572,1572
1477722624,1566,1566
1477723517,1579,1579
1477725014,1589,1589
1477726218,1586,1586
1477727121,1585,1585
1477727769,1585,1585
1477729690,1588,1588
1477730715,1586,1586
1477731895,1591,1591
1477732817,1598,1598
1477734016,1604,1604
1477734972,1612,1612
1477735820,1620,1620
1477736675,1627,1627
1477737733,1619,1619
1477738571,1628,1628
1477739412,1627,1627
1477740490,1640,1640
1477742341,1628,1628
1477743316,1633,1633
1477744221,1625,1625
1477746319,1625,1625
1477747819,1618,1618
1477748716,1620,1620
1477749713,1627,1627
1477750523,1628,1628
1477751418,1629,1629
1477752318,1633,1633
1477754415,1644,1644
1477755215,1627,1627
1477756574,1630,1630
1477757420,1631,1631
1477758619,1619,1619
1477759520,1625,1625
1477760596,1622,1622
1477761250,1621,1621
1477762216,1611,1611
1477763121,1614,1614
1477765136,1613,1613
1477765690,1615,1615
1477766535,1606,1606
1477768210,1601,1601
1477769422,1594,1594
1477771427,1597,1597
1477772417,1604,1604
1477773730,1586,1586
1477775114,1591,1591
1477776016,1592,1592
1477776491,1591,1591
1477777511,1592,1592
1477778875,1593,1593
1477780211,1589,1589
1477782801,1591,1591
1477784109,1586,1586
1477785371,1583,1583
1477786222,1585,1585
1477787263,1586,1586
1477788062,1579,1579
1477788915,1582,1582
1477789820,1577,1577
1477791730,1575,1575
1477793651,1578,1578
1477794620,1577,1577
1477795521,1576,1576
1477797617,1576,1576
1477798816,1573,1573
1477800315,1576,1576
1477801215,1583,1583
1477802110,1582,1582
1477802533,1584,1584
1477804816,1592,1592
1477805720,1594,1594
1477806131,1587,1587
1477808416,1598,1598
1477809730,1601,1601
1477811116,1612,1612
1477812017,1620,1620
1477813273,1615,1615
1477815514,1614,1614
1477816516,1607,1607
1477817558,1610,1610
1477818851,1607,1607
1477819774,1600,1600
1477820697,1602,1602
1477821507,1595,1595
1477823304,1613,1613
1477824115,1614,1614
1477825798,1614,1614
1477827730,1625,1625
1477829119,1636,1636
1477830018,1645,1645
1477831223,1635,1635
1477832112,1648,1648
1477833315,1635,1635
1477834218,1648,1648
1477834935,1654,1654
1477836850,1668,1668
1477838530,1667,1667
1477840417,1678,1678
1477841297,1686,1686
1477842314,1681,1681
1477844409,1683,1683
1477845531,1672,1672
1477846513,1676,1676
1477847720,1683,1683
1477848620,1667,1667
1477849333,1663,1663
1477850170,1668,1668
1477851010,1667,1667
1477852222,1655,1655
1477853620,1661,1661
1477854621,1663,1663
1477855773,1661,1661
1477856867,1662,1662
1477858210,1662,1662
1477859073,1664,1664
1477859923,1655,1655
1477860130,1646,1646
1477861522,1641,1641
1477862418,1647,1647
1477863616,1643,1643
1477864515,1642,1642
1477865415,1644,1644
1477866489,1644,1644
1477867546,1632,1632
1477868452,1630,1630
1477869262,1633,1633
1477870171,1629,1629
1477870940,1627,1627
1477872321,1628,1628
1477873218,1632,1632
1477874115,1628,1628
1477875452,1623,1623
1477876521,1621,1621
1477877413,1617,1617
1477878320,1617,1617
1477879396,1616,1616
1477880335,1619,1619
1477881258,1622,1622
1477882256,1625,1625
1477883650,1623,1623
1477884623,1627,1627
1477885517,1630,1630
1477887013,1633,1633
1477887249,1634,1634
1477888817,1651,1651
1477889652,1656,1656
1477890621,1656,1656
1477892534,1660,1660
1477893382,1666,1666
1477894215,1664,1664
1477896018,1665,1665
1477896976,1677,1677
1477897823,1691,1691
1477899734,1699,1699
1477900546,1705,1705
1477901417,1707,1707
1477903330,1701,1701
1477904362,1703,1703
1477905318,1719,1719
1477906234,1708,1708
1477907118,1714,1714
1477909155,1734,1734
1477910414,1731,1731
1477912521,1749,1749
1477913424,1746,1746
1477914267,1747,1747
1477915510,1741,1741
1477917505,1739,1739
1477917731,1737,1737
1477919718,1755,1755
1477920597,1756,1756
1477921516,1776,1776
1477923010,1777,1777
1477924779,1781,1781
1477926318,1789,1789
1477927217,1795,1795
1477928099,1793,1793
1477929913,1796,1796
1477930817,1812,1812
1477932017,1812,1812
1477933882,1828,1828
1477934850,1843,1843
1477935736,1834,1834
1477936602,1840,1840
1477937413,1835,1835
1477938623,1831,1831
1477939518,1842,1842
1477940175,1845,1845
1477941023,1832,1832
1477942090,1841,1841
1477943005,1835,1835
1477944310,1826,1826
1477946039,1833,1833
1477947030,1835,1835
1477947375,1837,1837
1477948220,1837,1837
1477949418,1830,1830
1477950138,1832,1832
1477950970,1834,1834
1477951813,1832,1832
1477952680,1833,1833
1477953615,1834,1834
1477954569,1836,1836
1477955423,1832,1832
1477956222,1835,1835
1477957217,1835,1835
1477958713,1834,1834
1477959616,1837,1837
1477961111,1839,1839
1477962854,1842,1842
1477963818,1846,1846
1477964539,1848,1848
1477965912,1848,1848
1477966818,1852,1852
1477968014,1849,1849
1477970050,1853,1853
1477971013,1845,1845
1477972860,1852,1852
1477973896,1863,1863
1477974911,1873,1873
1477977315,1899,1899
1477978219,1908,1908
1477979119,1916,1916
1477981213,1950,1950
1477982414,1959,1959
1477983660,1970,1970
1477984458,1984,1984
1477985415,1992,1992
1477986317,1992,1992
1477987516,1999,1999
1477988418,2016,2016
1477988890,2026,2026
1477989729,2028,2028
1477991118,2046,2046
1477992019,2060,2060
1477992491,2070,2070
1477993517,2077,2077
1477995619,2113,2113
1477996817,2101,2101
1477998919,2121,2121
1477999821,2108,2108
1478000539,2112,2112
1478002453,2128,2128
1478003418,2129,2129
1478004137,2124,2124
1478004974,2138,2138
1478005823,2136,2136
1478006890,2155,2155
1478007915,2161,2161
1478008963,2165,2165
1478010019,2177,2177
1478010912,2173,2173
1478012117,2185,2185
1478013319,2201,2201
1478014215,2209,2209
1478015030,2214,2214
1478017054,2236,2236
1478018541,2240,2240
1478019678,2240,2240
1478021291,2270,2270
1478022975,2276,2276
1478023815,2281,2281
1478024891,2299,2299
1478025923,2282,2282
1478027653,2296,2296
1478028619,2291,2291
1478029651,2304,2304
1478030604,2316,2316
1478032310,2320,2320
1478032944,2317,2317
1478034191,2310,2310
1478035223,2323,2323
1478037375,2331,2331
1478038213,2330,2330
1478040137,2328,2328
1478041519,2326,2326
1478042418,2330,2330
1478043228,2327,2327
1478044210,2326,2326
1478045116,2329,2329
1478046490,2330,2330
1478047529,2326,2326
1478048725,2322,2322
1478049618,2324,2324
1478050510,2326,2326
1478051314,2326,2326
1478053151,2325,2325
1478055471,2321,2321
1478056450,2319,2319
1478057415,2313,2313
1478058155,2309,2309
1478059116,2303,2303
1478060890,2305,2305
1478061833,2298,2298
1478063119,2295,2295
1478064919,2293,2293
1478065341,2290,2290
1478067315,2303,2303
1478068216,2311,2311
1478069710,2339,2339
1478070560,2345,2345
1478071820,2362,2362
1478072737,2375,2375
1478073860,2379,2379
1478076152,2397,2397
1478076971,2404,2404
1478077822,2411,2411
1478078897,2430,2430
1478079749,2421,2421
1478080571,2433,2433
1478081414,2416,2416
1478082617,2348,2348
1478083782,2360,2360
1478085184,2373,2373
1478086215,2379,2379
1478087616,2386,2386
1478088586,2393,2393
1478088849,2398,2398
1478089766,2393,2393
1478091522,2396,2396
1478092451,2408,2408
1478093418,2405,2405
1478094155,2413,2413
1478096017,2424,2424
1478096977,2423,2423
1478097848,2428,2428
1478099420,2427,2427
1478100491,2447,2447
1478101519,2434,2434
1478102455,2428,2428
1478103252,2445,2445
1478104092,2457,2457
1478105140,2445,2445
1478106296,2449,2449
1478107226,2466,2466
1478107710,2474,2474
1478108560,2449,2449
1478109376,2463,2463
1478110178,2463,2463
1478111054,2476,2476
1478112151,2451,2451
1478113357,2456,2456
1478114420,2470,2470
1478114891,2477,2477
1478115923,2453,2453
1478117132,2451,2451
1478118025,2453,2453
1478119287,2444,2444
1478120149,2452,2452
1478120995,2450,2450
1478122177,2450,2450
1478123135,2453,2453
1478124326,2450,2450
1478125232,2454,2454
1478125690,2456,2456
1478126720,2449,2449
1478128518,2452,2452
1478129418,2449,2449
1478130385,2448,2448
1478131268,2447,2447
1478132433,2450,2450
1478134511,2449,2449
1478135422,2450,2450
1478137364,2450,2450
1478139457,2456,2456
1478140960,2454,2454
1478141770,2454,2454
1478142622,2454,2454
1478144550,2446,2446
1478147419,2454,2454
1478148324,2461,2461
1478150115,2472,2472
1478151014,2469,2469
1478151931,2479,2479
1478152575,2484,2484
1478153413,2489,2489
1478154485,2497,2497
1478155433,2494,2494
1478157255,2507,2507
1478158219,2503,2503
1478159153,2508,2508
1478160611,2519,2519
1478162560,2532,2532
1478163936,2532,2532
1478164830,2542,2542
1478171140,2534,2534
1478173334,2542,2542
1478174370,2539,2539
1478175316,2556,2556
1478176223,2554,2554
1478177071,2557,2557
1478178621,2574,2574
1478179514,2589,2589
1478180571,2582,2582
1478182794,2586,2586
1478183717,2585,2585
1478185158,2579,2579
1478186119,2588,2588
1478187020,2563,2563
1478187915,2563,2563
1478188870,2558,2558
1478189663,2569,2569
1478191256,2560,2560
1478192784,2554,2554
1478193638,2570,2570
1478194124,2578,2578
1478194970,2554,2554
1478195787,2568,2568
1478196618,2573,2573
1478197514,2589,2589
1478199371,2565,2565
1478200522,2562,2562
1478203350,2518,2518
1478204430,2534,2534
1478205375,2521,2521
1478206362,2528,2528
1478207421,2529,2529
1478209361,2520,2520
1478211318,2527,2527
1478212217,2520,2520
1478213147,2522,2522
1478215236,2526,2526
1478216059,2525,2525
1478216569,2526,2526
1478218521,2530,2530
1478219419,2528,2528
1478220133,2525,2525
1478221045,2530,2530
1478222409,2533,2533
1478223310,2534,2534
1478224833,2529,2529
1478225719,2534,2534
1478226617,2537,2537
1478227518,2542,2542
1478229316,2549,2549
1478230220,2552,2552
1478231715,2556,2556
1478233013,2562,2562
1478233820,2566,2566
1478234560,2573,2573
1478235791,2582,2582
