DateTime,Entries,UniqueIPs
1477643407,44410,44410
1477644304,44557,44557
1477644964,44940,44940
1477645803,45344,45344
1477647725,45378,45378
1477648942,45360,45360
1477650003,45690,45690
1477650483,45816,45816
1477651325,45560,45560
1477653304,45915,45915
1477654083,46159,46159
1477654926,45853,45853
1477657206,46370,46370
1477658404,46203,46203
1477659905,46318,46318
1477660805,46528,46528
1477662003,46255,46255
1477662903,46444,46444
1477663804,46375,46375
1477665004,46279,46279
1477665888,46322,46322
1477667538,46469,46469
1477668465,46633,46633
1477669327,46290,46290
1477670163,46455,46455
1477671004,46372,46372
1477672937,46266,46266
1477674904,46371,46371
1477675785,46272,46272
1477676703,46278,46278
1477678505,46398,46398
1477679404,46255,46255
1477680663,46331,46331
1477682422,46258,46258
1477685703,46162,46162
1477686483,46268,46268
1477688705,46196,46196
1477690204,46150,46150
1477690925,46186,46186
1477692306,46244,46244
1477693203,46337,46337
1477694024,46303,46303
1477695004,46368,46368
1477695903,46362,46362
1477697489,46383,46383
1477698303,46412,46412
1477700043,46459,46459
1477700884,46533,46533
1477704605,46410,46410
1477705504,46434,46434
1477706705,46439,46439
1477707603,46512,46512
1477708778,46338,46338
1477710303,46346,46346
1477711206,46435,46435
1477712524,46388,46388
1477713903,46384,46384
1477714804,46471,46471
1477716003,46351,46351
1477717503,46332,46332
1477718044,46385,46385
1477719004,46304,46304
1477719903,46324,46324
1477721643,46365,46365
1477722604,46283,46283
1477723503,46283,46283
1477725003,46289,46289
1477726204,45568,45568
1477727103,45285,45285
1477727763,45323,45323
1477729683,45052,45052
1477730703,44467,44467
1477732806,44227,44227
1477734003,43572,43572
1477734963,43667,43667
1477735804,43461,43461
1477736669,43560,43560
1477737723,43037,43037
1477738563,43132,43132
1477739403,42853,42853
1477740483,42982,42982
1477742335,42337,42337
1477743304,42384,42384
1477744204,41984,41984
1477746303,41693,41693
1477747804,41501,41501
1477748704,41457,41457
1477750503,41401,41401
1477751404,41161,41161
1477752303,41112,41112
1477754403,41071,41071
1477755208,40912,40912
1477756563,40966,40966
1477757403,40890,40890
1477758604,40737,40737
1477759503,40794,40794
1477761243,40757,40757
1477762204,40620,40620
1477763104,40662,40662
1477764303,40567,40567
1477765130,40666,40666
1477765683,40734,40734
1477766523,40101,40101
1477768203,39834,39834
1477769403,39448,39448
1477771419,39237,39237
1477772403,39308,39308
1477773724,38967,38967
1477775103,38812,38812
