DateTime,Entries,UniqueIPs
1477469657,3779,3779
1477470621,3768,3768
1477471336,3767,3767
1477472178,3778,3778
1477473015,3760,3760
1477473868,3764,3764
1477475713,3735,3735
1477476619,3730,3730
1477477668,3780,3780
1477478533,3764,3764
1477479369,3780,3780
1477480215,3779,3779
1477481097,3811,3811
1477482916,3796,3796
1477483820,3775,3775
1477485734,3765,3765
1477487117,3769,3769
1477487909,3789,3789
1477488909,3793,3793
1477490452,3785,3785
1477491311,3802,3802
1477492216,3785,3785
1477493532,3796,3796
1477494361,3796,3796
1477495219,3827,3827
1477496110,3817,3817
1477496534,3820,3820
1477498516,3829,3829
1477499412,3811,3811
1477500311,3808,3808
1477501810,3827,3827
1477503828,3841,3841
1477504676,3855,3855
1477505726,3839,3839
1477506615,3826,3826
1477507332,3820,3820
1477508719,3825,3825
1477509615,3849,3849
1477510936,3830,3830
1477511773,3853,3853
1477512620,3854,3854
1477513414,3875,3875
1477515369,3880,3880
1477516210,3857,3857
1477517068,3871,3871
1477518014,3831,3831
1477518917,3853,3853
1477519819,3852,3852
1477520656,3874,3874
1477521729,3861,3861
1477523116,3834,3834
1477524492,3851,3851
1477525514,3798,3798
1477526713,3787,3787
1477527614,3803,3803
1477528929,3809,3809
1477530317,3800,3800
1477531216,3819,3819
1477532416,3787,3787
1477533243,3800,3800
1477534082,3791,3791
1477534449,3794,3794
1477535295,3805,3805
1477536129,3788,3788
1477538411,3790,3790
1477539482,3767,3767
1477541357,3777,3777
1477542228,3787,3787
1477543054,3752,3752
1477543849,3752,3752
1477544717,3746,3746
1477545616,3766,3766
1477546509,3772,3772
1477547840,3796,3796
1477548917,3791,3791
1477549689,3802,3802
1477550493,3779,3779
1477551377,3805,3805
1477552216,3799,3799
1477553142,3805,3805
1477554015,3771,3771
1477554910,3795,3795
1477555843,3795,3795
1477557817,3797,3797
1477559717,3807,3807
1477560619,3803,3803
1477561792,3804,3804
1477563321,3802,3802
1477564219,3800,3800
1477564933,3807,3807
1477566849,3826,3826
1477567816,3601,3601
1477568623,3556,3556
1477569915,3534,3534
1477570814,3556,3556
1477572639,3572,3572
1477573873,3591,3591
1477575738,3614,3614
1477577117,3628,3628
1477578019,3659,3659
1477578490,3736,3736
1477579336,3885,3885
1477581318,3969,3969
1477582216,3954,3954
1477583116,3960,3960
1477584286,3970,3970
1477585125,3986,3986
1477585689,3992,3992
1477586720,3996,3996
1477587911,4022,4022
1477588816,4040,4040
1477590135,4056,4056
