DateTime,AddedIPs,RemovedIPs
1477242298,154,73
1477244409,367,160
1477245309,142,14
1477246216,94,100
1477247410,93,16
1477248313,70,176
1477249810,79,89
1477251727,361,182
1477252566,127,1
1477253416,136,81
1477254486,100,6
1477255449,77,133
1477256508,51,63
1477257387,32,5
1477259110,96,82
1477259766,40,1
1477260615,39,44
1477262526,89,106
1477264446,81,60
1477265290,46,2
1477266306,53,81
1477268407,107,103
1477269728,58,115
1477271646,82,46
1477272488,39,0
1477274317,84,128
1477275249,54,68
1477276211,51,2
1477278091,80,146
1477279211,50,4
1477281273,129,70
1477282216,56,50
1477282446,13,0
1477283413,64,2
1477284235,52,111
1477286046,96,71
1477287011,49,3
1477287915,69,126
1477289110,102,32
1477290009,102,8
1477290864,82,3
1477293000,147,435
1477294107,93,8
1477295107,101,297
1477295767,376,8
1477296616,451,123
1477298530,1072,209
1477299492,203,12
1477300509,66,90
1477301388,51,10
1477302276,67,139
1477303510,152,74
1477304410,86,10
1477305309,82,13
1477306499,94,137
1477308308,156,90
1477309208,55,135
1477310106,84,10
1477311017,219,74
1477312091,183,10
1477312926,104,96
1477314909,274,67
1477315839,106,6
1477316875,142,105
1477318421,202,64
1477319407,128,9
1477320130,134,95
1477321021,134,3
1477322886,231,51
1477323729,107,142
1477325649,364,106
1477326614,168,4
1477327510,173,208
1477329610,386,89
1477330508,102,1
1477332242,234,255
1477332853,82,1
1477333808,115,1
1477334711,135,93
1477335503,113,3
1477336514,141,70
1477337286,94,1
1477338130,72,110
1477339510,107,48
1477340411,70,0
1477341606,54,211
1477343021,65,102
1477344011,58,0
1477344488,44,1
1477345326,112,138
1477346712,219,54
1477347611,140,0
1477348810,188,80
1477350309,232,53
1477351211,138,2
1477352121,140,85
1477353025,135,36
1477353971,135,48
1477354809,136,1
1477355290,65,0
1477357841,203,158
1477359307,81,112
1477361646,143,107
1477362611,48,189
1477363761,63,60
1477364822,66,169
1477365955,75,2
1477366811,25,230
1477367712,54,1
1477368615,73,73
1477370528,107,111
1477372666,126,76
1477374011,74,117
1477374910,31,1
1477375816,44,64
1477377727,85,122
1477378771,102,50
1477379711,67,8
1477380607,59,114
1477381331,41,24
1477382166,56,4
1477383015,50,69
1477384209,57,71
1477385110,101,25
1477386052,124,73
1477386910,163,1
1477387812,132,142
1477388707,108,42
1477389645,46,73
1477390447,56,6
1477391411,40,93
1477392129,53,34
1477392967,61,2
1477393807,59,74
1477394620,50,2
1477396520,110,103
1477397654,68,64
1477398613,63,112
1477399510,57,37
1477400451,78,73
1477401314,56,1
1477402208,68,69
1477403111,84,24
1477403769,73,0
1477404615,94,42
1477406527,175,126
1477407574,101,100
1477408511,98,11
1477409422,98,104
1477410131,60,21
1477411508,136,101
1477412411,98,5
1477413308,107,258
1477414442,108,116
1477415407,92,183
1477415650,17,2
1477416613,102,146
1477417327,57,34
1477418265,84,5
1477419199,53,74
1477420087,61,3
1477421109,133,331
1477422309,205,194
1477423213,160,2
1477424529,248,246
1477426510,350,61
1477427409,175,65
1477428332,136,32
1477430345,273,59
1477431500,155,86
1477432337,108,26
1477433713,161,40
1477434608,118,88
1477435510,128,22
1477437609,237,63
1477438508,114,76
1477439411,94,23
1477440307,94,48
1477441212,118,1
1477442106,93,66
1477444392,329,76
1477445368,134,90
1477446127,103,20
1477446966,99,3
1477447815,107,45
1477449614,259,104
1477450508,122,2
1477451407,108,74
1477452607,137,101
1477453651,140,37
1477454860,170,57
1477456213,177,59
1477457111,118,29
1477459210,249,67
1477460110,108,166
1477461010,114,25
1477461911,44,65
1477462758,49,2
1477463290,27,1
1477464132,35,149
1477464969,34,4
1477465808,35,535
1477466707,49,6
1477467517,54,889
1477468507,62,341
1477469653,68,287
1477470614,53,81
1477471331,32,35
1477472172,338,4
1477473013,467,112
1477473866,475,4
1477475709,205,178
1477476616,49,90
1477477665,137,1
1477478530,123,164
1477479366,147,4
1477480211,137,89
1477481094,148,2
1477482011,165,216
