DateTime,Entries,UniqueIPs
1477466707,29008,29008
1477467517,28173,28173
1477468507,27894,27894
1477469653,27675,27675
1477470614,27647,27647
1477471331,27644,27644
1477472172,27978,27978
1477473013,28333,28333
1477473866,28804,28804
1477475709,28831,28831
1477476616,28790,28790
1477477665,28926,28926
1477478530,28885,28885
1477479366,29028,29028
1477480211,29076,29076
1477481094,29222,29222
1477482011,29171,29171
1477482911,29328,29328
1477483817,29292,29292
1477485731,29382,29382
1477487111,29570,29570
1477487906,29684,29684
1477488906,29630,29630
1477490446,29587,29587
1477491308,29711,29711
1477492211,29630,29630
1477493522,29764,29764
1477494358,29696,29696
1477495216,29832,29832
1477496107,29604,29604
1477496532,29555,29555
1477498510,29666,29666
1477499408,29496,29496
1477500306,29524,29524
1477501807,29565,29565
1477503825,29562,29562
1477504673,29630,29630
1477505717,29480,29480
1477506609,29333,29333
1477507329,29332,29332
1477508714,29326,29326
1477509608,29392,29392
1477510931,29463,29463
1477511770,29620,29620
1477512617,29725,29725
1477513411,29811,29811
1477514409,29661,29661
1477515367,29710,29710
1477516207,29573,29573
1477517065,29603,29603
1477518011,29276,29276
1477518910,29310,29310
1477519816,29170,29170
1477520648,29223,29223
1477521727,28958,28958
1477523110,28828,28828
1477524488,28870,28870
1477525509,28556,28556
1477527611,28572,28572
1477528927,28535,28535
1477530309,28518,28518
1477531212,28555,28555
1477532412,28468,28468
1477533240,28493,28493
1477534079,28462,28462
1477534446,28476,28476
1477535292,28513,28513
1477536127,28440,28440
1477538407,28459,28459
1477539479,28427,28427
1477541354,28454,28454
1477542226,28482,28482
1477543051,28434,28434
1477543847,28434,28434
1477544715,28431,28431
1477545612,28478,28478
1477546506,28467,28467
1477547838,28504,28504
1477548910,28436,28436
1477549686,28473,28473
1477550490,28370,28370
1477551371,28423,28423
1477552212,28396,28396
1477553139,28433,28433
1477554011,28343,28343
1477554908,28390,28390
1477555840,28332,28332
1477557814,29160,29160
1477559710,29515,29515
1477560613,29613,29613
1477561790,29905,29905
1477563312,30240,30240
1477564213,30377,30377
1477564931,30525,30525
1477566847,30812,30812
1477567813,30732,30732
1477568621,30829,30829
1477569909,31026,31026
1477570808,31236,31236
1477572637,31447,31447
1477573870,31584,31584
1477575732,31788,31788
