DateTime,Entries,UniqueIPs
1477309205,5792,5792
1477310105,5811,5811
1477311015,5831,5831
1477312087,5861,5861
1477312925,5869,5869
1477314906,5888,5888
1477315836,5903,5903
1477316873,5949,5949
1477318419,6007,6007
1477319405,6058,6058
1477320126,6076,6076
1477321020,6142,6142
1477322885,6182,6182
1477323726,6197,6197
1477325646,6239,6239
1477326611,6264,6264
1477327507,6260,6260
1477329605,6324,6324
1477330504,6351,6351
1477332240,6339,6339
1477332848,6361,6361
1477333805,6394,6394
1477334707,6408,6408
1477335501,6437,6437
1477336510,6480,6480
1477337284,6499,6499
1477338127,6490,6490
1477339506,6565,6565
1477340406,6598,6598
1477341604,6624,6624
1477343020,6661,6661
1477344006,6692,6692
1477344485,6707,6707
1477345324,6719,6719
1477346710,6753,6753
1477347606,6774,6774
1477348806,6790,6790
1477350305,6817,6817
1477351207,6844,6844
1477352120,6834,6834
1477353024,6841,6841
1477353970,6840,6840
1477354806,6861,6861
1477355287,6874,6874
1477357840,6885,6885
1477359305,6217,6217
1477361645,5925,5925
1477362605,5829,5829
1477363759,5842,5842
1477364821,5845,5845
1477366807,5847,5847
1477367706,5867,5867
1477368614,5866,5866
1477370526,5862,5862
1477372665,5871,5871
1477374007,5857,5857
1477374907,5875,5875
1477375814,5869,5869
1477377725,5857,5857
1477378770,5857,5857
1477379708,5874,5874
1477380605,5870,5870
1477381329,5873,5873
1477382165,5886,5886
1477383013,5878,5878
1477384206,5859,5859
1477385107,5854,5854
1477386046,5854,5854
1477386907,5876,5876
1477387808,5865,5865
1477388705,5884,5884
1477389642,5890,5890
1477390445,5911,5911
1477391408,5911,5911
1477392127,5911,5911
1477392965,5927,5927
1477393806,5934,5934
1477394618,5945,5945
1477396519,5862,5862
1477397648,5855,5855
1477398608,5861,5861
1477399507,5868,5868
1477400447,5889,5889
1477401307,5957,5957
1477402205,5972,5972
1477403107,6021,6021
1477403766,6063,6063
1477404613,6077,6077
1477406526,6105,6105
1477407573,6123,6123
1477408508,6158,6158
1477409416,6172,6172
1477410126,6216,6216
1477411505,6254,6254
1477412407,6286,6286
1477413306,6286,6286
1477414440,6324,6324
1477415405,6345,6345
1477415646,6353,6353
1477416607,6349,6349
1477417325,6355,6355
1477418264,6400,6400
1477419195,6413,6413
1477420085,6447,6447
1477421106,6442,6442
