DateTime,AddedIPs,RemovedIPs
1477938602,0,9
1477939204,1,9
1477939803,26,2
1477940405,6,44
1477941003,136,5
1477941603,4,11
1477942205,2,16
1477942804,58,18
1477943404,116,23
1477944005,23,29
1477944603,62,1
1477945206,8,32
1477945802,3,3
1477946113,0,98
1477946703,27,6
1477947303,51,17
1477947902,4,0
1477948204,0,8
1477948803,21,11
1477949404,51,6
1477950005,0,11
1477950603,4,6
1477951203,26,3
1477951808,89,15
1477952404,25,120
1477953303,93,26
1477953606,5,24
1477954203,65,1
1477954803,0,3
1477955403,27,6
1477956003,22,32
1477956603,5,3
1477957204,76,25
1477957803,9,6
1477958405,13,13
1477958707,3,95
1477959303,33,4
1477959904,65,20
1477960504,3,52
1477961102,2,6
1477961703,11,2
1477962305,3,32
1477962902,69,2
1477963503,4,1
1477964103,3,13
1477964702,3,2
1477965009,28,79
1477965602,2,16
1477965910,85,97
1477966503,10,22
1477967103,41,1
1477967702,86,1
1477968004,1,3
1477968602,0,5
1477969202,1,0
1477969802,24,1
1477970402,4,0
1477971002,4,0
1477971602,52,1
1477972202,1,0
1477972505,0,17
1477973105,2,40
1477973410,0,98
1477974002,19,1
1477974312,74,24
1477974903,52,21
1477975504,1,21
1477976102,0,4
1477976703,0,2
1477977302,50,6
1477977902,0,3
1477978203,0,5
1477978802,1,3
1477979709,55,127
1477980304,28,7
1477980904,31,29
1477981502,26,27
1477981806,2,27
1477982404,1,30
1477983002,51,4
1477983602,1,9
1477984203,1,5
1477984802,35,5
1477985402,5,1
1477985706,0,24
1477986304,7,9
1477986903,59,8
1477987504,29,12
1477988104,15,30
1477988703,30,10
1477989303,2,2
1477989903,17,5
1477990503,12,6
1477991102,9,2
1477991707,2,103
1477992303,0,3
1477992902,25,29
1477993504,1,7
1477994104,30,7
1477994703,1,14
1477995005,5,13
1477995605,2,17
1477996203,0,3
1477996803,1,10
1477997405,4,39
1477998003,56,5
1477998604,1,6
1477999204,1,5
1477999804,10,16
1478000405,6,12
1478001003,46,29
1478001603,7,2
1478002202,23,1
1478002504,0,16
1478003103,96,5
1478003702,2,1
1478004004,0,21
1478004603,2,20
1478005203,27,4
1478005506,0,21
1478006102,16,2
1478006407,2,52
1478007003,27,26
1478007603,14,7
1478008203,1,10
1478008505,0,29
1478009103,19,8
1478009702,42,9
1478010304,7,9
1478010903,21,15
1478011206,50,13
1478011804,13,36
1478012406,14,90
1478013004,9,14
1478013606,34,37
1478014204,35,37
1478014808,22,106
1478015407,16,56
1478016002,1,6
1478016604,8,18
1478017203,92,8
1478017508,1,52
1478018103,0,5
1478018705,22,29
1478019305,32,42
1478019907,3,75
1478020502,31,24
1478020803,30,7
1478021403,0,5
1478022005,28,32
1478022306,21,68
1478022903,19,10
1478023206,0,29
1478023803,10,5
1478024409,7,54
1478025002,19,7
1478025604,4,2
1478026204,23,27
1478026806,38,8
1478027406,27,122
1478028004,43,5
1478028603,117,5
1478028907,1,55
1478029506,5,73
1478030102,55,23
1478030405,8,22
1478031006,35,58
1478031603,117,11
1478032203,6,4
1478032804,0,11
1478033409,24,59
1478034003,38,3
1478034602,10,5
1478035205,10,16
1478035805,5,56
1478036402,1,4
1478037004,4,4
1478037607,1,26
1478038204,22,77
1478038803,28,24
1478039117,2,52
1478039702,38,10
1478040610,5,67
1478041203,1,1
1478041804,0,26
1478042403,0,20
1478043003,22,5
1478043605,3,69
1478044202,5,11
1478044805,5,14
1478045404,28,23
1478046004,36,19
1478046603,9,55
1478047203,1,3
1478047803,0,1
1478048403,43,13
1478049005,3,60
1478049603,0,21
1478050203,38,2
1478050804,6,3
1478051404,5,27
1478052003,1,5
1478052306,0,50
1478052902,0,38
1478053204,0,23
1478053805,6,74
1478054402,0,5
1478055002,1,0
1478055602,10,1
1478055904,0,3
1478056503,2,25
1478057103,24,1
1478057708,0,59
1478058303,4,5
1478058903,0,3
1478059502,0,3
1478060104,14,18
1478060714,27,42
1478061303,1,64
1478061903,42,3
1478062502,2,0
1478063103,1,2
1478063406,22,49
1478064003,28,3
1478064604,1,4
1478065202,0,3
1478065802,2,1
1478066406,1,60
1478067002,1,25
1478067306,1,28
1478067903,0,18
1478068503,36,2
1478069103,0,5
1478069406,1,48
1478070005,3,7
1478070602,30,3
1478070906,6,29
1478071503,1,5
1478072104,12,2
1478072704,3,11
1478073306,21,60
1478073905,37,31
1478074504,0,19
1478075104,1,26
1478075703,26,5
1478076304,0,14
1478076904,2,12
1478077502,1,10
1478078103,12,6
1478078702,94,7
1478079006,2,18
1478079603,1,3
1478080204,3,8
1478080802,10,25
1478081104,3,14
1478081703,2,5
1478082303,33,2
1478082904,35,12
1478083504,3,3
1478084106,28,39
1478084703,0,23
1478085302,1,1
1478085904,5,9
1478086504,1,11
1478087105,11,36
1478087703,10,10
1478088304,1,21
1478088903,34,6
1478089206,25,69
1478089803,40,22
1478090105,3,3
1478090703,32,6
1478091305,1,23
1478091902,3,3
1478092803,3,19
1478093105,11,28
1478093702,3,3
1478094006,29,14
1478094603,2,4
1478095202,41,2
1478095505,4,23
1478096105,8,33
1478096702,35,7
1478097004,0,21
1478097603,0,16
1478098204,33,41
1478098805,46,22
1478099404,4,18
1478100004,31,23
1478100604,3,43
1478101203,24,7
1478101804,17,42
1478102404,42,9
1478103003,3,5
1478103606,11,93
1478104203,75,3
1478104806,28,19
1478105404,15,13
1478106003,10,20
1478106605,0,32
1478107205,0,29
1478107802,0,10
1478108104,1,15
1478108704,21,35
1478109302,31,22
1478109903,117,14
1478110205,2,1
1478110804,8,11
1478111404,1,23
1478111706,0,25
1478112302,33,4
1478112605,25,18
1478113203,5,37
1478113505,4,21
1478114103,0,9
1478114711,31,133
1478115303,23,5
1478115903,2,5
1478116507,1,49
1478117103,24,18
1478117405,26,26
1478118007,0,92
1478118603,0,8
1478119203,13,3
1478119803,10,25
1478120407,10,42
1478121003,2,11
1478121603,4,9
1478122203,1,7
1478122802,3,2
1478123403,25,5
1478124003,5,2
1478124605,47,15
1478125203,3,25
1478125804,11,28
1478126401,13,1
1478126703,16,2
1478127305,20,5
1478127903,4,3
1478128502,24,0
1478129102,4,2
1478129404,1,12
1478130002,1,3
1478130604,7,10
1478131203,11,5
1478131804,2,26
1478132403,0,33
1478133003,7,6
1478133602,2,1
1478134203,2,9
1478134806,1,41
1478135402,0,2
1478136002,8,5
1478136606,0,28
1478137203,19,8
1478137803,1,5
1478138402,28,2
1478139002,103,0
1478139602,41,0
1478140204,0,8
1478140803,2,0
1478141403,2,1
1478142002,1,10
1478142602,0,3
1478142904,0,1
1478143503,9,28
1478144102,1,0
1478144403,24,5
1478145002,1,4
1478145602,8,0
1478146204,2,7
1478146804,38,38
1478147403,69,7
1478148005,43,21
1478148603,0,12
1478149202,2,3
1478149803,3,3
1478150105,1,43
1478150703,36,7
1478151302,18,3
1478151904,0,4
1478152503,1,5
1478153102,5,1
1478153702,0,4
1478154302,36,2
1478154606,5,27
1478155203,43,7
1478155803,30,2
1478156404,15,7
1478157004,34,28
1478157602,9,11
1478158203,28,5
1478158506,5,23
1478159102,0,6
1478159704,7,24
1478160305,18,29
1478160902,39,1
1478161502,6,3
1478161805,8,22
1478162402,0,1
1478163003,3,3
1478163602,7,0
1478164204,13,13
1478164807,3,78
1478165403,19,8
1478166003,16,3
1478166603,36,5
1478167204,17,13
1478167803,33,6
1478168403,1,5
1478168705,2,24
1478169304,6,36
1478169902,3,7
1478170506,19,24
1478171102,5,2
1478171404,5,1
1478172005,6,4
1478172605,3,5
1478173202,14,2
1478173803,15,11
1478174402,29,11
1478175005,7,25
1478175604,18,23
1478176202,65,38
1478176505,1,4
1478177104,8,25
1478177703,15,3
