DateTime,Entries,UniqueIPs
1477787103,10408,10408
1477787702,10410,10410
1477788305,10387,10387
1477788904,10383,10383
1477789503,10411,10411
1477790103,10412,10412
1477790702,10412,10412
1477791303,10531,10531
1477791902,10530,10530
1477792203,10520,10520
1477792802,10556,10556
1477793403,10574,10574
1477793704,10573,10573
1477794304,10569,10569
1477794902,10548,10548
1477796104,10546,10546
1477796705,10539,10539
1477797302,10563,10563
1477797904,10534,10534
1477798502,10535,10535
1477799102,10540,10540
1477799703,10536,10536
1477800302,10509,10509
1477800604,10508,10508
1477801203,10489,10489
1477801803,10528,10528
1477802404,10582,10582
1477803004,10596,10596
1477803604,10661,10661
1477804202,10668,10668
1477804504,10659,10659
1477805404,10674,10674
1477806002,10673,10673
1477806304,10654,10654
1477806904,10751,10751
1477807206,10723,10723
1477807803,10725,10725
1477808402,10738,10738
1477809313,10724,10724
1477809903,10720,10720
1477810804,10747,10747
1477811404,10766,10766
1477812003,10762,10762
1477813209,10678,10678
1477813802,10678,10678
1477814105,10659,10659
1477814703,10616,10616
1477815303,10617,10617
1477815904,10616,10616
1477816508,10501,10501
1477817103,10623,10623
1477817703,10619,10619
1477818304,10612,10612
1477819507,10491,10491
1477820103,10475,10475
1477820704,10468,10468
1477821303,10459,10459
1477821605,10445,10445
1477822203,10460,10460
1477822802,10468,10468
1477823406,10467,10467
1477824304,10452,10452
1477824902,10487,10487
1477825205,10491,10491
1477825802,10499,10499
1477826404,10508,10508
1477827003,10503,10503
1477827602,10502,10502
1477828203,10530,10530
1477828802,10554,10554
1477829404,10544,10544
1477830005,10519,10519
1477830604,10514,10514
1477831203,10521,10521
1477831804,10534,10534
1477832404,10527,10527
1477833004,10512,10512
1477833606,10510,10510
1477833908,10478,10478
1477834502,10467,10467
1477834804,10463,10463
1477835403,10566,10566
1477835705,10567,10567
1477836303,10553,10553
1477836902,10547,10547
1477837215,10448,10448
1477837803,10452,10452
1477838405,10428,10428
1477839006,10407,10407
1477839603,10408,10408
1477840203,10456,10456
1477840505,10463,10463
1477841105,10502,10502
1477841703,10543,10543
1477842305,10622,10622
1477842903,10621,10621
1477843505,10582,10582
1477844105,10538,10538
1477844705,10567,10567
1477845308,10579,10579
1477845902,10572,10572
1477846204,10556,10556
1477846803,10563,10563
1477847405,10568,10568
1477848005,10540,10540
1477848309,10441,10441
1477848907,10365,10365
1477849503,10373,10373
1477850107,10359,10359
1477850703,10360,10360
1477851306,10349,10349
