DateTime,AddedIPs,RemovedIPs
1477058190,5,17
1477060105,9,10
1477062070,3,21
1477063947,7,15
1477065856,4,16
1477068162,7,13
1477070181,9,13
1477072176,13,13
1477074023,7,14
1477075923,6,14
1477077852,12,9
1477079779,5,11
1477081699,8,12
1477083656,5,15
1477085790,7,8
1477087706,4,14
1477089612,7,15
1477091537,10,4
1477093450,7,8
1477095386,6,7
1477097303,5,15
1477099227,12,3
1477101139,5,8
1477103069,7,9
1477104976,3,8
1477106945,13,7
1477108876,2,2
1477110754,6,7
1477112655,4,5
1477114577,4,5
1477116500,11,20
1477118422,1,5
1477120343,6,13
1477122257,5,14
1477124183,6,6
1477126101,7,15
1477128021,9,4
1477129946,8,6
1477131853,8,8
1477133776,5,10
1477135701,11,5
1477137669,3,5
1477139546,7,2
1477141462,8,11
1477143392,10,3
1477145302,4,14
1477147221,7,11
1477149136,17,1
1477151047,11,12
1477152982,5,4
1477154906,8,15
1477156824,6,4
1477158735,4,4
1477160655,9,5
1477162577,1,3
1477164544,3,4
1477166458,5,6
1477168348,6,5
1477170254,0,11
1477172188,4,12
1477174096,7,10
1477176012,4,7
1477177936,5,4
1477179874,8,6
1477181787,7,4
1477183708,5,3
1477185638,7,4
1477187591,1,9
1477189449,5,4
1477191385,7,10
1477193295,7,7
1477195270,2,11
1477197148,2,10
1477199111,4,10
1477200992,1,8
1477202916,5,29
1477204814,4,17
1477206764,7,3
1477208683,10,15
1477210825,10,7
1477212741,1,20
1477214659,13,5
1477216575,6,6
1477218499,8,12
1477220472,3,6
1477222345,8,2
1477224259,8,4
1477226187,10,3
1477228106,3,13
1477230033,8,9
1477231957,5,16
1477233853,5,8
1477235783,10,7
1477237701,10,15
1477239631,8,4
1477241540,6,19
1477243453,8,3
1477245390,6,4
1477247311,6,8
1477249261,5,7
1477251164,3,2
1477253128,4,7
1477254991,7,4
1477256917,1,9
1477258836,1,7
1477260766,7,11
1477262725,9,10
1477264587,6,5
1477266502,6,11
1477268444,3,8
1477270341,1,10
1477272266,15,3
1477274185,1,2
1477276111,16,8
1477278070,5,7
1477279948,5,5
1477281857,1,14
1477283785,2,10
1477285706,1,17
1477287616,4,12
1477289535,4,8
1477291455,6,22
1477293417,6,5
1477295303,8,19
1477297223,9,9
1477299147,4,8
1477301056,9,4
1477302980,6,13
1477304898,5,4
1477306865,2,12
1477308744,3,9
1477310659,2,10
1477312582,2,16
1477314510,8,13
1477316424,5,11
1477318351,7,11
1477320249,5,11
1477322199,3,4
1477324104,6,18
1477326023,5,14
1477327947,7,9
1477329855,10,9
1477331784,4,13
1477333696,10,12
1477335671,3,8
1477337545,7,16
1477339712,3,6
1477341685,6,13
1477343576,6,15
1477345457,12,13
1477347414,1,16
1477349298,12,8
1477351213,5,15
1477353138,5,16
1477355053,8,10
1477356972,3,11
1477358904,11,12
1477360860,2,8
1477362739,5,6
1477364663,4,10
1477366594,4,16
1477368509,2,12
1477370416,3,16
1477372344,5,13
1477374249,10,15
1477376182,8,15
1477378103,10,24
1477380026,12,23
1477381943,7,17
1477383853,14,23
1477385783,5,20
1477387704,14,12
1477389662,5,18
1477391543,5,7
1477393460,2,13
1477395403,7,20
1477397307,4,13
1477399222,7,12
1477401151,7,21
1477403053,18,7
1477404989,10,17
1477406906,13,17
1477408823,8,10
1477410748,4,19
1477412655,10,18
1477414598,1,13
1477416501,12,9
1477418473,5,15
1477420351,3,19
1477422257,2,11
1477424227,3,25
1477426109,5,18
1477428023,4,10
1477429946,14,21
1477431851,6,17
1477433779,11,4
1477435707,12,16
1477437632,10,18
1477439549,5,17
1477441458,21,14
1477443377,12,5
1477445297,4,14
1477447262,6,4
1477449149,10,16
1477451058,5,5
1477452986,6,0
1477454901,9,5
1477456827,4,10
1477458747,8,4
1477460653,18,15
1477462587,11,9
1477464509,12,12
1477466420,5,11
1477468343,4,9
1477470254,12,11
1477472180,5,27
1477474104,12,14
1477476072,3,12
1477477946,5,5
1477479888,4,15
1477481799,2,16
1477483714,5,15
1477485619,7,21
1477487551,13,14
1477489454,10,15
1477491390,12,14
1477493297,10,8
1477495465,15,22
1477497376,7,11
1477499305,16,6
1477501264,2,10
1477503144,5,4
1477505061,4,12
1477506988,4,12
1477508898,4,16
1477511045,8,14
1477512876,10,12
1477514891,6,13
1477516820,3,7
1477518766,4,13
1477520651,12,8
1477522577,7,5
1477524502,11,3
1477526462,8,4
1477528367,16,6
1477530254,9,9
1477532172,15,6
1477534094,6,13
1477536020,4,15
1477537942,7,7
1477539846,11,5
1477541781,5,4
1477543702,4,16
1477545609,9,6
1477547541,5,23
1477549449,14,13
1477551372,7,8
1477553295,11,7
1477555269,6,10
1477557136,7,13
1477559053,7,15
1477560974,5,7
1477562899,13,12
1477564814,5,6
1477566745,6,9
1477568650,12,19
1477570588,9,9
1477572492,11,13
1477574412,13,7
1477576342,3,4
1477578273,14,4
1477580192,3,5
1477582120,11,3
1477584106,8,8
1477585955,4,4
1477587868,2,11
1477589807,7,5
1477591738,5,12
1477593656,4,12
1477595550,12,4
1477597694,12,17
1477599618,11,0
1477601543,11,20
1477603448,10,4
1477605375,4,9
1477607299,11,8
1477609256,12,4
1477611169,6,11
1477613057,4,4
1477614974,15,7
1477616904,6,16
1477618811,7,6
1477620732,10,11
1477622648,9,9
1477624582,4,2
1477626496,9,12
1477628421,2,6
1477630340,11,6
1477632254,16,5
1477634177,3,11
1477636101,9,7
1477638085,3,12
1477639934,11,8
1477643782,6,30
1477645708,5,15
1477647618,5,9
1477649543,5,4
1477651449,4,5
1477653417,7,6
1477655294,15,20
1477657293,9,8
1477659158,10,7
1477661068,13,2
1477662979,5,5
1477664911,14,9
1477666880,4,20
1477668833,6,14
1477670753,2,11
1477672598,9,3
1477674508,3,9
1477676419,2,6
1477678337,8,3
1477680262,5,13
1477682194,10,2
1477684116,11,14
1477686032,8,7
1477688020,0,5
1477689880,12,7
1477691792,3,6
1477693708,1,3
1477695690,1,3
1477697546,6,3
1477699468,8,11
1477701383,12,6
1477703389,9,11
1477705213,10,4
1477707151,8,5
1477709056,9,17
1477710989,6,2
1477712903,8,4
1477714819,3,2
1477716741,3,2
1477718657,15,8
1477720575,3,6
1477722511,6,10
1477724464,4,3
1477726348,6,7
1477728483,4,19
1477730411,6,11
1477732348,1,14
1477734254,6,3
1477736176,1,5
1477738101,8,3
1477740018,6,6
1477741935,7,13
1477743855,12,9
1477745780,3,10
1477747708,7,7
1477749666,6,8
1477751548,6,10
1477753463,4,3
1477755435,0,6
1477757305,7,10
1477759220,2,7
1477761142,6,21
1477763064,6,13
1477764978,11,5
1477766905,6,15
1477768870,13,5
1477770755,10,15
1477772665,5,8
1477774588,4,6
1477776509,18,12
1477778502,3,5
1477780348,7,8
1477782267,1,5
1477784211,3,6
1477786121,4,11
1477788025,5,11
1477789950,4,8
1477791864,3,5
1477793784,4,8
1477795713,8,8
1477797644,2,4
1477799563,4,7
1477801528,9,2
1477803379,1,4
1477805415,9,4
1477807353,4,6
1477809409,1,6
1477811298,1,4
1477813227,7,12
1477815263,8,18
1477817302,11,4
1477819219,10,32
1477821144,2,0
1477823057,4,14
1477825030,6,6
1477826900,11,0
1477828862,0,24
1477830756,3,6
1477832658,6,6
1477834621,4,4
1477836513,2,5
1477838422,3,0
1477840345,8,10
1477842256,11,4
1477844198,6,11
1477846114,18,6
1477848025,6,15
1477849947,3,9
1477851851,8,8
1477853790,6,16
1477855712,5,7
1477857669,2,7
1477859552,5,3
1477861486,3,3
1477863391,2,9
1477865307,2,12
1477867224,4,2
1477869148,4,4
1477871051,6,7
1477873242,4,4
1477875154,5,12
1477877067,7,3
1477878986,5,2
1477880915,6,6
1477882873,5,3
1477884793,2,3
1477886736,1,2
1477888604,9,6
1477890554,6,5
1477892493,8,3
1477894420,3,13
1477896266,12,4
1477898196,9,5
1477900176,12,14
1477902096,13,4
1477903947,3,17
1477905979,18,4
1477907843,5,7
1477909821,7,8
1477911755,6,2
1477913642,4,4
1477915498,2,4
1477917399,1,4
1477919312,7,7
1477921227,3,7
1477923408,6,7
1477925312,15,3
1477927253,12,0
1477929155,9,13
1477931054,15,6
1477932981,10,4
1477934914,9,6
1477936893,8,1
1477938743,7,2
1477940669,7,0
1477942585,5,14
1477944754,9,19
1477946658,6,17
1477948624,8,13
1477950504,17,13
1477952418,7,18
