DateTime,AddedIPs,RemovedIPs
1474038703,2,2
1474042539,1,4
1474045957,3,3
1474049639,0,4
1474053052,1,4
1474055822,1,2
1474059425,0,2
1474063231,1,3
1474065944,2,3
1474069313,1,2
1474073048,1,3
1474076653,1,4
1474080044,1,2
1474083680,2,2
1474087195,1,1
1474091047,1,0
1474094382,2,4
1474097955,0,2
1474101382,1,5
1474104761,2,2
1474108535,1,0
1474112063,0,3
1474115106,1,3
1474118778,0,3
1474122244,0,3
1474126020,2,1
1474129699,0,3
1474133337,2,3
1474136919,2,1
1474140645,1,2
1474144547,2,0
1474148310,2,4
1474152217,2,2
1474156117,1,2
1474159834,0,5
1474163465,2,4
1474167347,2,2
1474171173,1,3
1474174898,1,5
1474178247,1,1
1474181658,2,1
1474184841,2,1
1474188676,1,2
1474192335,3,0
1474195843,1,3
1474199768,2,4
1474203630,2,1
1474207145,2,1
1474211023,3,2
1474214795,2,11
1474218703,3,6
1474221798,1,4
1474225246,1,3
1474229272,2,6
1474232925,1,2
1474236728,1,4
1474240833,2,2
1474244654,2,2
1474248283,4,1
1474251401,0,2
1474254496,0,3
1474258219,2,5
1474261766,0,1
1474265099,1,0
1474268713,0,2
1474272356,2,3
1474275873,1,3
1474279492,2,4
1474283251,2,1
1474287003,1,0
1474290723,0,1
1474294800,3,3
1474298864,4,1
1474302155,3,2
1474305406,2,2
1474309014,0,2
1474312687,0,7
1474320116,2,5
1474323773,1,3
1474325500,2,3
1474329041,1,0
1474332650,1,2
1474336309,2,1
1474340093,3,3
1474343942,4,1
1474347399,3,2
1474350547,1,2
1474352475,2,3
1474356050,0,3
1474362649,1,2
1474366282,3,3
1474370105,1,1
1474374174,1,1
1474377921,3,5
1474381536,0,2
1474385263,0,2
1474388878,4,4
1474392541,0,1
1474395925,0,2
1474399181,1,4
1474403028,2,2
1474406895,0,3
1474410535,3,2
1474417920,2,4
1474421723,2,3
1474425299,1,2
1474429191,1,5
1474433006,2,2
1474436881,4,2
1474440709,1,3
1474444466,5,6
1474448184,2,0
1474452080,1,2
1474455735,4,2
1474459033,0,1
1474462567,2,1
1474466423,3,2
1474470190,2,4
1474473515,1,5
1474477235,1,1
1474480697,1,2
1474484337,0,1
1474487998,1,2
1474491839,0,1
1474495581,3,8
1474499011,1,1
1474502575,1,4
1474506433,0,4
1474510256,2,3
1474517646,2,1
1474520648,1,2
1474524085,1,4
1474527671,1,2
1474531019,1,2
1474534493,0,1
1474538003,2,2
1474541535,0,3
1474545225,4,2
1474548934,2,2
1474552427,1,5
1474559613,3,1
1474563374,2,3
1474566944,4,1
1474570474,1,8
1474574392,2,1
1474577793,2,3
1474581480,1,0
1474585192,0,4
1474588959,1,1
1474592890,2,0
1474596603,1,4
1474600167,2,2
1474603376,0,2
