DateTime,Entries,UniqueIPs
1477545861,25415,25415
1477546828,25405,25405
1477547787,25469,25469
1477548746,25603,25603
1477549697,25692,25692
1477550662,25849,25849
1477551700,26032,26032
1477552611,26218,26218
1477553557,26249,26249
1477554499,26429,26429
1477555467,26494,26494
1477556422,26551,26551
1477557389,26552,26552
1477558380,26570,26570
1477559319,26601,26601
1477560253,26612,26612
1477561228,26568,26568
1477562186,26639,26639
1477563151,26641,26641
1477564097,26655,26655
1477565070,26638,26638
1477566067,26654,26654
1477567251,26643,26643
1477568195,26538,26538
1477569145,26603,26603
1477570115,26600,26600
1477571053,26600,26600
1477572025,26550,26550
1477572979,26596,26596
1477573942,26601,26601
1477574921,26591,26591
1477575858,26531,26531
1477576870,26585,26585
1477577790,26589,26589
1477578749,26587,26587
1477579722,26594,26594
1477580671,26598,26598
1477581621,26606,26606
1477582604,26604,26604
1477583559,26596,26596
1477584513,26599,26599
1477585458,26601,26601
1477586431,26530,26530
1477587384,26578,26578
1477588351,26584,26584
1477589319,26583,26583
1477590257,26591,26591
1477591268,26515,26515
1477592472,26499,26499
1477593418,26498,26498
1477594444,26469,26469
1477595562,26474,26474
1477596755,26472,26472
1477597706,26396,26396
1477598691,26438,26438
1477599626,26435,26435
1477600619,26437,26437
1477601547,26278,26278
1477602504,26312,26312
1477603461,26314,26314
1477604418,26308,26308
1477605380,26235,26235
1477606348,26235,26235
1477607303,26240,26240
1477608253,26124,26124
1477609268,26181,26181
1477610459,26184,26184
1477611412,26179,26179
1477612368,26086,26086
1477613301,26124,26124
1477614277,26121,26121
1477615221,26113,26113
1477616181,26099,26099
1477617150,26096,26096
1477618106,26097,26097
1477619058,26094,26094
1477620067,26063,26063
1477620986,26044,26044
1477621944,26048,26048
1477622920,26047,26047
1477623865,26032,26032
1477624821,26032,26032
1477625802,26034,26034
1477626749,25951,25951
1477627707,26004,26004
1477628664,26001,26001
1477629623,26002,26002
1477630590,25989,25989
1477631552,25997,25997
1477632509,25999,25999
1477633457,26000,26000
1477634480,25998,25998
1477635386,26003,26003
1477636413,26006,26006
1477637342,26005,26005
1477638272,25937,25937
1477639226,25949,25949
1477640214,25956,25956
1477641173,25960,25960
1477642101,25920,25920
1477643060,25921,25921
1477644024,25917,25917
1477644978,25852,25852
1477645965,25894,25894
1477646900,25904,25904
1477647859,25916,25916
1477648886,25842,25842
1477650021,25928,25928
1477651002,25996,25996
1477651936,26095,26095
1477652908,26050,26050
1477653858,26073,26073
1477654822,26171,26171
1477655778,26213,26213
1477656754,26220,26220
1477657698,26279,26279
1477658656,26318,26318
1477659675,26257,26257
1477660834,26319,26319
1477661793,26322,26322
1477662752,26309,26309
1477663737,26226,26226
1477664657,26256,26256
1477665624,26257,26257
1477666606,26196,26196
1477667554,26243,26243
1477668519,26239,26239
1477669462,26239,26239
1477670495,26183,26183
1477671396,26240,26240
1477672338,26252,26252
1477673306,26256,26256
1477674268,26248,26248
1477675224,26228,26228
1477676206,26219,26219
1477677176,26229,26229
1477678121,26175,26175
1477679063,26234,26234
1477680026,26244,26244
1477680990,26249,26249
1477681949,26225,26225
1477682913,26240,26240
1477683858,26253,26253
1477684803,26255,26255
1477686036,25951,25951
1477686994,25947,25947
1477688024,25950,25950
1477689145,25952,25952
1477690101,25836,25836
1477691050,25828,25828
1477692071,25831,25831
1477693006,25804,25804
1477693944,25814,25814
1477694911,25817,25817
1477695864,25815,25815
1477696829,25580,25580
1477697811,25575,25575
1477698755,25575,25575
1477699706,25581,25581
1477700666,25378,25378
1477701624,25377,25377
1477702590,25352,25352
1477703551,25356,25356
1477704511,25254,25254
1477705457,25230,25230
1477706482,25220,25220
1477707389,25216,25216
1477708344,25163,25163
1477709309,25166,25166
1477710263,25163,25163
1477711222,25202,25202
1477712207,25114,25114
1477713146,25112,25112
1477714114,25111,25111
1477715070,25102,25102
1477716025,25112,25112
1477716988,25111,25111
1477717959,25118,25118
1477718908,25129,25129
1477719857,25134,25134
1477720877,25153,25153
1477721793,25148,25148
1477722750,25132,25132
1477723722,25136,25136
1477724667,25141,25141
1477725624,25190,25190
1477726603,25126,25126
1477727550,25126,25126
1477728489,25129,25129
1477729456,25188,25188
1477730423,25112,25112
1477731380,25115,25115
