DateTime,Entries,UniqueIPs
1477337321,3932,3932
1477338260,3882,3882
1477339277,3882,3882
1477340193,3882,3882
1477341140,3882,3882
1477342105,3880,3880
1477343065,3880,3880
1477344045,3880,3880
1477344993,3880,3880
1477345950,3906,3906
1477346913,3906,3906
1477347868,3906,3906
1477348826,3941,3941
1477349791,3941,3941
1477350749,3941,3941
1477351721,3941,3941
1477352660,3926,3926
1477353674,3926,3926
1477354588,3926,3926
1477355558,3926,3926
1477356506,3813,3813
1477357466,3812,3812
1477358431,3812,3812
1477359394,3812,3812
1477360342,3780,3780
1477361319,3780,3780
1477362261,3780,3780
1477363220,3780,3780
1477364191,3795,3795
1477365148,3795,3795
1477366103,3795,3795
1477367064,3795,3795
1477368093,3816,3816
1477368994,3816,3816
1477369950,3817,3817
1477370911,3811,3811
1477371875,3811,3811
1477372836,3811,3811
1477373786,3811,3811
1477374762,3828,3828
1477375710,3828,3828
1477376659,3828,3828
1477377619,3828,3828
1477378598,3849,3849
1477379547,3849,3849
1477380513,3849,3849
1477381459,3849,3849
1477382474,3870,3870
1477383382,3870,3870
1477384350,3870,3870
1477385311,3870,3870
1477386282,3870,3870
1477387233,3887,3887
1477388220,3887,3887
1477389152,3887,3887
1477390117,3901,3901
1477391063,3901,3901
1477392024,3901,3901
1477393007,3896,3896
1477393981,3896,3896
1477394913,3896,3896
1477395861,3896,3896
1477396870,3895,3895
1477397821,3895,3895
1477398744,3895,3895
1477399721,3895,3895
1477400674,3898,3898
1477401629,3898,3898
1477402580,3898,3898
1477403562,3898,3898
1477404509,3896,3896
1477405470,3896,3896
1477406432,3896,3896
1477407389,3896,3896
1477408352,3865,3865
1477409319,3865,3865
1477410262,3865,3865
1477411285,3842,3842
1477412428,3842,3842
1477413382,3842,3842
1477414342,3842,3842
1477415309,3845,3845
1477416251,3846,3846
1477417223,3846,3846
1477418188,3845,3845
1477419141,3838,3838
1477420197,3838,3838
1477421304,3838,3838
1477422262,3841,3841
1477423217,3841,3841
1477424239,3841,3841
1477425177,3841,3841
1477426115,3847,3847
1477427061,3847,3847
1477428028,3847,3847
1477428977,3848,3848
1477429959,3834,3834
1477430896,3834,3834
1477431856,3834,3834
1477432884,3834,3834
1477433785,3846,3846
1477434753,3846,3846
1477435719,3846,3846
1477436659,3846,3846
1477437637,3857,3857
1477438605,3857,3857
1477439561,3857,3857
1477440506,3868,3868
1477441463,3868,3868
1477442437,3868,3868
1477443382,3868,3868
1477444348,3869,3869
1477445309,3869,3869
1477446258,3869,3869
1477447267,3869,3869
1477448213,3890,3890
1477449154,3890,3890
1477450097,3890,3890
1477451071,3890,3890
1477452026,3897,3897
1477452991,3897,3897
1477453953,3897,3897
1477454906,3897,3897
1477455856,3923,3923
1477456839,3923,3923
1477457777,3923,3923
1477458753,3979,3979
1477459707,3979,3979
1477460658,3979,3979
1477461665,3979,3979
1477462599,3997,3997
1477463549,3997,3997
1477464514,3997,3997
1477465464,3997,3997
1477466426,3985,3985
1477467387,3985,3985
1477468359,3985,3985
1477469330,3985,3985
1477470261,3936,3936
1477471216,3936,3936
1477472192,3936,3936
1477473145,3936,3936
1477474109,3904,3904
1477475067,3904,3904
1477476077,3904,3904
1477476981,3904,3904
1477477959,3889,3889
1477478898,3889,3889
1477479893,3889,3889
1477480831,3849,3849
1477481804,3849,3849
1477482746,3849,3849
1477483726,3849,3849
1477484654,3796,3796
1477485624,3796,3796
1477486587,3796,3796
1477487556,3796,3796
1477488499,3741,3741
1477489466,3741,3741
1477490465,3741,3741
1477491395,3741,3741
1477492362,3688,3688
1477493302,3688,3688
1477494262,3688,3688
1477495477,3620,3620
1477496427,3620,3620
1477497381,3620,3620
1477498346,3620,3620
1477499310,3567,3567
1477500252,3567,3567
1477501276,3567,3567
1477502190,3567,3567
1477503149,3514,3514
1477504115,3514,3514
1477505066,3514,3514
1477506025,3514,3514
1477507000,3506,3506
1477507945,3506,3506
1477508903,3506,3506
1477509859,3506,3506
1477511050,3501,3501
1477512079,3501,3501
1477513231,3501,3501
1477514186,3482,3482
1477515153,3482,3482
1477516099,3482,3482
1477517053,3482,3482
1477518055,3408,3408
1477518988,3408,3408
1477519946,3408,3408
1477520915,3359,3359
1477521849,3359,3359
1477522873,3359,3359
1477523816,3360,3360
1477524748,3347,3347
1477525695,3347,3347
1477526672,3347,3347
1477527640,3347,3347
1477528581,3342,3342
1477529555,3342,3342
1477530505,3342,3342
1477531459,3342,3342
1477532439,3319,3319
1477533382,3319,3319
1477534349,3319,3319
1477535299,3320,3320
1477536265,3286,3286
1477537275,3286,3286
1477538194,3287,3287
1477539152,3286,3286
1477540111,3225,3225
1477541058,3225,3225
1477542025,3225,3225
1477542985,3225,3225
1477543971,3178,3178
1477544955,3179,3179
1477545861,3179,3179
1477546828,3122,3122
1477547787,3121,3121
1477548746,3121,3121
1477549697,3121,3121
1477550662,3036,3036
1477551700,3036,3036
1477552611,3036,3036
1477553557,3036,3036
1477554499,3030,3030
1477555467,3030,3030
1477556422,3030,3030
1477557389,3030,3030
1477558380,3036,3036
1477559319,3036,3036
1477560253,3036,3036
1477561228,3036,3036
1477562186,3040,3040
1477563151,3040,3040
1477564097,3040,3040
1477565070,3040,3040
1477566067,3040,3040
1477567251,3040,3040
1477568195,3040,3040
1477569145,3048,3048
1477570115,3048,3048
1477571053,3048,3048
1477572025,3048,3048
1477572979,3050,3050
1477573942,3050,3050
1477574921,3050,3050
1477575858,3050,3050
1477576870,3045,3045
1477577790,3045,3045
1477578749,3045,3045
1477579722,3034,3034
1477580671,3034,3034
1477581621,3034,3034
1477582604,3034,3034
1477583559,3033,3033
1477584513,3033,3033
1477585458,3033,3033
1477586431,3033,3033
1477587384,3035,3035
1477588351,3035,3035
1477589319,3035,3035
1477590257,3035,3035
1477591268,2999,2999
1477592472,2999,2999
1477593418,2999,2999
1477594444,2990,2990
1477595562,2990,2990
1477596755,2990,2990
1477597706,2990,2990
1477598691,2980,2980
1477599626,2980,2980
1477600619,2980,2980
1477601547,2980,2980
1477602504,2966,2966
1477603461,2966,2966
1477604418,2966,2966
1477605380,2943,2943
1477606348,2943,2943
1477607303,2943,2943
1477608253,2943,2943
1477609268,2935,2935
1477610459,2935,2935
1477611412,2935,2935
1477612368,2935,2935
1477613301,2923,2923
1477614277,2923,2923
1477615221,2923,2923
1477616181,2909,2909
1477617150,2909,2909
1477618106,2909,2909
1477619058,2909,2909
1477620067,2896,2896
1477620986,2896,2896
1477621944,2896,2896
1477622920,2896,2896
1477623865,2892,2892
1477624821,2892,2892
1477625802,2892,2892
