DateTime,Entries,UniqueIPs
1476826101,36680,37468
1476827061,36622,37410
1476829951,36754,37544
1476830927,36724,37514
1476832839,36847,37637
1476834755,36805,37595
1476836654,36906,37697
1476837618,36876,37667
1476840497,36973,37766
1476842463,36945,37738
1476844344,37039,37833
1476845305,37005,37799
1476847221,37104,37901
1476850107,37079,37874
1476851049,37171,37967
1476852985,37151,37947
1476854904,37258,38061
1476855863,37237,38039
1476858743,37309,38112
1476860653,37265,38068
1476862575,37327,38135
1476863547,37307,38115
1476866473,37377,38189
1476867395,37341,38153
1476869302,37411,38227
1476870266,37366,38181
1476873147,37448,38265
1476875059,37411,38228
1476876987,37478,38301
1476878913,37450,38272
1476880821,37503,38330
1476881784,37469,38296
1476884667,37531,38360
1476886584,37501,38330
1476887551,37534,38367
1476889460,37508,38341
1476891376,37553,38388
1476893316,37516,38350
1476895217,37564,38406
1476897387,37526,38366
1476899298,37574,38415
1476900508,37541,38380
1476902417,37613,38455
1476904347,37578,38420
1476906258,37649,38493
1476907263,37602,38445
1476910099,37699,38545
1476912022,37656,38502
1476913950,37735,38581
1476915854,37707,38553
1476916811,37802,38649
1476917785,37784,38631
1476920910,37889,38737
1476921857,37869,38717
1476924736,37954,38804
1476925706,37921,38771
1476927620,38001,38854
1476929553,37948,38801
1476931449,38025,38879
1476933385,38012,38866
1476935308,38094,38949
1476936262,38034,38889
1476939138,38147,39002
1476940103,38116,38969
1476942973,38241,39095
1476943970,38198,39052
1476946869,38269,39124
1476948751,38218,39072
1476949702,38288,39142
1476950657,38242,39095
1476953549,38327,39180
1476955464,38304,39157
1476957390,38383,39238
1476958355,38352,39207
1476961271,38414,39269
1476963145,38391,39246
1476964119,38492,39348
1476965064,38444,39298
1476968007,38514,39370
1476969145,38381,39236
1476972063,38456,39311
1476972973,38410,39262
1476975860,38480,39333
1476976819,38417,39269
1476978739,38482,39338
1476979705,38394,39240
1476982572,38463,39310
1476983557,38388,39232
1476986664,38446,39290
1476987629,38401,39244
1476990498,38486,39330
1476991457,38427,39271
1476993382,38502,39347
1476995291,38472,39316
1476997267,38590,39435
1476999383,38534,39379
1477001324,38690,39538
1477002272,38672,39518
1477004186,38782,39630
1477006105,38741,39589
1477008068,38914,39763
1477009961,38876,39725
1477011872,39089,39940
1477013797,39046,39893
1477015699,39243,40091
1477016661,39193,40039
1477019552,39401,40248
1477020504,39371,40218
1477022495,39556,40406
1477024349,39524,40374
1477026275,39687,40537
1477028188,39664,40514
1477030106,39742,40593
1477032022,39663,40513
1477033947,39729,40579
1477034918,39692,40541
1477037795,39755,40606
1477038750,39716,40567
1477040899,39773,40625
1477041921,39745,40596
1477044999,39792,40645
1477048898,39875,40732
1477050025,39855,40712
1477051947,39905,40760
1477055784,39951,40807
1477059851,39997,40855
1477062744,40059,40920
1477063697,40024,40885
1477066668,40083,40946
1477067647,40056,40918
1477070647,40141,41006
1477071716,40118,40981
1477073783,40265,41131
1477074746,40247,41113
1477077855,40430,41297
1477081701,40563,41430
1477082657,40555,41421
1477085800,40697,41564
1477088660,40856,41725
1477089614,40848,41717
1477092523,41012,41879
1477096346,41222,42091
1477097312,41192,42061
1477100184,41473,42343
1477101142,41449,42318
1477104026,41646,42517
1477104979,41608,42478
1477107850,41808,42678
1477110984,41957,42828
1477111942,41931,42801
1477114816,42108,42979
1477115777,42090,42961
1477118660,42172,43044
1477122499,42187,43060
1477126342,42155,43027
1477129224,42192,43066
1477130180,42156,43029
1477133050,42179,43053
1477134068,42166,43040
1477136900,42191,43066
1477140737,42217,43088
1477144571,42231,43102
1477148471,42243,43114
1477151310,42285,43156
1477152258,42243,43114
1477155138,42270,43138
1477158980,42308,43174
1477162864,42341,43210
1477166658,42382,43252
1477169535,42423,43298
1477170504,42398,43273
1477173380,42474,43347
1477177266,42535,43408
1477181060,42580,43453
1477184898,42635,43509
