DateTime,AddedIPs,RemovedIPs
1476891376,47,0
1476892347,0,99
1476895217,57,107
1476899298,49,0
1476900508,0,111
1476902417,75,0
1476903384,0,124
1476906258,73,133
1476910099,100,166
1476913950,79,160
1476916811,96,0
1476917785,0,150
1476920910,106,131
1476924736,87,118
1476927620,83,0
1476928576,0,97
1476931449,78,0
1476932471,0,98
1476935308,83,0
1476936262,0,97
1476939138,113,0
1476940103,0,129
1476942973,126,0
1476943970,0,48
1476946869,72,40
1476949702,70,0
1476950657,0,39
1476953549,85,0
1476954501,0,44
1476957390,81,0
1476958355,0,47
1476961271,62,0
1476962176,0,44
1476964119,102,0
1476965064,0,53
1476968007,72,0
1476969145,0,37
1476972063,75,0
1476972973,0,39
1476975860,71,0
1476976819,0,52
1476978739,69,0
1476980657,0,71
1476982572,70,0
1476983557,0,69
1476986664,58,0
1476987629,0,59
1476990498,86,0
1476991457,0,91
1476993382,76,0
1476994348,0,89
1476997267,119,0
1476998432,0,52
1477001324,159,0
1477002272,0,85
1477004186,112,0
1477006105,0,66
1477008068,174,0
1477008982,0,86
1477011872,215,0
1477012834,0,50
1477015699,198,0
1477016661,0,57
1477019552,209,0
1477020504,0,50
1477022495,188,0
1477024349,0,33
1477026275,163,0
1477027223,0,44
1477030106,79,0
1477031056,0,39
1477033947,66,0
1477034918,0,45
1477037795,65,0
1477038750,0,36
1477040899,58,0
1477043078,0,46
1477044999,69,0
1477046903,0,38
1477048898,87,65
1477051947,75,0
1477052895,0,72
1477055784,64,0
1477056747,0,54
1477059851,69,0
1477060815,0,72
1477062744,65,0
1477064659,0,67
1477066668,61,0
1477067647,0,52
1477070647,88,0
1477071716,0,54
1477073783,150,0
1477074746,0,48
1477077855,208,0
1477078813,0,61
1477081701,133,0
1477082657,0,45
1477085800,158,51
1477088660,161,0
1477090592,0,49
1477092523,208,0
1477094487,0,46
1477096346,212,0
1477098257,0,49
1477100184,282,0
1477101142,0,27
1477104026,199,0
1477104979,0,45
1477107850,229,0
1477108886,0,43
1477110984,150,0
1477111942,0,40
1477114816,178,0
1477115777,0,25
1477118660,83,0
1477119663,0,32
1477122499,31,46
1477126342,37,31
1477129224,39,0
1477130180,0,47
1477133050,24,0
1477134068,0,63
1477136900,43,0
1477137855,0,38
1477140737,40,0
1477141693,0,38
1477144571,30,0
1477145548,0,109
1477148471,41,0
1477149383,0,76
1477151310,42,0
1477152258,0,54
1477155138,63,0
1477156112,0,83
1477158980,69,0
1477159948,0,68
1477162864,67,0
1477163815,0,77
1477166658,61,0
1477167626,0,70
1477169535,46,0
1477170504,0,63
1477173380,97,0
1477174349,0,80
1477177266,87,0
