DateTime,Entries,UniqueIPs
1476240253,2001,2001
1476244108,2065,2065
1476247944,2168,2168
1476250830,2214,2214
1476254651,2236,2236
1476258506,2242,2242
1476262342,2258,2258
1476266186,2249,2249
1476270071,2234,2234
1476272903,2184,2184
1476276749,2097,2097
1476280594,2026,2026
1476284468,1955,1955
1476287541,1914,1914
1476291375,1845,1845
1476295698,1793,1793
1476298582,1733,1733
1476302462,1712,1712
1476306272,1620,1620
1476310104,1524,1524
1476313947,1437,1437
1476316856,1397,1397
1476320659,1342,1342
1476324506,1293,1293
1476328348,1258,1258
1476332177,1202,1202
1476336029,1122,1122
1476339854,1118,1118
1476342739,1131,1131
1476346588,1118,1118
1476350428,1105,1105
1476354254,1111,1111
1476358104,1122,1122
1476360985,1124,1124
1476364831,1144,1144
1476368657,1183,1183
1476372496,1192,1192
1476376344,1179,1179
1476379224,1155,1155
1476383053,1157,1157
1476386895,1122,1122
1476390042,1080,1080
1476393858,1088,1088
1476397706,1065,1065
1476401541,1037,1037
1476404686,1006,1006
1476408516,994,994
1476412348,980,980
1476416194,986,986
1476420030,998,998
1476422908,999,999
1476426745,1004,1004
1476430587,993,993
1476434433,991,991
1476438255,989,989
1476442104,995,995
1476444987,990,990
1476448825,963,963
1476452649,951,951
1476456512,952,952
1476460352,953,953
1476463448,964,964
1476467549,972,972
1476470415,1001,1001
1476474250,1002,1002
1476478116,1010,1010
1476481941,1020,1020
1476485779,1035,1035
1476489659,1064,1064
1476493459,1069,1069
1476496351,1097,1097
1476500191,1118,1118
1476504079,1144,1144
1476507863,1186,1186
1476511706,1215,1215
1476515561,1245,1245
1476518466,1263,1263
1476522492,1313,1313
1476526352,1359,1359
1476530181,1380,1380
1476533318,1423,1423
1476537149,1441,1441
1476541254,1376,1376
1476545064,1369,1369
1476547957,1356,1356
1476551774,1312,1312
1476555617,1318,1318
1476559450,1335,1335
1476563292,1339,1339
1476566199,1354,1354
1476570025,1351,1351
1476573862,1340,1340
1476577694,1346,1346
1476581539,1329,1329
1476584416,1307,1307
1476588256,1299,1299
1476592108,1260,1260
1476596206,1231,1231
1476599056,1215,1215
1476602898,1219,1219
1476606750,1184,1184
1476610585,1147,1147
1476614423,1109,1109
1476617294,1068,1068
1476621145,1071,1071
1476624990,1050,1050
1476628829,1043,1043
1476632654,1031,1031
1476635648,1024,1024
1476639621,981,981
1476643446,941,941
1476647301,906,906
1476650192,892,892
1476654027,892,892
1476657848,880,880
1476661703,886,886
1476665543,877,877
1476668430,895,895
1476672252,892,892
1476676104,894,894
1476679945,889,889
1476682824,898,898
1476686653,917,917
1476690496,919,919
1476694345,941,941
1476698176,956,956
1476702069,980,980
1476704905,986,986
1476708746,989,989
1476712581,1033,1033
1476716476,1052,1052
1476719318,1084,1084
1476723141,1097,1097
1476726983,1108,1108
1476730858,1126,1126
1476734678,1138,1138
1476737547,1195,1195
1476741383,1274,1274
1476745260,1345,1345
1476749065,1362,1362
1476752910,1342,1342
1476756742,1364,1364
1476759668,1372,1372
1476763469,1375,1375
1476767314,1400,1400
1476771153,1398,1398
1476774981,1372,1372
1476777865,1364,1364
1476781738,1341,1341
1476785556,1335,1335
1476789387,1337,1337
1476793235,1345,1345
1476797055,1353,1353
1476800895,1356,1356
1476803784,1366,1366
1476807625,1374,1374
1476811455,1419,1419
1476815301,1406,1406
1476818238,1392,1392
1476822032,1402,1402
1476826101,1388,1388
1476829951,1428,1428
1476832839,1490,1490
