DateTime,AddedIPs,RemovedIPs
1477593418,7,6
1477594444,6,4
1477595562,8,21
1477596755,6,6
1477597706,7,14
1477598691,4,3
1477599626,7,9
1477600619,10,11
1477601547,10,6
1477602504,3,13
1477603461,7,4
1477604418,13,7
1477605380,1,9
1477606348,8,10
1477607303,7,12
1477608253,5,3
1477609268,7,4
1477610459,7,7
1477611412,4,5
1477612368,5,7
1477613301,5,7
1477614277,6,15
1477615221,4,10
1477616181,5,6
1477617150,7,8
1477618106,5,9
1477619058,3,19
1477620067,10,7
1477620986,1,3
1477621944,5,4
1477622920,5,14
1477623865,8,14
1477624821,7,5
1477625802,5,2
1477626749,6,7
1477627707,10,2
1477628664,3,5
1477629623,7,9
1477630590,3,4
1477631552,13,7
1477632509,10,1
1477633457,5,5
1477634480,9,5
1477635386,6,5
1477636413,8,6
1477637342,7,3
1477638272,2,8
1477639226,12,4
1477640214,6,3
1477641173,10,7
1477642101,4,4
1477643060,7,9
1477644024,8,3
1477644978,3,1
1477645965,8,4
1477646900,14,2
1477647859,14,6
1477648886,43,5
1477650021,87,5
1477651002,81,9
1477651936,123,4
1477652908,85,10
1477653858,75,4
1477654822,122,7
1477655778,68,5
1477656754,95,2
1477657698,81,4
1477658656,43,8
1477659675,28,6
1477660834,18,11
1477661793,17,6
1477662752,2,15
1477663737,7,0
1477664657,2,6
1477665624,5,5
1477666606,7,6
1477667554,10,3
1477668519,6,8
1477669462,7,7
1477670495,6,2
1477671396,4,7
1477672338,13,8
1477673306,17,7
1477674268,5,5
1477675224,10,4
1477676206,6,5
1477677176,11,4
1477678121,13,4
1477679063,7,11
1477680026,13,3
1477680990,9,6
1477681949,15,5
1477682913,15,8
1477683858,12,13
1477684803,10,1
1477686036,19,21
1477686994,8,14
1477688024,6,5
1477689145,6,3
1477690101,11,12
1477691050,2,4
1477692071,7,8
1477693006,13,10
1477693944,13,11
1477694911,4,10
1477695864,12,6
1477696829,14,10
1477697811,10,5
1477698755,9,6
1477699706,15,7
1477700666,9,9
1477701624,12,7
1477702590,1,8
1477703551,9,7
1477704511,5,11
1477705457,1,12
1477706482,6,16
1477707389,2,6
1477708344,10,4
1477709309,9,8
1477710263,2,4
1477711222,11,4
1477712207,3,7
1477713146,7,2
1477714114,6,5
1477715070,7,5
1477716025,12,3
1477716988,5,9
1477717959,12,8
1477718908,13,5
1477719857,18,2
1477720877,25,8
1477721793,7,6
1477722750,8,4
1477723722,14,9
1477724667,4,6
1477725624,8,5
1477726603,3,1
1477727550,5,3
1477728489,8,7
1477729456,4,4
1477730423,6,16
1477731380,6,6
1477732360,9,4
1477733308,10,9
1477734259,9,1
1477735291,8,7
1477736426,5,7
1477737408,10,2
1477738344,9,3
1477739314,8,4
1477740265,3,11
1477741226,6,10
1477742178,2,8
1477743166,9,3
1477744109,3,12
1477745059,2,3
1477746069,5,16
1477747005,7,9
1477747942,11,8
1477748913,10,8
1477749871,1,2
1477750835,7,10
1477751798,8,2
1477752749,6,7
1477753699,8,5
1477754659,2,5
1477755616,9,6
1477756582,3,8
1477757554,4,4
1477758505,8,7
1477759453,3,8
1477760466,7,11
1477761387,4,6
1477762349,7,6
1477763314,5,4
1477764264,8,8
1477765232,5,4
1477766236,4,13
1477767151,4,8
1477768979,25,16
1477770025,9,7
1477770979,11,13
1477771943,6,2
1477772899,8,15
1477773859,5,6
1477774868,5,11
1477775812,10,8
1477776755,4,10
1477777697,3,18
1477778656,5,12
1477779629,7,0
1477780600,7,8
1477781550,17,0
1477782497,6,10
1477783457,4,3
1477784420,5,13
1477785380,3,9
1477786349,3,14
1477787304,6,0
1477788252,2,3
1477789263,3,19
1477790186,2,7
1477791142,4,0
1477792110,5,18
1477793070,3,8
1477794027,1,0
1477795007,2,10
1477795941,2,0
1477796904,5,4
1477797857,0,7
1477798814,7,0
1477799781,2,6
1477800748,9,3
1477801696,9,4
1477802656,5,4
1477803677,2,13
1477804851,5,7
1477805800,2,5
1477806785,7,4
1477807717,2,10
1477808659,3,6
1477809621,5,5
1477810871,10,4
1477811804,5,5
1477812755,4,5
1477813707,4,17
1477814877,11,6
1477815860,1,5
1477816816,10,6
1477817792,12,8
1477818745,8,6
1477819714,6,6
1477820662,4,6
1477821672,5,4
1477822586,5,5
1477823560,6,5
1477824507,12,7
1477825496,7,9
1477826436,4,2
1477827405,10,18
1477828347,8,3
1477829313,10,14
1477830260,3,12
1477831229,5,5
1477832197,3,11
1477833155,8,4
1477834103,7,17
1477835063,4,8
1477836069,6,8
1477836991,4,10
1477837951,2,8
1477838899,6,5
1477839861,6,6
1477840833,2,9
1477841804,4,8
1477842743,3,5
1477843722,7,7
1477844658,5,4
1477845621,8,11
1477846602,6,10
1477847555,13,19
1477848506,10,4
1477849465,11,13
1477850470,8,11
1477851389,4,5
1477852344,15,5
1477853304,13,6
1477854267,0,8
1477855227,10,9
1477856297,8,12
1477857390,8,10
1477858342,13,7
1477859305,15,9
1477860263,7,3
1477861273,9,22
1477862189,12,4
1477863147,17,17
1477864102,14,2
1477865072,21,12
1477866043,19,8
1477866999,6,7
1477867951,6,11
1477868919,16,9
1477869860,5,8
1477870827,12,8
1477871792,5,1
1477872759,38,8
1477873964,13,8
1477874902,13,9
1477875863,6,16
1477876835,4,11
1477877791,7,9
1477878745,3,4
1477879717,9,18
1477880653,7,6
1477881615,6,3
1477882586,1,10
1477883536,4,4
1477884494,8,4
1477885456,6,2
1477886458,6,10
1477887378,3,4
1477888355,7,2
1477889305,4,5
1477890267,7,1
1477891236,7,3
1477892190,5,7
1477893181,11,5
1477894103,2,10
1477895052,2,5
1477896023,9,9
1477896991,15,14
1477897943,12,8
1477898896,10,6
1477899858,7,14
1477900872,10,6
1477902112,12,14
1477903216,21,20
1477904190,25,7
1477905148,30,1
1477906102,12,6
1477907062,9,5
1477908071,9,10
1477908990,6,1
1477909951,12,4
1477910910,7,12
1477912133,17,6
1477913126,6,9
1477914056,9,3
1477914997,5,7
1477915950,9,13
1477916906,8,4
1477917864,3,8
1477918868,13,6
1477919791,7,7
1477920755,6,4
1477921700,9,2
1477922931,20,7
1477923871,12,11
1477924825,13,12
1477925788,9,10
1477926766,11,19
1477927743,6,20
1477928656,6,14
1477929659,13,3
1477930594,6,7
1477931549,11,8
1477932496,5,7
1477933475,6,6
1477934421,5,5
1477935405,5,10
1477936356,16,5
1477937306,4,8
1477938252,6,6
1477939231,7,8
1477940178,5,7
1477941157,12,11
1477942120,12,10
1477943062,5,5
1477944301,14,13
1477945230,11,5
1477946191,14,1
1477947151,12,18
1477948147,6,6
1477949051,6,3
1477950031,11,8
1477951004,7,7
1477951955,6,7
1477952905,9,2
1477953977,5,14
1477954881,2,12
1477955887,7,4
1477957268,16,26
1477958196,7,5
1477959160,6,3
1477960123,6,23
1477961060,5,3
1477962086,7,6
1477963006,3,8
1477963981,14,10
1477964933,9,13
1477965895,5,4
1477966848,8,11
1477967836,7,3
1477968757,2,3
1477969745,1,3
1477970679,2,1
1477971657,9,13
1477972583,6,9
1477973556,6,11
1477974507,5,2
1477975465,4,2
1477976474,9,5
1477977406,6,9
1477978358,8,8
1477979355,9,5
1477980300,4,9
1477981248,6,6
1477982215,3,6
1477983170,6,6
1477984100,17,6
1477985076,7,5
1477986032,12,4
1477986995,11,14
1477987948,3,4
1477988869,3,10
1477989866,5,5
1477990868,8,12
1477991803,5,9
1477992750,14,8
1477993717,11,11
1477994677,6,6
1477995634,3,8
1477996599,7,5
1477997566,9,5
1477998514,7,12
1477999460,3,2
1478000446,11,13
1478001384,5,4
1478002351,11,0
1478003324,5,10
1478004260,8,10
1478005274,9,0
1478006232,3,15
1478007162,4,3
1478008104,1,7
1478009079,11,7
1478010093,7,10
1478011007,9,9
1478011957,9,8
1478012923,11,8
1478013861,5,7
1478014847,8,7
1478015797,4,10
1478016753,7,3
1478017707,10,5
1478018666,8,6
1478019663,4,6
1478020599,7,6
1478021561,5,7
1478022532,6,2
1478023467,2,4
1478024439,10,9
1478025399,6,1
1478026352,4,8
1478027316,6,9
1478028260,5,5
1478029247,4,4
1478030205,2,1
1478031155,6,2
1478032104,5,5
1478033075,2,7
1478034074,8,6
1478035000,8,4
1478035963,5,6
1478036904,4,2
1478037864,8,7
1478038838,6,6
1478039804,8,6
1478040760,6,3
1478041716,7,8
1478042664,3,12
1478043648,5,8
1478044588,4,4
1478045556,12,7
1478046507,10,12
1478047469,1,10
1478048496,7,25
1478049627,2,4
1478050583,0,12
1478051577,4,6
1478052506,6,20
1478053451,1,19
1478054420,10,8
1478055383,2,15
1478056346,5,4
1478057304,4,2
1478058260,4,5
1478059266,4,10
1478060187,4,10
1478061144,4,6
1478062106,3,12
1478063055,6,7
1478064026,15,7
1478064988,10,5
1478065976,5,19
1478066907,4,0
1478067850,1,8
1478068814,3,12
1478069788,7,18
1478070755,1,4
1478071711,15,9
1478072668,3,9
1478073655,4,17
1478074684,8,3
1478075991,12,13
1478076986,9,8
1478077950,10,19
1478078927,10,9
