DateTime,Entries,UniqueIPs
1477545861,23081,26817
1477546828,23094,26852
1477547787,23158,26927
1477548746,23291,27070
1477549697,23382,27162
1477550662,23536,27326
1477551700,23790,27591
1477552611,23988,27800
1477553557,24083,27911
1477554499,24203,28043
1477555467,24301,28163
1477556422,24361,28233
1477557389,24393,28275
1477558380,24405,28287
1477559319,24422,28302
1477560253,24420,28299
1477561228,24420,28299
1477562186,24422,28294
1477563151,24415,28281
1477564097,24414,28274
1477565070,24407,28258
1477566067,24406,28256
1477567251,24414,28263
1477568195,24412,28260
1477569145,24417,28257
1477570115,24411,28242
1477571053,24410,28241
1477572025,24420,28251
1477572979,24406,28233
1477573942,24403,28229
1477574921,24405,28231
1477575858,24399,28222
1477576870,24406,28229
1477577790,24402,28224
1477578749,24395,28220
1477579722,24401,28225
1477580671,24400,28226
1477581621,24400,28229
1477582604,24399,28228
1477583559,24399,28226
1477584513,24400,28223
1477585458,24394,28211
1477586431,24394,28201
1477587384,24390,28189
1477588351,24388,28186
1477589319,24392,28187
1477590257,24389,28177
1477591268,24394,28167
1477592472,24391,28164
1477593418,24390,28165
1477594444,24392,28167
1477595562,24388,28154
1477596755,24388,28154
1477597706,24388,28147
1477598691,24388,28148
1477599626,24389,28146
1477600619,24389,28145
1477601547,24393,28149
1477602504,24389,28139
1477603461,24392,28142
1477604418,24399,28148
1477605380,24393,28140
1477606348,24393,28138
1477607303,24391,28133
1477608253,24395,28135
1477609268,24398,28138
1477610459,24398,28138
1477611412,24394,28137
1477612368,24392,28135
1477613301,24392,28133
1477614277,24384,28124
1477615221,24376,28118
1477616181,24378,28117
1477617150,24378,28116
1477618106,24374,28112
1477619058,24359,28096
1477620067,24365,28099
1477620986,24362,28097
1477621944,24366,28098
1477622920,24355,28089
1477623865,24351,28083
1477624821,24352,28085
1477625802,24355,28088
1477626749,24354,28087
1477627707,24359,28095
1477628664,24361,28093
1477629623,24357,28091
1477630590,24355,28090
1477631552,24360,28096
1477632509,24367,28105
1477633457,24371,28105
1477634480,24374,28109
1477635386,24379,28110
1477636413,24381,28112
1477637342,24384,28116
1477638272,24379,28110
1477639226,24387,28118
1477640214,24392,28121
1477641173,24396,28124
1477642101,24396,28124
1477643060,24396,28122
1477644024,24399,28127
1477644978,24399,28129
1477645965,24402,28133
1477646900,24415,28145
1477647859,24422,28153
1477648886,24442,28191
1477650021,24519,28273
1477651002,24589,28345
1477651936,24705,28464
1477652908,24764,28539
1477653858,24806,28610
1477654822,24911,28725
1477655778,24966,28788
1477656754,25044,28881
1477657698,25112,28958
1477658656,25141,28993
1477659675,25156,29015
1477660834,25158,29022
1477661793,25167,29033
1477662752,25160,29020
1477663737,25163,29027
1477664657,25158,29023
1477665624,25158,29023
1477666606,25162,29024
1477667554,25170,29031
1477668519,25174,29029
1477669462,25175,29029
1477670495,25179,29033
1477671396,25177,29030
1477672338,25181,29035
1477673306,25189,29045
1477674268,25191,29045
1477675224,25201,29051
1477676206,25201,29052
1477677176,25209,29059
1477678121,25215,29068
1477679063,25219,29064
1477680026,25229,29074
1477680990,25233,29077
1477681949,25237,29087
1477682913,25243,29094
1477683858,25245,29093
1477684803,25252,29102
1477686036,25251,29100
1477686994,25244,29094
1477688024,25246,29095
1477689145,25250,29098
1477690101,25245,29097
1477691050,25243,29095
1477692071,25242,29094
1477693006,25243,29097
1477693944,25243,29099
1477694911,25237,29093
1477695864,25239,29099
1477696829,25236,29103
1477697811,25238,29108
1477698755,25231,29111
1477699706,25237,29119
1477700666,25238,29119
1477701624,25245,29124
1477702590,25243,29117
1477703551,25250,29119
1477704511,25245,29113
1477705457,25233,29102
1477706482,25225,29092
1477707389,25222,29088
1477708344,25230,29094
1477709309,25232,29095
1477710263,25230,29093
1477711222,25237,29100
1477712207,25233,29096
1477713146,25237,29101
1477714114,25241,29102
1477715070,25246,29104
1477716025,25256,29113
1477716988,25259,29109
1477717959,25261,29113
1477718908,25265,29121
1477719857,25270,29137
1477720877,25284,29154
1477721793,25284,29155
1477722750,25288,29159
1477723722,25294,29164
1477724667,25296,29162
1477725624,25299,29165
1477726603,25302,29167
1477727550,25303,29169
1477728489,25305,29170
1477729456,25305,29170
1477730423,25302,29160
1477731380,25301,29160
1477732360,25303,29165
1477733308,25304,29166
1477734259,25310,29174
1477735291,25310,29175
1477736426,25308,29173
1477737408,25316,29181
1477738344,25322,29187
1477739314,25326,29191
1477740265,25321,29183
1477741226,25318,29179
1477742178,25312,29173
1477743166,25320,29179
1477744109,25315,29170
1477745059,25314,29169
1477746069,25304,29158
1477747005,25301,29156
1477747942,25304,29159
1477748913,25309,29161
1477749871,25308,29160
1477750835,25308,29157
1477751798,25314,29163
1477752749,25314,29162
1477753699,25319,29165
1477754659,25318,29162
1477755616,25319,29165
1477756582,25316,29160
1477757554,25317,29160
1477758505,25316,29161
1477759453,25314,29156
1477760466,25311,29152
1477761387,25312,29150
1477762349,25315,29151
1477763314,25316,29152
1477764264,25321,29152
1477765232,25321,29153
1477766236,25314,29144
1477767151,25315,29140
1477768979,25320,29149
1477770025,25322,29151
1477770979,25323,29149
1477771943,25327,29153
1477772899,25321,29146
1477773859,25322,29145
1477774868,25318,29139
1477775812,25321,29141
1477776755,25317,29135
1477777697,25303,29120
1477778656,25299,29113
1477779629,25301,29120
1477780600,25300,29119
1477781550,25315,29136
1477782497,25311,29132
1477783457,25313,29133
1477784420,25308,29125
1477785380,25304,29119
1477786349,25299,29108
1477787304,25303,29114
1477788252,25302,29113
1477789263,25291,29097
1477790186,25285,29092
1477791142,25289,29096
1477792110,25278,29083
1477793070,25274,29078
1477794027,25275,29079
1477795007,25268,29071
1477795941,25270,29073
1477796904,25271,29074
1477797857,25266,29067
1477798814,25271,29074
1477799781,25269,29070
1477800748,25271,29076
1477801696,25276,29081
1477802656,25281,29082
1477803677,25272,29071
1477804851,25270,29069
1477805800,25270,29066
1477806785,25274,29069
1477807717,25267,29061
1477808659,25265,29058
1477809621,25267,29058
1477810871,25273,29064
1477811804,25274,29064
1477812755,25273,29063
1477813707,25269,29050
1477814877,25276,29055
1477815860,25272,29051
1477816816,25276,29055
1477817792,25278,29059
1477818745,25281,29061
1477819714,25282,29061
1477820662,25281,29059
1477821672,25281,29060
1477822586,25282,29060
1477823560,25284,29061
1477824507,25289,29066
1477825496,25289,29064
1477826436,25293,29066
1477827405,25289,29058
1477828347,25294,29063
1477829313,25293,29059
1477830260,25287,29050
1477831229,25290,29050
1477832197,25287,29042
1477833155,25290,29046
1477834103,25290,29036
1477835063,25287,29032
1477836069,25286,29030
1477836991,25282,29024
1477837951,25276,29018
1477838899,25277,29019
1477839861,25276,29019
1477840833,25271,29012
1477841804,25268,29008
1477842743,25267,29006
1477843722,25267,29006
1477844658,25268,29007
1477845621,25269,29004
1477846602,25270,29000
1477847555,25265,28994
1477848506,25269,29000
1477849465,25268,28998
1477850470,25268,28995
1477851389,25267,28994
1477852344,25273,29004
1477853304,25278,29011
1477854267,25272,29003
1477855227,25275,29004
1477856297,25267,29000
1477857390,25265,28998
1477858342,25271,29004
1477859305,25281,29010
1477860263,25285,29014
