DateTime,Entries,UniqueIPs
1476226984,3313,3313
1476230585,3323,3323
1476234187,3334,3334
1476237786,3352,3352
1476241388,3365,3365
1476244987,3377,3377
1476248589,3384,3384
1476252189,3391,3391
1476255788,3392,3392
1476259387,3399,3399
1476262989,3398,3398
1476266589,3401,3401
1476270190,3406,3406
1476273789,3389,3389
1476277389,3387,3387
1476280989,3381,3381
1476284589,3386,3386
1476288189,3381,3381
1476291793,3376,3376
1476295389,3379,3379
1476298989,3386,3386
1476302589,3384,3384
1476306189,3384,3384
1476309789,3387,3387
1476313388,3378,3378
1476316988,3378,3378
1476320589,3367,3367
1476324188,3367,3367
1476327787,3359,3359
1476331387,3355,3355
1476334987,3360,3360
1476338586,3356,3356
1476342186,3349,3349
1476345788,3349,3349
1476349386,3337,3337
1476352986,3329,3329
1476356586,3320,3320
1476360185,3317,3317
1476363785,3308,3308
1476367385,3299,3299
1476370986,3289,3289
1476374583,3282,3282
1476378184,3279,3279
1476381783,3280,3280
1476385385,3284,3284
1476388984,3276,3276
1476392583,3264,3264
1476396183,3265,3265
1476399783,3267,3267
1476403383,3267,3267
1476406982,3259,3259
1476410582,3257,3257
1476414181,3248,3248
1476417785,3289,3289
1476421383,3276,3276
1476424983,3269,3269
1476428582,3263,3263
1476432182,3249,3249
1476435782,3241,3241
1476439382,3239,3239
1476442980,3230,3230
1476446582,3227,3227
1476450181,3223,3223
1476453781,3225,3225
1476457381,3220,3220
1476460981,3221,3221
1476464580,3207,3207
1476468179,3195,3195
1476471780,3200,3200
1476475384,3205,3205
1476478978,3208,3208
1476482578,3208,3208
1476486179,3218,3218
1476489782,3212,3212
1476493380,3198,3198
1476496978,3189,3189
1476500577,3185,3185
1476504179,3184,3184
1476507779,3173,3173
1476511377,3169,3169
1476514976,3167,3167
1476518577,3158,3158
1476522178,3156,3156
1476525777,3151,3151
1476529375,3148,3148
1476532976,3151,3151
1476536578,3158,3158
1476540176,3150,3150
1476543782,3144,3144
1476547375,3139,3139
1476550975,3130,3130
1476554575,3124,3124
1476558174,3115,3115
1476561775,3107,3107
1476565375,3098,3098
1476568974,3095,3095
1476572573,3091,3091
1476576173,3085,3085
1476579773,3077,3077
1476583375,3081,3081
1476586973,3078,3078
1476590572,3067,3067
1476594172,3072,3072
1476597773,3070,3070
1476601372,3060,3060
1476604972,3061,3061
1476608572,3062,3062
1476612172,3060,3060
1476615772,3052,3052
1476619371,3050,3050
1476622970,3051,3051
1476626571,3051,3051
1476630172,3054,3054
1476633772,3048,3048
1476637371,3048,3048
1476640972,3046,3046
1476644572,3048,3048
1476648172,3056,3056
1476651772,3071,3071
1476655373,3074,3074
1476658975,3077,3077
1476662573,3081,3081
1476666174,3084,3084
1476669773,3085,3085
1476673374,3092,3092
1476676974,3102,3102
1476680574,3100,3100
1476684174,3098,3098
1476687774,3099,3099
1476691374,3095,3095
1476694974,3091,3091
1476698574,3096,3096
1476702174,3098,3098
1476705775,3104,3104
1476709376,3112,3112
1476712976,3115,3115
1476716578,3128,3128
1476720176,3131,3131
1476723778,3135,3135
1476727376,3135,3135
1476730976,3121,3121
1476734579,3123,3123
1476738176,3125,3125
1476741776,3123,3123
1476745375,3113,3113
1476748975,3109,3109
1476752576,3107,3107
1476756174,3098,3098
1476759776,3124,3124
1476763376,3127,3127
1476766975,3114,3114
1476770574,3107,3107
1476774174,3109,3109
1476777775,3114,3114
1476781375,3117,3117
1476784977,3142,3142
1476788576,3146,3146
1476792176,3144,3144
1476795777,3155,3155
1476799376,3141,3141
1476802980,3128,3128
1476806574,3122,3122
1476810174,3109,3109
1476813773,3093,3093
1476817376,3086,3086
1476820974,3087,3087
1476824571,3064,3064
1476828171,3051,3051
1476831772,3044,3044
1476835377,3024,3024
1476838969,3015,3015
1476842567,2992,2992
1476846172,2981,2981
1476849768,2955,2955
1476853367,2943,2943
1476856964,2939,2939
1476860565,2929,2929
1476864165,2913,2913
1476867765,2908,2908
1476871363,2891,2891
1476874963,2881,2881
1476878562,2868,2868
1476882163,2869,2869
1476885765,2881,2881
1476889363,2887,2887
1476892964,2887,2887
1476896564,2893,2893
1476900164,2899,2899
1476903765,2901,2901
1476907366,2906,2906
1476910965,2911,2911
1476914564,2902,2902
1476918164,2909,2909
1476921764,2916,2916
1476925365,2919,2919
1476928970,2930,2930
1476932565,2930,2930
1476936166,2934,2934
1476939767,2924,2924
1476943364,2921,2921
1476946965,2921,2921
1476950565,2920,2920
1476954165,2920,2920
1476957766,2925,2925
1476961527,2917,2917
1476964969,2916,2916
1476968564,2927,2927
1476972165,2941,2941
1476975766,2956,2956
1476979369,2962,2962
1476982968,2962,2962
1476986567,2962,2962
1476990167,2962,2962
1476993768,2966,2966
1476997369,2962,2962
1477000968,2969,2969
1477004566,2970,2970
1477008169,2978,2978
1477011769,2980,2980
1477015368,2976,2976
1477018967,2978,2978
1477022566,2959,2959
1477026168,2979,2979
1477029768,2979,2979
1477033367,2974,2974
1477036968,2991,2991
1477040568,2991,2991
1477044172,2991,2991
1477047769,2992,2992
1477051369,3002,3002
1477054969,3000,3000
1477058572,3053,3053
1477062173,3077,3077
1477065773,3081,3081
1477069374,3091,3091
1477072975,3098,3098
1477076575,3098,3098
1477080174,3093,3093
1477083775,3098,3098
1477087373,3098,3098
1477090975,3095,3095
1477094573,3094,3094
1477098174,3103,3103
1477101777,3116,3116
1477105375,3129,3129
1477108975,3127,3127
1477112576,3137,3137
1477116178,3143,3143
1477119777,3153,3153
1477123377,3157,3157
1477126984,3262,3262
1477130592,3353,3353
1477134188,3364,3364
1477137789,3360,3360
1477141388,3359,3359
1477144987,3349,3349
1477148587,3348,3348
1477152187,3345,3345
1477155787,3353,3353
1477159387,3346,3346
1477162988,3350,3350
1477166587,3349,3349
1477170187,3353,3353
1477173789,3358,3358
1477177387,3346,3346
1477180988,3347,3347
1477184588,3348,3348
1477188188,3359,3359
1477191789,3370,3370
1477195389,3375,3375
1477198989,3379,3379
1477206189,3382,3382
1477209789,3371,3371
1477213388,3367,3367
1477216992,3358,3358
1477220588,3360,3360
1477224187,3350,3350
1477227788,3368,3368
1477231388,3361,3361
1477234988,3357,3357
1477238587,3360,3360
1477242187,3357,3357
1477245788,3355,3355
1477249387,3355,3355
1477252988,3350,3350
1477256587,3347,3347
1477260188,3345,3345
1477263786,3341,3341
1477267387,3334,3334
1477270986,3324,3324
1477274587,3327,3327
1477278187,3327,3327
1477281786,3325,3325
1477285386,3335,3335
1477288986,3325,3325
1477292586,3325,3325
1477296186,3323,3323
1477299786,3325,3325
1477303391,3321,3321
1477306987,3323,3323
1477310585,3315,3315
1477314185,3310,3310
1477317786,3317,3317
1477321386,3313,3313
1477324987,3318,3318
1477328587,3319,3319
1477332186,3313,3313
1477335786,3310,3310
1477339385,3295,3295
1477342984,3267,3267
1477346583,3256,3256
1477350181,3237,3237
1477353788,3227,3227
1477357379,3226,3226
1477360980,3227,3227
1477364579,3213,3213
1477368181,3202,3202
1477371781,3204,3204
1477375379,3206,3206
1477378978,3211,3211
1477382581,3214,3214
1477386182,3219,3219
1477389781,3225,3225
1477393380,3225,3225
1477396981,3221,3221
1477400582,3233,3233
1477404186,3295,3295
1477407785,3316,3316
1477411388,3326,3326
1477414988,3347,3347
1477418590,3376,3376
1477422190,3392,3392
1477425791,3418,3418
1477429392,3434,3434
1477432993,3427,3427
1477436592,3436,3436
1477440193,3439,3439
1477443786,3447,3447
1477447394,3461,3461
1477450986,3468,3468
1477454591,3483,3483
1477458194,3488,3488
1477461796,3496,3496
1477465396,3495,3495
1477468996,3497,3497
1477472597,3503,3503
1477476204,3505,3505
1477479801,3545,3545
1477483399,3556,3556
1477487000,3575,3575
1477490603,3589,3589
1477494202,3598,3598
1477497803,3602,3602
1477501403,3595,3595
1477505003,3597,3597
1477508603,3600,3600
1477512204,3604,3604
1477515802,3594,3594
1477519403,3591,3591
1477523002,3593,3593
1477526602,3585,3585
1477530202,3587,3587
1477533801,3574,3574
1477537402,3577,3577
1477541000,3572,3572
1477544601,3577,3577
1477548202,3578,3578
