DateTime,AddedIPs,RemovedIPs
1476230515,8,2
1476234117,16,2
1476237716,17,6
1476241317,13,5
1476244917,9,6
1476248518,10,9
1476252118,8,4
1476255717,8,4
1476259317,10,6
1476262918,6,4
1476266518,8,8
1476270118,8,4
1476273718,3,10
1476277319,10,1
1476280920,9,12
1476284519,11,3
1476288119,11,4
1476291719,3,6
1476295320,7,7
1476298920,8,3
1476302519,1,5
1476306119,10,4
1476309720,4,4
1476313319,2,5
1476316919,5,2
1476320519,4,9
1476324119,6,3
1476327719,8,8
1476331319,4,7
1476334920,8,8
1476338522,7,10
1476342118,5,10
1476345719,6,7
1476349319,4,11
1476352918,4,9
1476356519,9,7
1476360119,7,8
1476363718,6,9
1476367318,9,8
1476370918,6,4
1476374518,7,6
1476378119,5,14
1476381717,3,9
1476385318,5,5
1476388918,4,3
1476392518,4,9
1476396117,9,5
1476399718,8,4
1476403318,2,3
1476406917,3,7
1476410516,4,3
1476414117,6,8
1476417720,49,8
1476421319,2,3
1476424919,5,7
1476428518,1,6
1476432119,5,11
1476435719,2,4
1476439319,5,3
1476442918,4,4
1476446519,2,3
1476450119,6,5
1476453719,5,3
1476457319,5,3
1476460919,8,0
1476464519,4,10
1476468119,5,5
1476471720,8,3
1476475322,1,7
1476478918,5,3
1476482519,8,8
1476486119,7,5
1476489721,2,7
1476493319,2,7
1476496918,5,10
1476500518,3,5
1476504119,7,5
1476507719,4,4
1476511318,7,10
1476514917,2,6
1476518518,3,4
1476522119,6,6
1476525718,5,6
1476529317,3,4
1476532918,8,8
1476536520,11,3
1476540118,9,10
1476543722,2,8
1476547317,4,9
1476550918,8,7
1476554519,7,6
1476558117,2,7
1476561720,2,7
1476565319,2,5
1476568919,6,1
1476572518,9,7
1476576118,8,3
1476579719,7,9
1476583321,12,6
1476586918,5,9
1476590517,6,6
1476594119,11,4
1476597720,7,5
1476601320,5,3
1476604920,6,4
1476608519,10,5
1476612120,8,9
1476615720,4,5
1476619318,2,6
1476622918,6,8
1476626519,7,6
1476630120,6,6
1476633719,8,10
1476637319,10,7
1476640919,5,4
1476644519,6,5
1476648120,3,4
1476651719,6,3
1476655320,5,1
1476658920,4,5
1476662520,7,5
1476666121,6,6
1476669719,4,11
1476673319,3,2
1476676919,4,5
1476680519,5,7
1476684119,3,9
1476687720,5,5
1476691319,1,6
1476694918,3,10
1476698517,4,4
1476702118,6,5
1476705719,10,7
1476709321,7,12
1476712919,5,7
1476716519,9,6
1476720119,4,3
1476723720,7,10
1476727318,1,5
1476730918,4,10
1476734522,8,2
1476738118,5,4
1476741718,3,7
1476745318,4,7
1476748918,4,5
1476752518,6,4
1476756118,2,4
1476759719,32,4
1476763319,2,7
1476766918,3,9
1476770518,4,8
1476774118,1,3
1476777718,4,4
1476781318,3,3
1476784920,33,8
1476788519,2,2
1476792118,2,8
1476795720,5,5
1476799318,9,25
1476802921,4,14
1476806516,8,16
1476810116,5,22
1476813715,1,20
1476817317,4,10
1476820915,2,10
1476824513,4,17
1476828113,4,18
1476831714,9,17
1476835314,2,14
1476838911,5,12
1476842515,1,19
1476846110,3,10
1476849711,0,12
1476853310,3,9
1476856908,6,15
1476860508,3,7
1476864108,2,13
1476867708,7,8
1476871308,2,8
1476874907,4,10
1476878508,3,14
1476882108,8,8
1476885709,15,10
1476889308,17,12
1476892909,13,14
1476896508,10,12
1476900109,10,3
1476903708,8,4
1476907310,10,5
1476910909,5,10
1476914508,3,10
1476918108,6,6
1476921707,6,11
1476925309,8,6
1476928908,7,6
1476932517,7,13
1476936109,8,4
1476939710,5,14
1476943307,10,12
1476946907,2,9
1476950510,4,7
1476954106,2,6
1476957707,4,4
1476961306,0,8
1476964909,2,7
1476968506,10,8
1476972106,17,10
1476975708,13,6
1476979308,9,3
1476982907,5,9
1476986507,6,7
1476990107,8,9
1476993707,3,6
1476997308,4,7
1477000907,9,8
1477004505,5,8
1477008107,10,3
1477011707,7,7
1477015306,4,9
1477018905,6,9
1477022505,10,32
1477026106,10,2
1477029706,2,8
1477033304,4,6
1477036905,6,3
1477040506,5,12
1477044105,5,8
1477047705,1,4
1477051305,11,4
1477054905,9,10
1477058508,63,7
1477062108,23,4
1477065709,7,5
1477069309,7,3
1477072910,5,2
1477076510,7,4
1477080109,4,7
1477083709,4,3
1477087309,9,12
1477090910,7,9
1477094508,5,2
1477098109,7,4
1477101711,19,9
1477105310,16,4
1477108909,6,9
1477112510,7,4
1477116110,6,5
1477119711,6,6
1477123310,4,3
1477126916,109,8
1477130520,88,5
1477134121,17,3
1477137721,5,4
1477141320,1,7
1477144920,3,10
1477148520,4,4
1477152121,3,4
1477155720,6,9
1477159320,8,10
1477162920,3,4
1477166521,5,3
1477170121,7,5
1477173721,3,3
1477177320,3,8
1477180922,6,5
1477184521,0,2
1477188120,5,5
1477191721,5,4
1477195320,4,7
1477198920,2,5
1477202519,3,8
1477206120,4,4
1477209720,2,6
1477213319,2,5
1477216922,5,12
1477220519,4,2
1477224118,4,7
1477227719,10,5
1477231319,2,7
1477234918,5,6
1477238518,7,9
1477242118,7,5
1477245719,9,8
1477249318,4,4
1477252919,4,4
1477256518,4,4
1477260119,4,7
1477263719,5,2
1477267319,6,7
1477270918,3,6
1477274519,11,5
1477278119,12,5
1477281719,9,6
1477285319,6,3
1477288919,3,8
1477292519,4,10
1477296119,9,5
1477299719,7,6
1477303325,9,8
1477306920,6,3
1477310518,3,8
1477314119,8,6
1477317719,9,9
1477321319,7,10
1477324920,8,3
1477328520,5,4
1477332120,8,4
1477335721,11,6
1477339320,6,9
1477342920,5,16
1477346519,7,3
1477350119,2,3
1477353723,4,6
1477357318,8,7
1477360918,6,4
1477364518,3,11
1477368121,9,3
1477371720,11,8
1477375318,7,1
1477378919,7,2
1477382521,3,6
1477386120,1,4
1477389719,4,6
1477393318,5,9
1477396919,5,13
1477400521,20,1
1477404123,65,7
1477407724,25,8
1477411325,21,11
1477414926,25,11
1477418527,23,3
1477422127,20,7
1477425727,14,2
1477429360,25,5
1477432930,11,9
1477436529,20,9
1477440130,15,9
1477443725,21,4
1477447330,17,4
1477450925,9,6
1477454528,18,3
1477458131,12,5
1477461736,11,6
1477465336,11,11
1477468936,12,4
1477472536,9,8
1477476143,10,6
1477479739,36,2
1477483338,17,5
1477486940,29,5
1477490542,14,1
1477494141,16,11
1477497742,11,9
1477501340,15,26
1477504941,12,7
1477508542,6,5
1477512143,5,6
1477515741,6,6
1477519341,11,4
1477522942,11,5
1477526543,8,6
1477530143,8,7
1477533741,2,10
1477537345,6,6
1477540941,7,10
1477544541,4,5
1477548141,9,5
1477551741,9,2
1477555342,8,7
1477558942,12,7
1477562547,8,4
1477566143,5,6
1477569742,6,3
1477573342,8,12
1477576942,7,8
1477580542,11,14
1477584144,8,7
1477587743,8,5
1477591342,7,8
1477594942,5,5
1477598543,14,5
1477602143,6,6
1477605743,7,6
1477609343,8,7
1477612942,4,10
1477616544,14,5
1477620143,8,5
1477623743,6,6
1477627344,10,6
1477630944,5,6
1477634544,7,4
1477638146,11,1
1477641745,8,12
1477645345,6,4
1477648945,10,5
1477652544,8,4
1477656144,3,10
1477659748,5,11
1477663341,3,39
1477666941,20,18
1477670541,11,7
1477674145,21,6
1477677744,15,4
1477681343,12,10
1477684944,14,2
1477688546,13,5
1477692147,17,7
1477695745,10,7
1477699346,8,5
1477702946,8,8
1477706547,10,13
1477710144,14,44
1477713744,10,8
1477717344,4,6
1477720944,5,8
1477724545,6,7
1477728144,6,4
1477731743,7,29
1477735336,8,141
1477738931,8,115
1477742530,5,6
1477746130,15,3
1477749731,6,3
1477753335,10,3
1477756931,8,5
1477760530,4,5
1477764132,4,2
1477767733,9,3
1477771333,8,6
1477774933,4,5
1477778532,6,8
1477782134,11,2
1477785735,7,5
1477789333,9,2
1477792933,7,4
1477796535,7,3
1477800134,7,6
1477803734,6,2
1477807335,8,4
1477810934,7,5
1477814534,7,2
1477818134,11,4
1477821734,7,3
1477825334,7,4
1477828936,5,3
1477832536,11,11
1477836134,9,7
1477839736,7,3
1477843335,2,9
1477846936,11,8
1477850536,7,2
1477854135,3,7
1477857736,6,5
1477861336,7,4
1477864936,6,5
1477868535,6,6
