DateTime,Entries,UniqueIPs
1476248518,1867,1867
1476252118,1871,1871
1476255717,1875,1875
1476259317,1879,1879
1476262918,1881,1881
1476266518,1881,1881
1476270118,1885,1885
1476273718,1878,1878
1476277319,1887,1887
1476280920,1884,1884
1476284519,1892,1892
1476288119,1899,1899
1476291719,1896,1896
1476295320,1896,1896
1476298920,1901,1901
1476302519,1897,1897
1476306119,1903,1903
1476309720,1903,1903
1476313319,1900,1900
1476316919,1903,1903
1476320519,1898,1898
1476324119,1901,1901
1476327719,1901,1901
1476331319,1898,1898
1476334920,1898,1898
1476338522,1895,1895
1476342118,1890,1890
1476345719,1889,1889
1476349319,1882,1882
1476352918,1877,1877
1476356519,1879,1879
1476360119,1878,1878
1476363718,1875,1875
1476367318,1876,1876
1476370918,1878,1878
1476374518,1879,1879
1476378119,1870,1870
1476381717,1864,1864
1476385318,1864,1864
1476388918,1865,1865
1476392518,1860,1860
1476396117,1864,1864
1476399718,1868,1868
1476403318,1867,1867
1476406917,1863,1863
1476410516,1864,1864
1476414117,1862,1862
1476417720,1903,1903
1476421319,1902,1902
1476424919,1900,1900
1476428518,1895,1895
1476432119,1889,1889
1476435719,1887,1887
1476439319,1889,1889
1476442918,1889,1889
1476446519,1888,1888
1476450119,1889,1889
1476453719,1891,1891
1476457319,1893,1893
1476460919,1901,1901
1476464519,1895,1895
1476468119,1895,1895
1476471720,1900,1900
1476475322,1894,1894
1476478918,1896,1896
1476482519,1896,1896
1476486119,1898,1898
1476489721,1893,1893
1476493319,1888,1888
1476496918,1883,1883
1476500518,1881,1881
1476504119,1883,1883
1476507719,1883,1883
1476511318,1880,1880
1476514917,1876,1876
1476518518,1875,1875
1476522119,1875,1875
1476525718,1874,1874
1476529317,1873,1873
1476532918,1873,1873
1476536520,1881,1881
1476540118,1880,1880
1476543722,1874,1874
1476547317,1869,1869
1476550918,1870,1870
1476554519,1871,1871
1476558117,1866,1866
1476561720,1861,1861
1476565319,1858,1858
1476568919,1863,1863
1476572518,1865,1865
1476576118,1870,1870
1476579719,1868,1868
1476583321,1874,1874
1476586918,1870,1870
1476590517,1870,1870
1476594119,1877,1877
1476597720,1879,1879
1476601320,1881,1881
1476604920,1883,1883
1476608519,1888,1888
1476612120,1887,1887
1476615720,1886,1886
1476619318,1882,1882
1476622918,1880,1880
1476626519,1881,1881
1476630120,1881,1881
1476633719,1879,1879
1476637319,1882,1882
1476640919,1883,1883
1476644519,1884,1884
1476648120,1883,1883
1476651719,1886,1886
1476655320,1890,1890
1476658920,1889,1889
1476662520,1891,1891
1476666121,1891,1891
1476669719,1884,1884
1476673319,1885,1885
1476676919,1884,1884
1476680519,1882,1882
1476684119,1876,1876
1476687720,1876,1876
1476691319,1871,1871
1476694918,1864,1864
1476698517,1864,1864
1476702118,1865,1865
1476705719,1868,1868
1476709321,1863,1863
1476712919,1861,1861
1476716519,1864,1864
1476720119,1865,1865
1476723720,1862,1862
1476727318,1858,1858
1476730918,1852,1852
1476734522,1858,1858
1476738118,1859,1859
1476741718,1855,1855
1476745318,1852,1852
1476748918,1851,1851
1476752518,1853,1853
1476756118,1851,1851
1476759719,1879,1879
1476763319,1874,1874
1476766918,1868,1868
1476770518,1864,1864
1476774118,1862,1862
1476777718,1862,1862
1476781318,1862,1862
1476784920,1887,1887
1476788519,1887,1887
1476792118,1881,1881
1476795720,1881,1881
1476799318,1865,1865
1476802921,1855,1855
1476806516,1847,1847
1476810116,1830,1830
1476813715,1811,1811
1476817317,1805,1805
1476820915,1797,1797
1476824513,1784,1784
1476828113,1770,1770
1476831714,1762,1762
1476835314,1750,1750
1476838911,1743,1743
1476842515,1725,1725
1476846110,1718,1718
1476849711,1706,1706
1476853310,1700,1700
1476856908,1691,1691
1476860508,1687,1687
1476864108,1676,1676
1476867708,1675,1675
1476871308,1669,1669
1476874907,1663,1663
1476878508,1652,1652
1476882108,1652,1652
1476885709,1657,1657
1476889308,1662,1662
1476892909,1661,1661
1476896508,1659,1659
1476900109,1666,1666
1476903708,1670,1670
1476907310,1675,1675
1476910909,1670,1670
1476914508,1663,1663
1476918108,1663,1663
1476921707,1658,1658
1476925309,1660,1660
1476928908,1661,1661
1476932517,1655,1655
1476936109,1659,1659
1476939710,1650,1650
1476943307,1648,1648
1476946907,1641,1641
1476950510,1638,1638
1476954106,1634,1634
1476957707,1634,1634
1476961306,1626,1626
1476964909,1621,1621
1476968506,1623,1623
1476972106,1630,1630
