DateTime,Entries,UniqueIPs
1476230163,6939,6939
1476234005,6900,6900
1476235923,6910,6910
1476239769,6905,6905
1476243603,6909,6909
1476247442,6903,6903
1476251283,6916,6916
1476255123,6935,6935
1476258963,6943,6943
1476262805,6940,6940
1476264723,6947,6947
1476268570,6938,6938
1476272402,6946,6946
1476276242,6948,6948
1476280323,6940,6940
1476284163,6953,6953
1476288005,6956,6956
1476289923,6971,6971
1476293763,6985,6985
1476297603,6974,6974
1476301443,6978,6978
1476305282,6966,6966
1476309124,6947,6947
1476312963,6911,6911
1476316806,6920,6920
1476318725,6903,6903
1476322562,6903,6903
1476326403,6907,6907
1476330242,6899,6899
1476334083,6900,6900
1476337923,6917,6917
1476341763,6908,6908
1476345606,6916,6916
1476347522,6923,6923
1476351362,6921,6921
1476357123,6914,6914
1476359043,6927,6927
1476362883,6925,6925
1476366724,6923,6923
1476370563,6944,6944
1476374405,6951,6951
1476376323,6970,6970
1476380163,6968,6968
1476384003,6966,6966
1476387842,6969,6969
1476391923,6952,6952
1476395763,6937,6937
1476399604,6905,6905
1476403442,6917,6917
1476405363,6890,6890
1476409203,6899,6899
1476413043,6882,6882
1476416882,6880,6880
1476420723,6879,6879
1476422644,6885,6885
1476428405,6896,6896
1476432243,6902,6902
1476434163,6908,6908
1476438003,6921,6921
1476441842,6929,6929
1476445682,6937,6937
1476449523,6938,6938
1476453363,6937,6937
1476457205,6933,6933
1476461042,6946,6946
1476462962,6962,6962
1476466804,6954,6954
1476470643,6944,6944
1476474483,6929,6929
1476478323,6924,6924
1476482164,6900,6900
1476484082,6924,6924
1476486005,6886,6886
1476487922,6913,6913
1476491765,6894,6894
1476495604,6890,6890
1476499442,6893,6893
1476503282,6883,6883
1476507363,6868,6868
1476511204,6888,6888
1476513123,6894,6894
1476518883,6894,6894
1476520804,6912,6912
1476524643,6913,6913
1476530412,6942,6942
1476532323,6945,6945
1476536163,6934,6934
1476540004,6944,6944
1476541924,6935,6935
1476545762,6940,6940
1476549603,6940,6940
1476555362,6932,6932
1476561123,6916,6916
1476564963,6928,6928
1476568805,6898,6898
1476570722,6875,6875
1476574562,6893,6893
1476578403,6880,6880
1476582482,6889,6889
1476586323,6884,6884
1476590163,6874,6874
1476594005,6867,6867
1476596164,6884,6884
1476600003,6895,6895
1476603842,6898,6898
1476607683,6919,6919
1476611523,6932,6932
1476615363,6943,6943
1476619204,6960,6960
1476623042,6958,6958
1476624962,6968,6968
1476628803,6959,6959
1476632642,6961,6961
1476636482,6964,6964
1476640323,6963,6963
1476644162,6964,6964
1476648004,6957,6957
1476651842,6944,6944
1476653762,6914,6914
1476657604,6877,6877
1476661442,6896,6896
1476665283,6906,6906
1476669124,6907,6907
1476674883,6904,6904
1476676804,6885,6885
1476678722,6885,6885
1476682562,6898,6898
1476686403,6896,6896
1476690242,6907,6907
1476694082,6917,6917
1476697923,6922,6922
1476701762,6940,6940
1476705604,6923,6923
1476707523,6916,6916
1476711363,6921,6921
1476715203,6931,6931
1476719282,6943,6943
1476723123,6944,6944
1476726962,6966,6966
1476730803,6947,6947
1476732735,6954,6954
1476736562,6950,6950
1476740404,6922,6922
1476744242,6871,6871
1476748082,6883,6883
1476751924,6867,6867
1476755763,6870,6870
1476759605,6854,6854
1476763443,6856,6856
1476765363,6855,6855
1476767284,6854,6854
1476773042,6877,6877
1476776882,6881,6881
1476780723,6889,6889
1476784562,6898,6898
1476788405,6905,6905
1476790333,6913,6913
1476794162,6913,6913
1476798003,6910,6910
1476803762,6912,6912
1476805683,6933,6933
1476809524,6930,6930
1476813362,6935,6935
1476817205,6933,6933
1476819132,6940,6940
1476823203,6940,6940
1476827043,6929,6929
1476830884,6913,6913
1476834723,6916,6916
1476838563,6909,6909
1476842405,6922,6922
1476844323,6902,6902
1476848163,6846,6846
1476852003,6878,6878
1476855842,6903,6903
1476859683,6916,6916
1476863523,6909,6909
1476867362,6919,6919
1476871204,6909,6909
1476873123,6917,6917
