DateTime,AddedIPs,RemovedIPs
1473871293,256,0
1473876794,256,0
1473934894,0,1792
1473936138,0,256
1473949374,1792,0
1473952661,256,256
1473953182,0,256
1473957681,0,256
1473963839,0,256
1473968498,256,0
1473970287,0,256
1473982884,256,0
1473986489,256,0
1474028451,1536,0
1474033284,256,0
1474035084,256,0
1474035470,0,1024
1474037772,0,512
1474040485,256,0
1474047710,256,0
1474049490,256,0
1474052225,0,256
1474056982,256,0
1474062973,0,256
1474067492,0,256
1474069288,0,256
1474074704,256,0
1474078316,256,0
1474114969,2048,1536
1474116083,256,0
1474117882,256,0
1474121489,256,0
1474122421,0,256
1474128694,256,0
1474133181,0,256
1474136072,256,0
1474137823,256,0
1474139818,0,256
1474144930,0,256
1474154195,256,0
1474175521,0,256
1474200726,0,2816
1474204303,0,256
1474204632,2048,0
1474206978,0,256
1474207886,256,0
1474211486,256,0
1474214175,0,512
1474216898,0,256
1474218693,256,0
1474221377,0,256
1474224092,0,256
1474227693,0,256
1474229495,256,0
1474240306,256,256
1474274506,256,0
1474291377,1536,1280
1474294286,256,0
1474296086,256,0
1474300583,0,256
1474301518,256,0
1474305088,0,512
1474313320,0,256
1474324914,256,0
1474350973,0,256
1474366640,1792,0
1474369877,256,0
1474377089,0,1792
1474378886,256,0
1474380697,0,256
1474381666,0,256
1474387876,0,256
1474391551,512,0
1474393294,256,0
1474400493,0,256
1474402308,256,0
1474406185,512,256
1474411300,0,256
1474418506,256,0
1474453008,0,1024
1474456320,0,256
1474457295,1024,0
1474465291,0,256
1474471720,0,256
1474477901,256,0
1474479696,0,256
1474481518,256,0
1474491377,0,256
1474492321,256,0
1474494101,256,0
1474497710,0,256
1474503978,0,256
1474543054,0,2304
1474566115,0,256
1474567918,0,256
1474568801,0,256
1474580518,0,256
1474586312,1024,0
1474644036,2048,0
1474647092,256,0
1474666889,256,0
1474668688,256,0
1474673237,0,1024
1474716019,1280,0
1474719081,256,0
1474726290,512,0
1474728979,0,768
1474733494,256,0
1474738883,512,0
1474740688,256,0
1474743373,0,256
1474746096,256,0
1474751494,0,256
1474752445,0,256
1474755102,0,256
1474802875,0,1792
1474805509,0,256
1474805801,1024,0
1474809086,768,0
1474810891,512,0
1474812692,256,0
1474819926,0,256
1474821684,0,256
1474825284,0,256
1474827087,0,256
1474830683,0,256
1474832491,256,0
1474843297,0,256
1474846914,256,0
1474872108,256,0
1474892198,0,1536
1474895507,0,512
1474897304,0,256
1474899116,0,256
1474906310,0,256
1474906628,2048,0
1474908083,256,256
1474911683,256,0
1474915283,0,256
1474919032,0,256
1474929702,256,0
1474931505,0,256
1474932431,0,256
1474933300,256,0
1474958503,0,256
1474978795,1792,0
1474980125,256,0
1474990882,256,0
1474992691,0,1280
1474996286,0,256
1474998115,256,0
1475005291,0,256
1475014305,256,0
1475016104,256,0
1475019714,0,256
