DateTime,Entries,UniqueIPs
1477916906,11805,12259
1477917399,11803,12256
1477917864,11750,12202
1477918868,11756,12210
1477919312,11751,12198
1477919791,11805,12255
1477920755,11808,12260
1477921227,11806,12260
1477921700,11746,12199
1477922931,11726,12185
1477923408,11733,12192
1477923871,11806,12265
1477924825,11800,12255
1477925312,11811,12266
1477925788,11789,12249
1477926002,12043,12503
1477926766,12101,12562
1477927253,12105,12566
1477927743,12106,12565
1477928656,12100,12557
1477929155,12103,12560
1477929659,12079,12544
1477930594,12201,12676
1477931054,12212,12689
1477931549,12210,12687
1477932496,12186,12661
1477932981,12179,12655
1477933475,12197,12669
1477934421,12275,12751
1477934914,12283,12759
1477935405,12283,12757
1477936356,12271,12744
1477936893,12275,12746
1477937306,12284,12755
1477938252,12356,12833
1477938743,12349,12826
1477939231,12353,12826
1477940178,12326,12798
1477940669,12388,12859
1477941157,12391,12864
1477942120,12462,12938
1477942585,12464,12939
1477943062,12404,12878
1477944301,12387,12860
1477944754,12393,12866
1477945230,12460,12930
1477946191,12477,12949
1477946658,12486,12958
1477947151,12343,12818
1477947602,12344,12817
1477948147,12340,12815
1477948624,12347,12822
1477949051,12393,12866
1477950031,12403,12880
1477950504,12428,12906
1477951004,12348,12830
1477951202,12318,12802
1477951955,12301,12781
1477952418,12311,12791
1477952905,12343,12822
1477953977,12324,12798
1477954378,12327,12801
1477954881,12253,12714
1477955887,12247,12708
1477956299,12256,12717
1477957268,12286,12746
1477958196,12210,12666
1477958402,12193,12649
1477959160,12189,12648
1477960123,12252,12711
1477961060,12253,12700
1477962086,12223,12660
1477963006,12203,12646
1477963981,12276,12728
1477964933,12255,12707
1477965895,12165,12616
1477966848,12175,12626
1477967836,12222,12676
1477968757,12222,12676
1477969745,12229,12677
1477970679,12219,12668
1477971146,12245,12693
1477971371,12233,12681
1477971657,12315,12761
1477972583,12259,12705
1477972802,12262,12710
1477973556,12272,12719
1477974507,12273,12720
1477975465,12342,12790
1477976474,12300,12746
1477977406,12293,12736
1477978358,12368,12812
1477979355,12371,12824
1477980300,12313,12762
1477981248,12288,12739
1477982215,12331,12781
1477983170,12310,12760
1477983602,12307,12758
1477984100,12243,12691
