DateTime,Entries,UniqueIPs
1477571581,44941,52350
1477572244,44927,52336
1477572722,44930,52339
1477573205,44894,52301
1477573321,44898,52306
1477573373,44898,52306
1477573921,44908,52316
1477574522,44892,52298
1477575121,44895,52301
1477575722,44895,52302
1477576321,44897,52305
1477576563,44902,52310
1477577043,44936,52342
1477578122,44937,52343
1477578970,44957,52363
1477579321,44966,52372
1477580163,44930,52336
1477580575,44932,52338
1477581122,44934,52340
1477581722,44935,52341
1477582322,44937,52343
1477582803,44976,52383
1477582922,44981,52388
1477583522,44972,52378
1477584013,44915,52319
1477584173,44914,52318
1477584722,44901,52305
1477585322,44911,52315
1477585921,44918,52322
1477585981,44914,52318
1477586642,44959,52363
1477587121,44974,52379
1477587362,44973,52378
1477587773,44970,52375
1477588921,44960,52364
1477589581,44964,52368
1477590121,44962,52367
1477590482,44997,52402
1477590721,44977,52382
1477590963,44978,52383
1477591433,44973,52378
1477591684,44879,52283
1477591922,44871,52275
1477592813,44866,52269
1477593121,44868,52271
1477593722,44871,52275
1477594323,44918,52322
1477594563,44915,52319
1477594921,44919,52323
1477594975,44920,52324
1477595522,44910,52314
1477596121,44907,52309
1477596722,44911,52314
1477597321,44912,52316
1477598163,44945,52350
1477598521,44945,52349
1477598574,44942,52346
1477599722,44933,52337
1477600323,44850,52252
1477600973,44849,52250
1477601522,44851,52252
1477602004,44914,52315
1477602175,44907,52309
1477602722,44901,52302
1477603322,44910,52312
1477603922,44904,52307
1477604521,44898,52299
1477605122,44901,52302
1477605363,44908,52310
1477605842,44940,52345
1477606084,44841,52245
1477606322,44843,52247
1477606921,44844,52248
1477607522,44832,52236
1477607771,44872,52276
1477608122,44873,52277
1477608963,44874,52278
1477609373,44876,52280
1477609921,44874,52278
1477610521,44876,52280
1477611122,44870,52274
1477611182,44871,52275
1477611603,44920,52325
1477611721,44921,52326
1477612321,44891,52297
1477612563,44890,52296
1477612974,44894,52300
1477613522,44876,52279
1477613763,44771,52174
1477614122,44750,52154
1477614721,44753,52157
1477615443,44778,52181
1477615922,44781,52184
1477616163,44777,52180
1477616575,44772,52175
1477617122,44776,52179
1477617721,44779,52182
1477618322,44778,52181
1477618922,44779,52182
1477619282,44827,52231
1477619525,44729,52132
1477619763,44731,52134
1477620174,44725,52127
1477620722,44729,52131
1477621322,44732,52134
1477621921,44736,52140
1477622521,44737,52142
1477623123,44804,52210
1477623363,44800,52206
1477624922,44773,52178
1477625284,44685,52090
1477625522,44686,52091
1477626121,44686,52097
1477626962,44788,52199
1477627322,44786,52196
1477627376,44783,52193
1477627921,44792,52202
1477628521,44793,52203
1477629121,44780,52189
1477629181,44767,52176
1477630322,44757,52166
1477630804,44817,52226
1477631047,44748,52157
1477632121,44750,52159
1477632723,44815,52224
1477633923,44688,52093
1477634163,44684,52088
1477634574,44673,52077
1477635121,44674,52078
1477635721,44670,52075
1477636381,44663,52068
1477636803,44715,52120
1477636922,44716,52121
1477637521,44712,52116
1477637763,44710,52113
1477638176,44711,52114
1477638722,44694,52096
1477639322,44697,52099
1477639981,44692,52094
1477640643,44730,52132
1477641121,44731,52133
1477641614,44706,52108
1477641774,44695,52098
1477642321,44696,52099
1477642922,44696,52099
1477643521,44683,52086
1477644122,44678,52079
1477644482,44714,52115
1477644962,44713,52114
1477645443,44647,52047
1477645922,44640,52038
1477646522,44654,52052
1477647181,44651,52049
1477647721,44640,52038
1477648323,44699,52097
1477648563,44697,52096
1477648975,44698,52097
1477649521,44702,52101
1477650122,44730,52131
1477650414,44733,52134
1477650721,44742,52145
1477651206,44684,52087
1477651322,44674,52075
1477652163,44722,52123
1477652574,44747,52148
1477653121,44724,52123
1477653722,44720,52119
1477654381,44721,52120
1477655043,44669,52069
1477656005,44734,52135
1477656174,44734,52135
1477656722,44738,52139
1477657322,44733,52132
1477657922,44768,52167
1477659122,44762,52161
1477659363,44766,52165
1477659721,44778,52178
1477660084,44714,52113
1477660921,44717,52116
1477661521,44723,52122
1477661763,44771,52170
1477662121,44762,52161
1477662722,44762,52160
1477662963,44766,52164
1477663321,44762,52157
1477663922,44767,52162
1477664521,44769,52164
1477665121,44770,52164
1477665603,44814,52208
1477665722,44815,52210
1477666083,44771,52166
1477666322,44764,52158
1477666563,44765,52159
1477666980,44757,52150
1477668122,44736,52128
1477668722,44742,52134
1477669442,44771,52164
1477669924,44702,52095
1477670522,44697,52089
1477671121,44699,52091
1477671721,44700,52092
1477672322,44677,52070
1477672921,44666,52059
1477673282,44723,52116
1477673521,44726,52119
1477674176,44707,52093
1477675321,44709,52095
1477675921,44706,52092
1477675981,44708,52095
1477676522,44705,52091
1477677123,44739,52125
1477677623,44674,52059
1477677775,44673,52057
1477678322,44676,52060
1477678922,44679,52063
1477679215,44680,52064
1477679522,44677,52059
1477680122,44673,52055
1477680963,44723,52106
1477681375,44719,52103
1477681921,44720,52104
1477682521,44723,52107
1477683722,44724,52108
1477685042,44749,52132
1477685286,44652,52034
1477685521,44653,52034
1477686121,44655,52036
1477686721,44641,52020
1477686964,44701,52081
1477687322,44692,52072
1477687921,44692,52072
1477688162,44694,52075
1477688575,44695,52076
1477689123,44627,52008
1477689722,44603,51984
1477690322,44594,51974
1477690803,44636,52016
1477691521,44632,52012
1477691762,44639,52019
1477692176,44639,52020
1477693321,44612,51991
1477693922,44609,51988
1477694643,44625,52004
1477694884,44585,51964
1477695122,44588,51967
1477695363,44580,51959
1477695776,44581,51960
1477696321,44585,51964
1477696921,44589,51968
1477697581,44590,51969
1477697935,44591,51970
1477698122,44587,51965
1477698482,44639,52018
1477698725,44519,51896
1477698963,44518,51895
1477699323,44517,51894
1477699376,44516,51893
1477700522,44509,51885
1477701121,44511,51889
1477701182,44514,51887
1477701721,44518,51891
1477702323,44535,51907
1477702562,44535,51907
1477702976,44519,51889
1477703522,44522,51892
1477704121,44505,51875
1477704485,44440,51810
1477705322,44415,51782
1477706163,44472,51840
1477706575,44458,51824
1477707122,44461,51827
1477707721,44459,51824
1477708321,44463,51828
1477708921,44450,51815
1477709521,44451,51817
1477710005,44501,51867
1477710242,44383,51749
1477710721,44381,51747
1477711322,44379,51745
1477711923,44478,51845
1477712522,44477,51844
1477713122,44467,51834
1477713362,44461,51828
1477713721,44462,51829
1477714921,44459,51826
1477715522,44458,51826
1477715763,44527,51895
1477716004,44450,51817
1477716175,44448,51815
1477716722,44440,51804
1477716963,44443,51808
1477717435,44430,51794
1477717922,44320,51684
1477719122,44318,51682
1477719721,44320,51684
1477720562,44314,51679
1477720975,44318,51683
1477721523,44412,51779
1477722121,44400,51765
1477722721,44405,51770
1477723442,44443,51808
1477723683,44388,51753
1477724163,44389,51754
1477724521,44387,51752
1477725121,44376,51746
1477725603,44324,51694
1477725722,44325,51695
1477726075,44328,51698
1477726322,44301,51670
1477726382,44304,51673
1477726921,44306,51675
1477727282,44357,51726
1477727522,44367,51736
1477727763,44364,51733
1477728122,44360,51728
1477728721,44356,51723
1477729322,44358,51725
1477729922,44359,51726
1477730521,44358,51724
1477731124,44397,51763
1477731368,44329,51693
1477731775,44329,51693
1477732321,44330,51694
1477732922,44332,51696
1477733582,44315,51678
1477734175,44317,51681
1477734722,44318,51684
1477734963,44377,51744
1477735375,44383,51749
1477735922,44384,51750
1477736163,44345,51711
1477736521,44335,51701
1477737182,44341,51707
1477737722,44309,51672
1477738804,44359,51722
1477738922,44352,51715
1477738982,44350,51713
1477739521,44352,51715
1477740122,44353,51716
1477740722,44403,51766
1477740781,44405,51768
1477741321,44407,51770
1477741924,44366,51729
1477742521,44379,51742
1477742576,44376,51739
1477743122,44387,51750
1477743366,44385,51748
1477743721,44376,51739
1477744015,44378,51741
1477744321,44369,51732
1477744563,44400,51764
1477744922,44403,51767
1477745521,44402,51765
1477745763,44332,51695
1477746175,44337,51700
1477746721,44335,51698
1477747321,44318,51679
1477747922,44322,51684
1477747981,44329,51692
1477748403,44373,51736
1477748522,44375,51739
1477749607,44323,51686
1477749775,44302,51666
1477750321,44301,51665
1477750922,44302,51666
1477751521,44289,51645
1477751581,44290,51646
1477752243,44334,51691
1477752722,44338,51695
1477752962,44343,51700
1477753375,44338,51695
1477753921,44340,51697
1477754522,44342,51699
1477755121,44344,51702
1477755374,44291,51648
1477755721,44289,51646
1477756324,44469,51828
1477756562,44472,51831
1477756922,44472,51831
1477756979,44473,51832
1477758243,44330,51686
1477758722,44331,51687
1477759322,44318,51665
1477759922,44321,51668
1477760163,44351,51698
1477760521,44352,51699
1477761123,44278,51625
1477761722,44281,51628
1477762321,44275,51622
1477762381,44272,51619
1477762921,44274,51621
1477763521,44275,51622
1477764005,44333,51681
1477764176,44329,51677
1477765321,44329,51678
1477766521,44312,51661
1477767363,44310,51659
1477768807,44313,51662
1477768921,44314,51663
1477769522,44316,51665
1477769775,44220,51569
1477770122,44217,51566
1477770723,44261,51610
1477770962,44258,51607
1477771322,44263,51612
1477772521,44258,51606
1477772816,44256,51604
1477773603,44252,51600
1477774563,44200,51548
1477774977,44197,51546
1477776122,44176,51526
1477776722,44169,51517
1477777321,44155,51500
1477778405,44198,51542
1477778576,44197,51541
1477779121,44195,51540
1477779362,44140,51484
1477779722,44134,51477
1477780322,44135,51478
1477781036,44139,51482
1477781521,44142,51485
1477781762,44147,51490
1477782243,44182,51525
1477782721,44179,51522
1477783203,44114,51457
1477783321,44117,51460
1477783921,44093,51430
1477784176,44162,51500
1477784522,44159,51496
1477785121,44161,51498
1477785363,44147,51485
1477785722,44124,51462
1477785776,44124,51462
1477787044,44059,51397
1477787521,44036,51372
1477788004,44085,51421
1477788122,44088,51423
1477789377,44087,51422
1477789922,44086,51421
1477791122,44081,51415
1477791845,44117,51452
1477792321,44107,51442
1477792808,44015,51350
1477792976,44016,51351
1477794122,43992,51325
1477794721,43990,51323
1477795322,44009,51343
1477795685,44062,51396
1477796576,44061,51394
1477797722,44063,51397
1477798322,44068,51402
1477798922,44070,51404
1477799525,44085,51411
1477799763,44082,51408
1477800176,44085,51411
1477800487,43966,51292
1477800721,43963,51289
1477801322,43957,51283
1477801921,43961,51287
1477802521,43962,51288
1477803122,43954,51280
1477803364,44032,51358
1477803722,44036,51362
1477804322,44011,51337
1477804921,44007,51333
1477806243,43929,51255
1477807266,44007,51333
1477807376,43996,51322
1477808522,43985,51311
1477809373,44032,51360
1477809721,44032,51360
1477810321,44029,51356
1477810563,44025,51352
1477810921,44030,51357
1477812244,43921,51247
1477813202,43977,51303
1477813321,43980,51306
1477813921,43978,51303
1477814164,43978,51304
1477814636,43974,51300
1477815126,44009,51335
1477815722,43999,51324
1477816321,43993,51318
1477816921,43992,51317
1477817521,43993,51318
1477818010,43960,51284
1477818121,43961,51285
1477819322,43961,51285
1477819924,43984,51307
1477820036,43984,51307
1477820521,43995,51318
1477820882,43954,51277
1477821122,43964,51288
1477821363,43958,51282
1477821776,43956,51280
1477822322,43939,51262
1477822922,43916,51237
1477824122,43908,51228
1477824724,43972,51292
1477824963,43977,51297
