DateTime,Entries,UniqueIPs
1477495466,40126,56024
1477496104,39888,55784
1477496526,39835,55731
1477497376,39815,55711
1477497447,40004,55900
1477498503,40120,56022
1477499306,40102,58043
1477499405,39891,57825
1477500303,39957,57890
1477501265,40094,58028
1477502337,40158,58098
1477503145,40148,58090
1477503821,40114,57797
1477504670,40360,58046
1477505062,40356,58042
1477505708,40183,57862
1477506604,39989,57665
1477506989,39981,57656
1477507323,40001,57673
1477508242,39533,57205
1477508899,39479,57151
1477509604,39581,57259
1477511046,39571,57249
1477511841,39717,57646
1477512877,39773,57702
1477513408,39904,57836
1477514403,39729,57657
1477514892,39726,57654
1477515363,39810,57742
1477515443,39702,57634
1477516311,39543,57470
1477516821,39537,57464
1477517062,39600,57528
1477518003,39245,57162
1477518767,39230,57145
1477518903,39304,57224
1477519040,39131,57051
1477519905,38992,56910
1477520652,38986,56903
1477520778,39073,56994
1477521607,38756,56672
1477521707,38757,56419
1477522578,38756,56419
1477522642,38608,56271
1477524503,38580,56243
1477526463,38192,55847
1477527603,38226,56130
1477528368,38227,56131
1477528923,38092,55999
1477529840,37902,55809
1477530255,37893,55800
1477531203,37932,55847
1477531587,37931,55591
1477532173,38835,56507
1477532515,38743,56410
1477533237,38806,56474
1477533438,38587,56254
1477534095,38574,56239
1477534319,38549,56216
1477534696,38576,56244
1477535284,38653,56324
1477536021,38653,56324
1477536124,38524,56194
1477537037,38367,56037
1477537943,38336,56004
1477539848,38421,56089
1477540636,38260,55925
1477541351,38335,56001
1477541782,38318,55985
1477542392,38383,56051
1477543057,38293,55958
1477543703,38273,55939
1477543843,38278,55946
1477544234,38146,55814
1477544707,38141,55808
1477545610,38121,55788
1477545977,38187,55857
1477546503,38149,55819
1477547542,38142,55812
1477547834,38069,55739
1477548722,38164,55836
1477548904,38101,55769
1477549451,38080,55750
1477549683,38152,55824
1477550487,38010,55676
1477551373,37973,55639
1477551434,38082,55750
1477552305,38064,55730
1477553296,38134,55801
1477554003,38028,55693
1477554903,38122,55790
1477555270,38121,55790
1477555916,38064,55733
1477557137,38053,55722
1477557810,38898,56566
1477558637,39220,56888
1477559054,39201,56869
1477559704,39557,57231
