DateTime,Entries,UniqueIPs
1477791122,37440,38562
1477791721,37435,38557
1477792321,37425,38547
1477792563,37428,38550
1477792921,37430,38552
1477794122,37406,38526
1477794721,37404,38524
1477795322,37423,38544
1477796522,37422,38542
1477797722,37424,38545
1477798322,37429,38550
1477798922,37431,38552
1477799521,37396,38509
1477799763,37393,38506
1477800121,37396,38509
1477800721,37393,38506
1477801322,37387,38500
1477801921,37389,38502
1477802521,37390,38503
1477803122,37382,38495
1477803363,37384,38497
1477803722,37386,38499
1477804322,37361,38474
1477804921,37357,38470
1477806122,37360,38473
1477806963,37358,38471
1477807321,37349,38462
1477808522,37338,38451
1477809181,37347,38461
1477809721,37348,38462
1477810321,37345,38458
1477810563,37341,38454
1477810921,37346,38459
1477812122,37341,38451
1477813321,37344,38454
1477813921,37342,38451
1477814164,37343,38456
1477814521,37342,38455
1477815122,37338,38451
1477815722,37328,38440
1477816321,37322,38434
1477816921,37321,38433
1477817521,37322,38434
1477817763,37311,38422
1477818121,37312,38423
1477819322,37312,38423
1477819921,37319,38429
1477820521,37330,38440
1477821122,37340,38451
1477821363,37334,38445
1477821721,37335,38446
1477822322,37318,38428
1477822922,37295,38403
1477824122,37287,38394
1477824722,37291,38398
1477824963,37296,38403
1477825322,37295,38403
1477826522,37283,38387
1477827181,37281,38385
1477827721,37280,38384
1477828563,37269,38373
1477828921,37271,38376
1477829773,37275,38379
1477830121,37262,38365
1477830781,37280,38383
1477831322,37289,38391
1477831922,37290,38392
1477832163,37289,38390
1477832521,37293,38394
1477833122,37295,38396
1477833722,37284,38384
1477834322,37285,38385
1477834921,37290,38389
1477835762,37296,38395
1477836121,37299,38398
1477836722,37292,38391
1477837322,37289,38388
1477838522,37271,38370
1477839362,37275,38374
1477839721,37271,38370
1477840922,37274,38373
1477841522,37276,38374
1477842122,37282,38380
1477842722,37292,38390
1477842963,37288,38386
1477843922,37288,38387
1477844522,37288,38387
1477845121,37293,38392
1477845181,37294,38393
1477845721,37300,38399
1477846322,37305,38405
1477846563,37312,38412
1477846921,37316,38416
1477848121,37295,38393
1477848722,37301,38400
1477848781,37301,38401
1477849322,37320,38421
1477849922,37323,38426
1477850162,37321,38424
1477850522,37322,38425
1477851121,37312,38412
1477851722,37364,38470
1477852381,37363,38469
1477852922,37366,38472
1477853763,37368,38473
1477854121,37374,38480
1477854722,37378,38484
1477855321,37393,38499
1477856522,37378,38482
1477857121,37384,38488
1477857363,37385,38489
1477857721,37398,38504
1477858321,37401,38506
1477858921,37391,38496
1477859522,37393,38498
1477860121,37396,38501
1477860722,37391,38495
1477860962,37393,38497
1477861321,37399,38503
1477862522,37401,38505
1477863122,37382,38485
1477863721,37384,38488
1477864321,37351,38454
1477864562,37350,38453
1477864921,37351,38455
1477865521,37363,38469
1477866122,37364,38470
1477866722,37366,38472
1477867321,37326,38428
1477867921,37338,38440
1477868162,37337,38440
1477868522,37340,38443
1477869122,37341,38444
1477869721,37335,38436
1477870931,37325,38425
1477871522,37314,38414
1477871762,37311,38411
1477872132,37315,38418
1477872722,37323,38426
1477873921,37318,38419
1477874522,37337,38441
1477875122,37344,38448
1477875722,37351,38454
1477876322,37363,38467
1477876921,37366,38470
1477877522,37374,38479
1477877581,37369,38473
1477878121,37352,38456
1477878722,37349,38453
1477878962,37347,38451
1477879321,37352,38456
1477879921,37356,38461
1477880523,37347,38450
1477881122,37358,38461
1477881722,37340,38442
1477882322,37353,38455
1477882563,37351,38453
1477882922,37354,38456
1477884121,37352,38455
1477884722,37347,38449
1477885322,37350,38453
1477885921,37353,38455
1477886162,37352,38453
1477886522,37356,38457
1477887122,37345,38447
1477887727,37354,38456
1477888322,37359,38461
1477888922,37364,38466
1477889522,37364,38466
1477889763,37371,38472
1477890122,37343,38442
1477890722,37350,38449
1477891321,37343,38442
1477891923,37347,38446
