DateTime,Entries,UniqueIPs
1477083657,1508,1508
1477085791,1508,1508
1477087707,1506,1506
1477089613,1493,1493
1477091538,1485,1485
1477093451,1478,1478
1477095387,1491,1491
1477097303,1512,1512
1477099228,1943,1943
1477101140,1978,1978
1477103069,2037,2037
1477104977,2083,2083
1477106946,2141,2141
1477108877,2174,2174
1477110755,2211,2211
1477112656,2247,2247
1477114578,2266,2266
1477116501,2313,2313
1477118423,2337,2337
1477120344,2363,2363
1477122258,2385,2385
1477124188,2414,2414
1477126102,2430,2430
1477128022,2452,2452
1477129947,2455,2455
1477131854,2470,2470
1477133777,2471,2471
1477135702,2483,2483
1477137670,2503,2503
1477139548,1623,1623
1477141463,2071,2071
1477143392,2092,2092
1477145303,2117,2117
1477147222,2139,2139
1477149137,2166,2166
1477151048,2180,2180
1477152982,2183,2183
1477154907,2203,2203
1477156825,2223,2223
1477158736,2247,2247
1477160656,2275,2275
1477162578,2295,2295
1477164545,2316,2316
1477166459,2323,2323
1477168349,2335,2335
1477170255,2384,2384
1477172188,2410,2410
1477174096,2436,2436
1477176013,2439,2439
1477177937,2446,2446
1477179875,2451,2451
1477181788,2466,2466
1477183709,2476,2476
1477185639,2824,2824
1477187591,2843,2843
1477189449,2850,2850
1477191386,2870,2870
1477193296,2888,2888
1477195271,2899,2899
1477197149,2923,2923
1477200994,3018,3018
1477202917,3050,3050
1477204814,3072,3072
1477206766,3094,3094
1477208684,3105,3105
1477210827,3117,3117
1477212742,3123,3123
1477214660,3141,3141
1477216576,3153,3153
1477218500,3175,3175
1477220473,3186,3186
1477222346,3208,3208
1477224260,1719,1719
1477228106,1714,1714
1477230033,2795,2795
1477231958,2765,2765
1477233854,2729,2729
1477235784,2718,2718
1477237702,2695,2695
1477239632,2692,2692
1477241540,2678,2678
1477243454,2673,2673
1477245391,2671,2671
1477247312,2651,2651
1477249262,2633,2633
1477251164,2600,2600
1477254991,2593,2593
1477256918,2580,2580
1477258837,2557,2557
1477260767,2542,2542
1477262726,2538,2538
1477264588,2523,2523
1477266503,2509,2509
1477268445,2494,2494
1477270342,2489,2489
1477272267,3453,3453
1477274186,3413,3413
1477276112,3378,3378
1477278071,3356,3356
1477279949,3337,3337
1477281858,3308,3308
1477283786,3293,3293
1477285708,3281,3281
1477287617,3256,3256
1477289536,3242,3242
1477291456,3216,3216
1477293418,3199,3199
1477295305,3191,3191
1477297224,3175,3175
1477299148,3165,3165
1477301057,3161,3161
1477302981,3140,3140
1477304900,3138,3138
1477306866,3129,3129
1477308745,3113,3113
1477310660,3097,3097
1477312582,1466,1466
1477314511,2413,2413
1477316425,2411,2411
1477318352,2414,2414
1477320250,2414,2414
1477322200,2417,2417
1477324105,2409,2409
1477326024,2410,2410
1477327947,2414,2414
1477329856,2423,2423
1477331785,2438,2438
1477333697,2431,2431
1477335672,2427,2427
1477337546,2422,2422
1477339713,2428,2428
1477341686,2461,2461
1477343577,2475,2475
1477345458,2470,2470
1477347415,2453,2453
1477349299,2466,2466
1477351214,2487,2487
1477353140,2505,2505
1477355054,2532,2532
1477356973,2548,2548
1477358905,3329,3329
1477360860,3340,3340
1477362740,3447,3447
1477364664,3464,3464
1477366595,3489,3489
1477368510,3510,3510
1477370417,3514,3514
1477372345,3539,3539
1477374250,3557,3557
1477376183,3588,3588
1477378103,3605,3605
1477380027,3621,3621
1477381944,3632,3632
1477383854,3640,3640
1477385785,3653,3653
1477387705,3656,3656
1477389663,3682,3682
1477393461,3692,3692
1477395404,3697,3697
1477397308,2191,2191
1477399223,2214,2214
1477401152,2931,2931
1477403054,2942,2942
1477404990,2981,2981
1477406907,2998,2998
1477408824,3015,3015
1477410749,3034,3034
1477412656,3054,3054
1477414599,3062,3062
1477416502,3091,3091
1477418474,3110,3110
1477422258,3125,3125
1477424228,3147,3147
1477426110,3147,3147
1477428023,3155,3155
1477429947,3155,3155
1477431852,3173,3173
1477433781,3172,3172
1477435708,3189,3189
1477437633,3199,3199
1477439550,3198,3198
1477441459,3211,3211
1477443378,3211,3211
1477445298,3949,3949
1477447264,3948,3948
1477449150,3954,3954
1477451059,3965,3965
1477452987,3967,3967
1477456828,3982,3982
1477458748,3990,3990
1477460654,3997,3997
1477462589,3999,3999
1477464509,3999,3999
1477466421,4017,4017
1477468344,4014,4014
1477470255,4004,4004
1477472181,4003,4003
1477474105,3995,3995
1477476073,3999,3999
1477477947,3998,3998
1477479889,4006,4006
1477481800,4016,4016
1477485620,1869,1869
1477487552,2983,2983
1477489455,2967,2967
1477491391,2969,2969
1477493298,2964,2964
1477495466,2948,2948
1477497376,2931,2931
1477499306,2918,2918
1477501265,2904,2904
1477503145,2893,2893
1477505062,2897,2897
1477506989,2899,2899
1477508899,2847,2847
1477511046,2837,2837
1477512877,2816,2816
1477514892,2829,2829
1477516821,2819,2819
1477518767,2801,2801
1477520652,2790,2790
1477522578,2774,2774
1477524503,2761,2761
1477526463,2854,2854
1477528368,2857,2857
1477530255,2842,2842
1477532173,3871,3871
1477534095,3856,3856
1477536021,3860,3860
1477537943,3831,3831
1477539848,3802,3802
1477541782,3787,3787
1477543703,3766,3766
1477545610,3739,3739
1477547542,3731,3731
1477549451,3720,3720
1477551373,3682,3682
1477553296,3659,3659
1477555270,3658,3658
1477557137,3649,3649
1477559054,3629,3629
1477560975,3604,3604
1477562900,3584,3584
1477564815,3561,3561
1477566746,3545,3545
1477568650,3533,3533
1477570589,1669,1669
1477572493,1681,1681
1477574413,2449,2449
1477576342,2453,2453
1477578273,2468,2468
1477580193,2465,2465
1477582121,2472,2472
1477584107,2471,2471
1477585956,2531,2531
1477587869,2545,2545
1477591739,2559,2559
1477593657,2585,2585
1477595551,2575,2575
1477597695,2572,2572
1477599619,2584,2584
1477601543,2585,2585
1477603449,2581,2581
1477605376,2581,2581
1477607300,2586,2586
1477609257,2573,2573
1477611170,2569,2569
1477613058,2582,2582
1477616905,3277,3277
1477618812,3276,3276
1477620733,3267,3267
1477622649,3260,3260
1477624583,3291,3291
1477626497,3343,3343
1477628422,3340,3340
1477630341,3351,3351
1477632255,3334,3334
1477634178,3336,3336
1477636102,3328,3328
1477638086,3326,3326
1477639935,3316,3316
1477641870,3311,3311
1477643784,3311,3311
1477645708,3315,3315
1477647619,3314,3314
1477649544,3355,3355
1477651451,3349,3349
1477653418,3346,3346
1477655295,3346,3346
1477657294,1679,1679
1477659159,1663,1663
1477661068,2399,2399
1477662980,2423,2423
1477664912,2430,2430
1477666881,2436,2436
1477668834,2448,2448
1477670755,2477,2477
1477672599,2490,2490
1477674509,2510,2510
1477676420,2496,2496
1477678339,2510,2510
1477680263,2493,2493
1477682195,2502,2502
1477684117,2496,2496
1477686033,2502,2502
1477688021,2525,2525
1477689881,2523,2523
1477691793,2522,2522
1477693709,2536,2536
1477695691,2543,2543
1477697547,2550,2550
1477699469,2599,2599
1477701384,2597,2597
1477703390,3265,3265
1477705214,3276,3276
1477707152,3276,3276
1477709057,3301,3301
1477710990,3304,3304
1477712904,3297,3297
1477714820,3308,3308
1477716742,3324,3324
1477718658,3336,3336
1477720576,3319,3319
1477722512,3326,3326
1477724465,3321,3321
1477726348,3365,3365
1477728485,3346,3346
1477730412,3361,3361
1477732349,3351,3351
1477734255,3350,3350
1477736177,3348,3348
1477738102,3362,3362
1477740019,3351,3351
1477741936,3352,3352
1477743856,1729,1729
1477745781,1727,1727
1477747709,2439,2439
1477749667,2439,2439
1477751549,2463,2463
1477753464,2455,2455
1477755436,2451,2451
1477759221,2477,2477
1477761143,2487,2487
1477763065,2493,2493
1477764979,2548,2548
1477766906,2552,2552
1477768871,2567,2567
1477770756,2563,2563
1477772666,2563,2563
1477774589,2578,2578
1477776510,2574,2574
1477778502,2583,2583
1477780349,2575,2575
1477782268,2568,2568
1477786122,2563,2563
1477788026,2546,2546
1477789951,3214,3214
1477791865,3214,3214
1477793785,3231,3231
1477795714,3254,3254
1477797645,3233,3233
1477799564,3224,3224
1477801529,3233,3233
1477803380,3232,3232
1477805416,3237,3237
1477807354,3238,3238
1477809410,3238,3238
1477811299,3229,3229
1477813228,3230,3230
1477815265,3231,3231
1477817304,3230,3230
1477819220,3223,3223
1477821145,3226,3226
1477823057,3214,3214
1477825031,3198,3198
1477826902,3194,3194
1477828863,3187,3187
1477830757,1537,1537
1477832659,1549,1549
1477834622,2305,2305
1477836514,2305,2305
1477838423,2288,2288
1477840346,2297,2297
1477842257,2307,2307
1477844199,2311,2311
1477846116,2321,2321
1477848026,2318,2318
1477849948,2328,2328
1477851852,2320,2320
1477853791,2316,2316
1477855713,2317,2317
1477857670,2324,2324
1477859553,2328,2328
1477861488,2321,2321
1477863392,2318,2318
1477865308,2313,2313
1477867225,2363,2363
1477869149,2386,2386
1477871052,2378,2378
1477873243,2371,2371
1477875155,2380,2380
1477877068,3065,3065
1477878987,3049,3049
1477880916,3047,3047
1477882874,3033,3033
1477886737,3018,3018
1477890555,3009,3009
1477892495,3031,3031
1477894422,3038,3038
1477896267,3041,3041
1477898197,3024,3024
1477900177,3021,3021
1477902097,3017,3017
1477903948,3014,3014
1477905980,3005,3005
1477907844,2994,2994
1477909821,2996,2996
1477911756,2993,2993
1477913643,2991,2991
1477917400,1527,1527
1477919313,2198,2198
1477921228,2207,2207
1477923409,2223,2223
1477925313,2248,2248
1477927254,2266,2266
1477929156,2288,2288
1477931055,2295,2295
1477932982,2302,2302
1477934915,2294,2294
1477936894,2296,2296
1477938745,2303,2303
1477940670,2329,2329
1477944755,2335,2335
1477946659,2342,2342
1477948625,2340,2340
1477950505,2401,2401
1477952419,2413,2413
1477954379,2432,2432
1477956300,2444,2444
1477958193,2452,2452
1477960112,2461,2461
1477962083,2459,2459
1477963977,3091,3091
1477967825,3111,3111
1477969741,3108,3108
1477971653,3125,3125
1477973545,3136,3136
1477975461,3141,3141
1477977400,3141,3141
1477979323,3147,3147
1477981244,3153,3153
1477983165,3162,3162
1477985065,3169,3169
1477986992,3170,3170
1477988855,3174,3174
1477990864,3180,3180
1477992746,3180,3180
1477994666,3175,3175
1477996594,3197,3197
1477998510,3194,3194
1478000435,3206,3206
1478002347,1734,1734
1478004257,1738,1738
1478006221,2366,2366
1478008100,2379,2379
1478010082,2392,2392
1478011952,2392,2392
1478013857,2398,2398
1478015783,2423,2423
1478017703,2492,2492
1478019658,2499,2499
1478021550,2523,2523
1478025395,2529,2529
1478027305,2543,2543
1478029243,2547,2547
1478031151,2551,2551
1478033063,2560,2560
1478034996,2562,2562
1478036900,2576,2576
1478038828,2583,2583
1478040755,2583,2583
1478042659,2583,2583
1478044578,2594,2594
1478046503,2613,2613
1478048464,2612,2612
1478050349,3226,3226
1478052293,3274,3274
1478056104,3298,3298
1478058033,3315,3315
1478059941,3343,3343
1478061859,3346,3346
1478063793,3356,3356
1478065706,3366,3366
1478067627,3366,3366
1478069543,3362,3362
1478071454,3387,3387
1478073379,3384,3384
1478075300,3398,3398
1478077268,3397,3397
1478079137,3401,3401
