DateTime,Entries,UniqueIPs
1475290399,8121,8121
1475293998,8041,8041
1475297598,7987,7987
1475301199,8016,8016
1475304798,7985,7985
1475308398,7993,7993
1475311998,8006,8006
1475315598,8085,8085
1475319198,8049,8049
1475322798,7986,7986
1475326398,7898,7898
1475329997,7874,7874
1475333597,7814,7814
1475337197,7776,7776
1475340797,7779,7779
1475344397,7739,7739
1475347997,7662,7662
1475351597,7551,7551
1475355197,7525,7525
1475358796,7478,7478
1475362396,7348,7348
1475365996,7225,7225
1475369596,7141,7141
1475373196,6987,6987
1475376796,6880,6880
1475380396,6764,6764
1475383996,6693,6693
1475387596,6610,6610
1475391196,6628,6628
1475394795,6636,6636
1475398395,6709,6709
1475401996,6804,6804
1475405595,6773,6773
1475409195,6617,6617
1475412795,6476,6476
1475416395,6338,6338
1475419995,6272,6272
1475423595,6084,6084
1475427194,5901,5901
1475430794,5695,5695
1475434394,5508,5508
1475437994,5301,5301
1475441594,5109,5109
1475445194,5032,5032
1475448794,5009,5009
1475452393,4984,4984
1475455993,4982,4982
1475459593,4958,4958
1475463193,4914,4914
1475466793,4885,4885
1475470393,4847,4847
1475473993,4805,4805
1475477593,4775,4775
1475481192,4748,4748
1475484793,4859,4859
1475488392,4881,4881
1475491992,4950,4950
1475495592,5021,5021
1475499192,5070,5070
1475502792,5085,5085
1475506392,5047,5047
1475509992,5013,5013
1475513591,4970,4970
1475517192,4898,4898
1475520792,4813,4813
1475524392,4801,4801
1475527992,4853,4853
1475531593,4927,4927
1475535193,5015,5015
1475538793,5074,5074
1475542393,5105,5105
1475545993,5151,5151
1475549593,5157,5157
1475553193,5195,5195
1475556793,5162,5162
1475560393,5157,5157
1475563993,5122,5122
1475567593,5179,5179
1475571193,5307,5307
1475574793,5357,5357
1475578393,5369,5369
1475581993,5472,5472
1475585593,5526,5526
1475589193,5555,5555
1475592793,5699,5699
1475596393,5770,5770
1475599993,5860,5860
1475603592,5964,5964
1475607192,6066,6066
1475610792,6185,6185
1475614392,6310,6310
1475617992,6397,6397
1475621592,6458,6458
1475625192,6530,6530
1475628792,6597,6597
1475632392,6652,6652
1475635992,6716,6716
1475639592,6781,6781
1475643193,6842,6842
1475646793,6923,6923
1475650393,6958,6958
1475653993,7101,7101
1475657593,7057,7057
1475661193,7065,7065
1475664793,7015,7015
1475668392,6966,6966
1475671992,7048,7048
1475675593,7220,7220
1475679193,7405,7405
1475682792,7708,7708
1475686392,8000,8000
1475689993,8276,8276
1475693593,8513,8513
1475697193,8558,8558
1475700793,8540,8540
1475704393,8503,8503
1475707993,8480,8480
1475711594,8442,8442
1475715193,8389,8389
1475718794,8359,8359
1475722394,8336,8336
1475725994,8327,8327
1475729594,8329,8329
1475733194,8365,8365
1475736794,8437,8437
1475740395,8373,8373
1475743994,8279,8279
1475747594,8198,8198
1475751194,8170,8170
1475754794,8116,8116
1475758394,8082,8082
1475761994,8111,8111
1475765594,8222,8222
1475769194,8414,8414
1475772793,8582,8582
1475776393,8580,8580
1475779994,8477,8477
1475783593,8384,8384
1475787192,8303,8303
1475790793,8210,8210
1475794393,8203,8203
1475797994,8228,8228
1475801594,8209,8209
1475805194,8206,8206
1475808795,8231,8231
1475812395,8292,8292
1475815995,8331,8331
1475819595,8347,8347
1475823195,8341,8341
1475826795,8249,8249
1475830395,8226,8226
1475833995,8132,8132
1475837595,8088,8088
1475841195,8045,8045
1475844795,7967,7967
1475848395,7823,7823
1475851995,7746,7746
1475855595,7529,7529
1475859196,7284,7284
1475862795,7145,7145
1475866395,6998,6998
1475869995,7029,7029
1475873595,7035,7035
1475877195,7058,7058
1475880795,7075,7075
1475884395,7072,7072
1475887995,7112,7112
1475891594,7155,7155
1475895195,7207,7207
1475898795,7281,7281
1475902395,7316,7316
1475905996,7354,7354
1475909595,7408,7408
1475913196,7462,7462
1475916796,7463,7463
1475920396,7445,7445
1475923997,7396,7396
1475927597,7367,7367
1475931197,7356,7356
1475934802,7310,7310
1475938397,7135,7135
1475941998,6963,6963
1475945597,6788,6788
1475949197,6695,6695
1475952797,6749,6749
1475956397,6760,6760
1475959997,6793,6793
1475963597,6795,6795
1475967198,6792,6792
1475970798,6747,6747
1475974398,6717,6717
1475977998,6674,6674
1475981598,6675,6675
1475985198,6630,6630
1475988798,6599,6599
1475992399,6561,6561
1475995999,6578,6578
1475999598,6657,6657
1476003198,6695,6695
1476006798,6704,6704
1476010398,6641,6641
1476013998,6611,6611
1476017599,6600,6600
1476021199,6582,6582
1476024800,6541,6541
1476028401,6566,6566
1476032001,6582,6582
1476035601,6531,6531
1476039202,6488,6488
1476042802,6338,6338
1476046402,6201,6201
1476050002,6114,6114
1476053602,6035,6035
1476057202,5947,5947
1476060801,5904,5904
1476064402,5845,5845
1476068001,5763,5763
1476071601,5693,5693
1476075202,5637,5637
1476078802,5575,5575
1476082402,5475,5475
1476086003,5416,5416
1476089602,5392,5392
1476093203,5357,5357
1476096802,5328,5328
1476100403,5272,5272
1476104002,5208,5208
1476107603,5173,5173
1476111203,5125,5125
1476114803,5076,5076
1476118403,5059,5059
1476122004,5007,5007
1476125603,4969,4969
1476129222,4918,4918
1476132822,4868,4868
1476136422,4825,4825
1476140022,4777,4777
1476143622,4742,4742
1476147222,4716,4716
1476150822,4723,4723
1476154422,4667,4667
1476158023,4640,4640
1476161623,4606,4606
1476165223,4605,4605
1476168823,4585,4585
1476172423,4540,4540
1476176023,4471,4471
1476179623,4439,4439
1476183223,4411,4411
1476186823,4387,4387
1476190423,4355,4355
1476194023,4272,4272
1476197623,4196,4196
1476201224,4097,4097
1476204823,4008,4008
1476208423,3971,3971
1476212024,3939,3939
1476215624,3986,3986
1476219223,4084,4084
1476222824,4127,4127
1476226424,4126,4126
1476230024,4144,4144
1476233624,4174,4174
1476237224,4174,4174
1476240824,4212,4212
1476244425,4214,4214
1476248024,4244,4244
1476251625,4233,4233
1476255225,4259,4259
1476258825,4279,4279
1476262425,4334,4334
1476266025,4363,4363
1476269625,4348,4348
1476273225,4362,4362
1476276825,4344,4344
1476280425,4303,4303
1476284025,4393,4393
1476287625,4344,4344
1476291225,4274,4274
1476294825,4260,4260
1476298425,4239,4239
1476302025,4233,4233
1476305626,4231,4231
1476309225,4228,4228
1476312826,4200,4200
1476316426,4161,4161
1476320026,4133,4133
1476323627,4098,4098
1476327228,4077,4077
1476330828,4057,4057
1476334428,4035,4035
1476338028,3973,3973
1476341628,3936,3936
1476345228,3890,3890
1476348828,3854,3854
1476352428,3903,3903
1476356027,3926,3926
1476359415,3998,3998
1476363024,3931,3931
1476366615,3968,3968
1476370214,3929,3929
1476373814,3959,3959
