DateTime,Entries,UniqueIPs
1477506614,39263,39263
1477507516,39127,39127
1477508417,39040,39040
1477509316,39000,39000
1477510216,39227,39227
1477511115,39402,39402
1477512013,39484,39484
1477512915,39593,39593
1477513818,39598,39598
1477514715,39568,39568
1477515616,39540,39540
1477516514,39495,39495
1477517414,39284,39284
1477518312,39092,39092
1477519212,38956,38956
1477520115,38548,38548
1477521012,38385,38385
1477521912,38193,38193
1477522814,38095,38095
1477523712,37927,37927
1477524611,37813,37813
1477525513,37722,37722
1477526411,37588,37588
1477527311,37431,37431
1477528211,37288,37288
1477529111,37138,37138
1477530011,36970,36970
1477530911,36800,36800
1477531812,36674,36674
1477532710,36578,36578
1477533609,36471,36471
1477534509,36337,36337
1477535408,36187,36187
1477536309,36064,36064
1477537208,35949,35949
1477538108,35873,35873
1477539008,35797,35797
1477539906,35687,35687
1477540806,35571,35571
1477541707,35443,35443
1477542607,35345,35345
1477543506,35230,35230
1477544406,35128,35128
1477545304,35085,35085
1477546205,35042,35042
1477547106,35199,35199
1477548006,35377,35377
1477548905,35552,35552
1477549805,35587,35587
1477550705,35579,35579
1477551606,35602,35602
1477552505,35661,35661
1477553406,35799,35799
1477554304,35955,35955
1477555203,35976,35976
1477556105,37713,37713
1477557006,39835,39835
1477557907,39772,39772
1477558809,39744,39744
1477559708,39639,39639
1477560610,39556,39556
1477561510,39442,39442
1477562413,39411,39411
1477563314,39272,39272
1477564213,39227,39227
1477565115,39174,39174
1477566013,39236,39236
1477566914,39204,39204
1477567819,39208,39208
1477568719,39217,39217
1477569618,39243,39243
1477570515,39272,39272
1477571415,39272,39272
1477572317,39273,39273
1477573215,39273,39273
1477574114,39273,39273
1477575017,39288,39288
1477575915,39288,39288
1477576817,39290,39290
1477577713,39305,39305
1477578614,39294,39294
1477579513,39297,39297
1477580412,39307,39307
1477581313,39309,39309
1477582215,39323,39323
1477583115,39327,39327
1477584013,39327,39327
1477584911,39344,39344
1477585812,39345,39345
1477586712,39345,39345
1477587614,39333,39333
1477588516,39338,39338
1477589415,39344,39344
1477590312,39346,39346
1477591215,39345,39345
1477592115,39344,39344
1477593015,39340,39340
1477593915,39336,39336
1477594815,39341,39341
