DateTime,Entries,UniqueIPs
1475319064,4220,4374
1475324458,4228,4382
1475328657,4223,4376
1475332862,4217,4370
1475337060,4217,4370
1475342456,4219,4372
1475347256,4218,4370
1475350254,4219,4371
1475353858,4225,4377
1475357456,4240,4392
1475357457,4223,4375
1475362263,4211,4363
1475367063,4217,4369
1475371262,4212,4364
1475376067,4211,4360
1475382664,4234,4384
1475388062,4206,4355
1475392859,4214,4363
1475398259,4226,4377
1475403661,4212,4362
1475409660,4205,4353
1475414457,4201,4349
1475419259,4201,4348
1475422257,4205,4352
1475425861,4207,4354
1475429454,4205,4352
1475433063,4204,4350
1475436658,4205,4351
1475440262,4198,4344
1475443857,4191,4337
1475446857,4186,4332
1475451064,4233,4380
1475455860,4233,4381
1475460665,4214,4362
1475466070,4205,4353
1475470269,4197,4343
1475475671,4229,4377
1475482268,4226,4374
1475486468,4208,4355
1475491264,4247,4394
1475497862,4242,4390
1475502061,4232,4377
1475508064,4247,4392
1475513478,4242,4386
1475518863,4251,4394
1475524264,4248,4391
1475529663,4266,4409
1475535061,4253,4395
1475540462,4315,4456
1475546470,4326,4467
1475550667,4304,4444
1475556664,4299,4440
1475562667,4315,4455
1475567463,4301,4442
1475572862,4307,4449
1475577664,4297,4437
1475581860,4293,4433
1475587263,4277,4417
1475592061,4269,4408
1475597460,4259,4396
1475602859,4263,4400
1475606463,4273,4413
1475610661,4253,4391
1475615464,4251,4389
1475626861,4251,4388
1475632264,4252,4389
1475637063,4228,4362
1475643063,4236,4372
1475647862,4234,4372
1475653862,4225,4363
1475659860,4235,4373
1475664663,4221,4358
1475670058,4221,4358
1475674855,4203,4338
1475678450,4215,4350
1475682658,4211,4348
1475687460,4208,4345
1475691061,4213,4350
1475694664,4208,4345
1475700066,4184,4318
1475706062,4203,4337
1475711464,4218,4353
1475716864,4220,4356
1475722260,4219,4356
1475727659,4196,4332
1475733059,4210,4347
1475739059,4200,4337
1475743863,4199,4336
1475749266,4205,4341
1475755263,4193,4329
1475759460,4201,4337
1475764862,4186,4322
1475770257,4185,4320
1475775059,4158,4294
1475779254,4154,4290
1475784658,4155,4289
1475787653,4143,4277
1475791856,4168,4302
1475797257,4219,4353
1475802657,4215,4349
1475808660,4220,4355
1475814659,4221,4356
1475820062,4220,4350
1475825461,4222,4350
1475830860,4206,4334
1475835069,4202,4329
1475841664,4199,4326
1475847060,4197,4324
1475851259,4190,4316
1475856655,4180,4306
1475862657,4176,4302
1475867462,4157,4283
1475872861,4172,4298
1475878260,4165,4291
1475884261,4165,4291
1475889062,4155,4282
1475895060,4149,4276
1475900464,4137,4264
1475906464,4140,4267
1475911861,4146,4274
1475916667,4135,4262
1475921468,4153,4280
1475927464,4194,4322
1475932859,4192,4324
1475937661,4190,4322
1475941858,4173,4302
1475947261,4200,4330
1475952063,4193,4325
1475956862,4182,4315
1475959860,4218,4351
1475965869,4214,4347
1475971865,4224,4356
1475978470,4226,4357
1475984467,4220,4353
1475992271,4217,4350
1475999470,4233,4367
1476005473,4223,4357
1476011471,4298,4431
1476019868,4300,4440
1476024662,4302,4442
1476030061,4298,4438
1476036664,4331,4468
1476041466,4337,4472
1476046262,4330,4465
1476051067,4348,4482
1476056463,4353,4487
1476061868,4363,4498
1476067862,4361,4498
1476072664,4372,4509
1476079265,4361,4498
1476084063,4362,4500
1476089466,4344,4482
1476094869,4346,4484
1476101465,4345,4486
1476108667,4348,4489
1476114661,4339,4482
1476120067,4354,4503
1476125465,4413,4563
1476131466,4412,4563
1476136266,4420,4572
1476141663,4421,4573
1476147064,4425,4576
1476152465,4430,4583
1476157865,4421,4574
1476163267,4395,4544
1476168067,4390,4540
1476173467,4376,4526
1476177665,4384,4535
1476181870,4382,4532
1476186672,4393,4544
1476192068,4371,4522
1476197466,4380,4531
1476202866,4384,4534
1476208259,4417,4569
1476213063,4416,4568
1476218463,4415,4568
1476223864,4404,4556
1476229861,4423,4576
1476235868,4429,4582
1476241268,4426,4578
1476246068,4420,4572
1476251470,4430,4583
1476256270,4420,4572
1476262268,4418,4569
1476267676,4414,4564
1476273063,4419,4569
1476278461,4420,4570
1476283857,4401,4551
1476289260,4411,4559
1476294662,4424,4573
1476299460,4432,4580
1476306065,4447,4596
1476310864,4435,4584
1476316265,4447,4596
1476321670,4441,4589
1476327668,4432,4580
1476331863,4418,4566
1476337862,4421,4569
1476343263,4410,4556
1476348065,4419,4565
1476354066,4415,4561
1476359461,4408,4552
1476364861,4411,4555
1476369662,4399,4543
1476375110,4438,4584
1476381061,4456,4602
1476386463,4447,4593
1476391861,4450,4596
1476397258,4462,4608
1476402655,4464,4611
1476407456,4452,4599
1476411661,4458,4605
1476417056,4462,4609
1476423055,4449,4595
1476427859,4454,4600
1476433262,4434,4580
1476438661,4435,4582
1476444064,4424,4571
1476450060,4422,4567
1476454257,4426,4571
1476460260,4419,4564
1476465662,4449,4594
1476470455,4447,4596
1476477666,4451,4598
1476482461,4441,4587
1476487857,4451,4597
1476492659,4455,4601
1476498057,4445,4590
1476502859,4450,4595
1476508859,4441,4585
1476513661,4445,4589
1476519656,4435,4579
1476525065,4440,4584
1476530457,4425,4568
1476535858,4417,4554
1476540657,4422,4560
1476546057,4424,4562
1476551458,4409,4547
1476557464,4460,4599
1476562263,4450,4589
1476568263,4445,4583
1476573666,4428,4565
1476578463,4426,4563
1476584465,4431,4565
1476590463,4425,4557
1476595861,4436,4569
1476601262,4420,4553
1476606062,4409,4541
1476610870,4398,4528
1476617465,4393,4521
1476622262,4397,4525
1476627661,4406,4535
1476633657,4438,4567
1476637859,4506,4636
1476644464,4555,4686
1476649865,4547,4678
1476655356,4556,4687
1476661266,4583,4714
1476668465,4599,4730
1476675670,4591,4722
1476683470,4570,4701
1476690062,4582,4713
1476697271,4570,4702
1476704461,4554,4685
1476711058,4554,4685
1476717058,4547,4678
1476724261,4570,4703
1476730858,4567,4697
1476735659,4531,4659
1476740460,4540,4668
1476746461,4543,4671
1476751269,4497,4625
1476757865,4508,4637
1476762665,4493,4619
1476768067,4489,4615
1476775270,4514,4641
1476778872,4502,4629
1476782469,4493,4619
1476786064,4489,4615
1476793263,4471,4597
1476796865,4458,4583
1476800466,4435,4560
1476804058,4439,4564
1476807660,4422,4546
1476811257,4400,4523
1476820264,4405,4529
1476826266,4413,4535
1476831664,4394,4516
1476837665,4394,4521
1476844867,4435,4575
1476852065,4440,4582
1476857462,4422,4563
1476864063,4416,4556
1476869465,4412,4560
1476874264,4388,4535
1476879660,4389,4537
1476885662,4400,4548
1476891061,4371,4524
1476896459,4427,4586
1476901866,4459,4617
1476906662,4463,4621
1476913264,4449,4611
1476918669,4473,4640
1476925268,4475,4641
1476930665,4462,4628
1476936669,4483,4650
1476943868,4471,4639
1476951669,4463,4633
1476957072,4479,4651
1476963668,4473,4645
1476970867,4467,4639
1476975669,4456,4627
1476982268,4493,4664
1476988268,4514,4685
1476993666,4521,4692
1476998468,4515,4687
1477005069,4520,4692
1477009866,4529,4702
1477015878,4522,4693
1477022473,4534,4706
1477028469,4513,4683
1477033866,4508,4678
1477041067,4493,4663
1477046464,4496,4666
1477053662,4476,4646
1477058462,4479,4649
1477063861,4480,4649
1477068660,4498,4667
1477073461,4528,4697
1477079458,4520,4689
1477084861,4525,4694
1477089666,4522,4692
1477095665,4542,4713
1477101065,4530,4700
1477107664,4562,4733
1477112465,4557,4730
1477118467,4557,4730
1477125669,4561,4734
1477130465,4561,4737
1477135871,4555,4730
1477141265,4564,4738
1477147264,4569,4742
1477153265,4581,4754
1477159261,4635,4808
1477164063,4631,4804
1477169464,4634,4808
1477176069,4643,4819
1477183270,4657,4832
1477189865,4642,4817
1477195265,4651,4826
1477200665,4656,4831
1477205468,4656,4830
1477212063,4670,4844
1477219265,4664,4838
1477225863,4659,4834
1477231264,4650,4826
1477236063,4639,4819
1477240862,4635,4815
1477246860,4630,4810
1477252867,4626,4808
1477258264,4615,4797
1477263065,4597,4779
1477268461,4568,4750
1477274464,4540,4719
1477279865,4514,4685
1477285862,4526,4697
1477292471,4502,4673
1477297872,4485,4657
1477303272,4472,4645
1477309269,4504,4678
1477314666,4510,4684
1477321860,4489,4663
1477327262,4483,4656
1477331459,4476,4649
1477336860,4446,4615
1477341660,4447,4616
1477347666,4448,4618
1477353060,4449,4619
1477359063,4432,4601
1477364462,4436,4609
1477369862,4417,4590
1477374662,4389,4559
1477380063,4401,4571
1477386068,4404,4573
1477392064,4420,4594
1477398663,4429,4603
1477404060,4414,4588
1477409463,4419,4593
1477414265,4422,4596
1477419063,4393,4565
1477425660,4402,4575
1477431062,4389,4561
1477435859,4395,4567
1477441260,4407,4579
1477446661,4373,4545
1477452064,4361,4534
1477456859,4350,4523
1477462863,4359,4532
1477468260,4346,4519
1477474260,4360,4534
1477479061,4359,4535
1477484461,4365,4540
1477489862,4371,4546
1477495863,4374,4549
1477501258,4380,4554
1477506061,4362,4535
1477512063,4377,4550
1477517461,4366,4539
1477522260,4374,4550
1477527666,4369,4544
1477533059,4360,4536
1477538459,4358,4534
1477543860,4352,4530
1477549263,4341,4516
1477554661,4348,4523
1477560062,4345,4519
1477566068,4348,4522
1477571464,4344,4516
1477577465,4340,4513
1477584662,4338,4509
1477588866,4343,4511
1477593661,4337,4504
1477599060,4335,4501
1477604465,4313,4479
1477610468,4318,4483
1477616466,4304,4467
1477621865,4304,4468
1477627270,4292,4455
1477632668,4274,4437
1477638067,4280,4443
1477642863,4280,4445
1477648267,4274,4442
1477653671,4283,4451
1477659065,4283,4454
1477664460,4275,4446
1477669862,4266,4437
1477674663,4283,4455
1477680755,4277,4449
1477686064,4277,4450
1477690869,4278,4452
1477696266,4283,4455
1477702265,4281,4452
1477707664,4265,4436
1477713662,4263,4435
1477719066,4252,4426
1477724464,4244,4418
1477729263,4238,4412
1477735265,4256,4430
1477740667,4262,4434
1477746062,4245,4418
1477750862,4250,4423
1477756262,4244,4417
1477760459,4251,4423
1477767656,4256,4428
1477771265,4263,4436
1477779063,4261,4433
1477785070,4249,4420
1477790466,4239,4410
1477797070,4232,4403
1477801266,4224,4392
1477806665,4236,4405
1477812070,4216,4387
1477817461,4198,4370
1477822866,4185,4357
1477828264,4223,4396
1477833663,4216,4389
1477839062,4219,4392
1477843868,4213,4386
1477849267,4233,4408
1477855265,4231,4407
1477860059,4224,4400
1477865463,4226,4403
1477870868,4228,4406
1477876261,4236,4413
1477882264,4232,4408
1477887065,4245,4418
1477892467,4231,4404
1477896668,4219,4392
1477902667,4231,4404
1477908071,4220,4390
1477912268,4229,4392
1477918865,4250,4413
1477923663,4243,4407
1477929064,4241,4400
1477934467,4230,4386
1477938664,4221,4377
1477942861,4215,4371
1477948271,4199,4355
1477951863,4203,4359
1477957860,4209,4364
1477963261,4182,4335
1477969261,4191,4344
1477974663,4170,4320
1477979462,4159,4308
1477986060,4153,4303
1477990861,4134,4282
1477995662,4143,4278
1478001062,4158,4294
1478006464,4158,4294
1478011859,4157,4293
