DateTime,Entries,UniqueIPs
1475376067,960,960
1475382664,870,870
1475388062,871,871
1475392859,849,849
1475398259,837,837
1475403661,813,813
1475409660,812,812
1475414457,726,726
1475419259,731,731
1475422257,727,727
1475425861,744,744
1475429454,712,712
1475433063,726,726
1475436658,730,730
1475440262,719,719
1475443857,723,723
1475446857,727,727
1475451064,810,810
1475455860,827,827
1475460665,843,843
1475466070,874,874
1475470269,894,894
1475475671,930,930
1475482268,902,902
1475486468,837,837
1475491264,859,859
1475497862,831,831
1475502061,842,842
1475508064,821,821
1475513478,804,804
1475518863,797,797
1475524264,804,804
1475529663,827,827
1475535061,824,824
1475540462,909,909
1475546470,962,962
1475550667,956,956
1475556664,909,909
1475562667,894,894
1475567463,867,867
1475572862,817,817
1475577664,833,833
1475581860,794,794
1475587263,781,781
1475592061,788,788
1475597460,765,765
1475602859,775,775
1475606463,802,802
1475610661,815,815
1475615464,837,837
1475626861,874,874
1475632264,890,890
1475637063,881,881
1475643063,895,895
1475647862,925,925
1475653862,899,899
1475659860,877,877
1475664663,859,859
1475670058,800,800
1475674855,779,779
1475678450,773,773
1475682658,790,790
1475687460,775,775
1475691061,769,769
1475694664,807,807
1475700066,837,837
1475706062,823,823
1475711464,873,873
1475716864,861,861
1475722260,825,825
1475727659,813,813
1475733059,825,825
1475739059,817,817
1475743863,808,808
1475749266,831,831
1475755263,798,798
1475759460,768,768
1475764862,763,763
1475770257,714,714
1475775059,716,716
1475779254,724,724
1475784658,729,729
1475787653,744,744
1475791856,779,779
1475797257,847,847
1475802657,854,854
1475808660,859,859
1475814659,875,875
1475820062,867,867
1475825461,880,880
1475830860,827,827
1475835069,831,831
1475841664,822,822
1475847060,795,795
1475851259,790,790
1475856655,769,769
1475862657,752,752
1475867462,787,787
1475872861,778,778
1475878260,796,796
1475884261,795,795
1475889062,815,815
1475895060,798,798
1475900464,839,839
1475906464,877,877
1475911861,906,906
1475916667,881,881
1475921468,893,893
1475927464,921,921
1475932859,851,851
1475937661,852,852
1475941858,853,853
1475947261,803,803
1475952063,789,789
1475956862,819,819
1475959860,944,944
1475965869,969,969
1475971865,990,990
1475978470,1035,1035
1475984467,1135,1135
1475992271,1109,1109
1475999470,1020,1020
1476005473,1054,1054
1476011471,1111,1111
1476019868,974,974
1476024662,953,953
1476030061,943,943
1476036664,906,906
1476041466,895,895
1476046262,838,838
1476051067,862,862
1476056463,858,858
1476061868,888,888
1476067862,898,898
1476072664,904,904
1476079265,889,889
1476084063,878,878
1476089466,915,915
1476094869,1010,1010
1476101465,969,969
1476108667,951,951
1476114661,932,932
1476120067,941,941
1476125465,1030,1030
1476131466,974,974
1476136266,993,993
1476141663,980,980
1476147064,945,945
1476152465,930,930
1476157865,890,890
1476163267,892,892
1476168067,888,888
1476173467,893,893
1476177665,877,877
1476181870,895,895
1476186672,832,832
1476192068,829,829
