DateTime,AddedIPs,RemovedIPs
1476251763,13,0
1476255362,7,6
1476258963,8,5
1476262562,12,26
1476266162,3,0
1476269762,14,10
1476273363,5,6
1476276962,2,0
1476280562,19,33
1476284162,10,12
1476287762,13,7
1476291363,17,13
1476294963,11,0
1476298562,4,20
1476302163,9,2
1476305762,2,0
1476309363,7,9
1476312963,7,11
1476316563,2,7
1476320162,4,5
1476323763,3,12
1476330962,2,20
1476334562,8,0
1476338163,3,19
1476341763,1,0
1476345362,3,13
1476348963,3,7
1476352562,8,0
1476356162,10,6
1476359763,8,5
1476363363,4,7
1476366962,8,19
1476370562,13,0
1476374163,13,29
1476377762,4,8
1476381363,7,18
1476384964,11,0
1476388563,13,20
1476392163,7,0
1476395763,0,4
1476399363,10,7
1476402963,4,4
1476406562,7,6
1476410163,8,13
1476413763,4,8
1476417362,4,3
1476420963,3,6
1476424562,3,7
1476428163,3,4
1476431763,4,16
1476435362,11,4
1476438963,3,15
1476442562,11,6
1476446163,5,5
1476449763,5,5
1476453362,7,6
1476456962,10,10
1476460562,7,8
1476464162,3,11
1476467763,7,20
1476471363,3,0
1476474963,3,29
1476478562,3,0
1476482163,7,11
1476485763,4,8
1476489363,3,0
1476492962,1,6
1476496562,6,21
1476500163,6,0
1476503763,2,19
1476507363,0,10
1476510963,3,0
1476514563,2,12
1476518163,5,26
1476521762,4,0
1476525363,9,26
1476528962,6,0
1476532562,6,15
1476536163,10,0
1476539762,7,16
1476543362,9,0
1476546963,16,8
1476550563,6,4
1476554162,13,0
1476557762,1,21
1476561362,11,13
1476564962,5,12
1476568563,9,0
1476572163,6,9
1476575762,8,14
1476579362,7,6
1476582962,8,10
1476586562,5,20
1476590162,5,5
1476593763,2,15
1476597362,6,0
1476600963,3,11
1476604563,7,36
1476608163,21,0
1476611763,8,29
1476615362,7,12
1476618962,16,9
1476622562,11,8
1476626163,14,5
1476629764,13,0
1476633363,8,11
1476636962,15,20
1476640563,20,3
1476644163,11,11
1476647764,14,14
1476651363,8,0
1476654963,3,6
1476658563,14,5
1476662162,10,17
1476665763,11,0
1476669363,3,10
1476672963,3,7
1476676562,5,3
1476680163,10,12
1476683763,5,17
1476687363,7,20
1476690963,5,0
1476694563,4,7
1476698163,6,19
1476701762,20,9
1476705363,5,17
1476708962,8,12
1476712563,5,19
1476716163,19,14
1476719763,9,0
1476723362,7,10
1476726963,3,11
1476730562,3,15
1476734163,6,5
1476737763,6,3
1476741363,21,8
1476744963,12,7
1476748562,15,7
1476752162,1,3
1476755763,7,11
1476759362,9,10
1476762962,2,4
1476766562,5,23
1476770163,8,7
1476773763,10,9
1476777363,9,10
1476780963,9,5
1476784563,10,15
1476788163,17,22
1476791763,36,7
1476795362,30,8
1476798962,24,8
1476802563,22,12
1476806163,15,6
1476809763,8,9
1476813362,10,10
1476816963,12,9
1476820562,7,9
1476824162,8,19
1476827762,3,6
1476831362,5,2
1476834963,6,9
1476838563,1,0
1476842162,3,6
1476845763,2,15
1476849362,7,19
1476852962,5,0
1476856563,9,12
1476860162,8,23
1476863763,8,0
1476867362,11,22
1476870962,7,0
1476874562,7,33
1476878163,12,0
1476881763,9,11
1476885362,4,9
1476888963,3,5
1476892562,7,12
1476896163,22,16
1476899763,11,17
1476903363,7,0
1476906963,10,17
1476910563,4,7
1476914163,20,7
1476917763,4,9
1476921363,2,15
1476924963,1,0
1476928562,6,4
1476932162,2,10
1476935762,5,1
1476939378,13,7
1476942962,13,4
1476946562,10,7
1476950162,6,12
1476953762,7,8
1476957363,8,0
1476960963,18,11
1476964563,28,6
1476968163,10,7
1476971762,4,0
1476975363,20,22
1476978962,21,9
1476982562,6,0
1476986162,6,10
1476989762,16,24
1476993363,10,11
1476996962,9,0
1477000562,13,21
1477004162,4,5
1477007762,3,4
1477011363,5,7
1477014963,4,4
1477018562,3,1
1477022163,2,4
1477025763,11,2
1477029362,6,6
1477032963,13,5
1477036563,15,8
1477040162,13,0
1477043763,20,27
1477047362,13,4
1477050962,5,4
1477054562,6,8
1477058163,9,4
1477061763,8,5
1477065362,14,0
1477068963,7,11
1477072563,5,0
1477076162,5,10
1477079763,4,6
1477083363,12,0
1477086963,5,8
1477090563,8,3
1477094163,9,2
1477097762,2,0
1477101363,3,4
1477104963,1,10
1477108563,9,3
1477112163,6,3
1477115763,5,5
1477119362,8,3
1477122963,8,0
1477126562,2,13
1477130163,15,10
1477133763,4,8
1477137363,4,6
1477140963,5,2
1477144563,1,4
1477148162,15,9
1477151762,14,5
1477155363,5,6
1477158963,14,0
1477162563,17,4
1477166163,6,6
1477169763,4,11
1477173362,11,5
1477176963,10,5
1477180562,4,0
1477184163,5,14
1477187763,8,9
1477191362,4,0
1477194963,1,6
1477198563,3,14
1477202163,13,6
1477205762,11,5
1477209363,12,0
1477212963,10,28
1477216562,4,13
1477220163,10,13
1477223763,3,6
1477227363,2,0
1477230964,2,13
1477234563,10,3
1477238163,19,14
1477241762,10,10
1477245363,1,0
1477248963,5,6
1477252563,15,11
1477256163,6,11
1477259763,8,0
1477263362,8,18
1477266962,3,0
1477270562,6,20
1477274163,4,0
1477277763,7,15
1477281362,4,9
1477284963,12,0
1477288563,6,16
1477292163,11,10
1477295762,6,6
1477299362,6,3
1477302962,12,0
1477306563,6,32
1477310163,4,9
1477313763,13,0
1477317362,13,3
1477320963,8,12
1477324563,3,16
1477328163,7,0
1477331762,4,10
1477335362,17,10
1477338963,17,11
1477342563,9,10
1477346163,7,9
1477349763,2,13
1477353363,6,2
1477356962,4,0
1477360562,5,22
1477364162,1,0
1477367763,1,15
1477371362,6,0
1477374963,8,19
1477378563,2,14
1477382162,7,14
1477385762,16,0
1477389362,5,28
1477392962,17,23
1477396563,8,6
1477400162,11,0
1477403763,4,12
1477407363,6,15
1477410962,10,7
1477414562,5,12
1477418163,17,7
1477421763,8,0
1477425362,4,27
1477428962,7,5
1477432562,4,34
1477436162,6,18
1477439763,5,0
1477443363,5,13
1477446963,5,16
1477450562,5,0
1477454165,0,16
1477457763,17,11
1477461363,11,12
1477464962,11,0
1477468563,5,10
1477472163,2,0
1477475763,9,9
1477479362,4,4
1477482963,6,9
1477486563,5,0
1477490163,9,12
1477493762,2,4
1477497362,8,8
1477500963,13,3
1477508162,5,16
1477511763,7,10
1477515363,11,7
1477518963,5,6
1477522562,5,2
1477526162,5,0
1477529780,2,19
1477533363,6,5
1477536962,4,3
1477540562,1,10
1477544162,11,13
1477547763,10,6
1477551363,5,5
1477554962,11,0
1477558563,16,7
1477562163,11,20
1477565762,25,14
1477569363,6,7
1477572964,3,9
1477576563,9,17
1477580163,14,9
1477583762,8,8
1477587362,4,3
1477590963,3,10
1477594563,3,18
1477598162,5,0
1477601762,18,19
1477605363,34,5
1477608963,11,0
1477612563,7,5
1477616163,9,5
1477619763,4,12
1477623363,3,8
1477626962,6,7
1477630562,9,21
1477634163,5,13
1477637763,4,12
1477641362,8,2
1477644962,9,9
1477648563,8,9
1477652163,6,0
1477655763,8,19
1477659363,17,4
1477662963,15,4
1477666563,9,19
1477673763,21,5
1477677362,11,19
1477680963,8,3
1477684563,4,5
1477688162,9,5
1477691762,9,0
1477695363,4,14
1477698963,2,0
1477702562,3,12
1477706162,9,7
1477709763,2,5
1477713362,2,0
1477716963,6,6
1477720562,11,6
1477724163,6,12
1477727763,8,5
1477731362,6,10
1477734963,4,8
1477738562,13,5
1477742163,4,0
1477745762,13,3
1477749363,6,6
1477752962,11,24
1477756562,14,13
1477760163,8,0
1477763762,4,20
1477767363,6,11
1477770962,6,3
1477774562,7,0
1477778162,3,16
1477781762,8,4
1477785363,10,7
1477788963,1,0
1477792563,4,4
1477796162,1,6
1477799763,4,4
1477803363,8,0
1477806963,5,24
1477810563,2,7
1477814164,7,0
1477817763,6,12
1477821363,5,7
1477824963,6,0
1477828563,9,5
1477832163,6,3
1477835762,6,17
1477839362,10,0
1477842963,3,20
1477846563,20,0
1477850162,12,18
1477853763,9,0
1477857363,5,17
1477860962,7,6
1477864562,8,0
1477868162,9,17
1477871762,2,0
1477875362,6,6
1477878962,6,6
1477882563,3,6
1477886162,5,0
1477889763,10,15
1477893363,13,8
1477896964,15,11
1477900563,19,6
1477904163,23,0
1477907764,9,12
1477911365,4,9
1477914963,5,0
1477918563,11,28
1477922163,9,13
1477925764,2,8
1477929363,10,0
1477932964,11,17
1477936563,6,17
1477940164,11,0
1477943762,18,8
1477947364,30,5
1477950963,16,6
1477954564,6,5
1477958163,10,0
1477961764,4,7
1477965365,2,0
1477968964,0,7
1477976163,8,11
1477979763,3,8
1477983362,1,0
1477986963,3,9
1477994163,5,46
1477997764,16,0
1478001363,2,8
1478004963,3,12
1478008563,4,0
1478012164,6,13
1478015764,5,0
1478019364,8,31
1478022963,9,5
1478026563,6,7
1478030163,4,0
1478033764,8,16
1478037363,3,0
1478040965,6,9
1478044564,9,0
1478048164,5,8
1478051763,3,0
1478055363,1,9
1478058963,7,0
1478062563,1,23
1478066162,6,0
