DateTime,Entries,UniqueIPs
1476208563,2773,2796
1476212163,2768,2791
1476215763,2775,2798
1476219363,2776,2799
1476222962,2788,2811
1476226562,2787,2810
1476230163,2778,2801
1476233762,2770,2793
1476237367,2757,2780
1476240962,2759,2783
1476244563,2746,2769
1476248162,2746,2769
1476251763,2759,2782
1476255362,2760,2783
1476258963,2763,2786
1476262562,2749,2772
1476266162,2752,2775
1476269762,2756,2779
1476273363,2755,2778
1476276962,2757,2780
1476280562,2743,2766
1476284162,2741,2764
1476287762,2747,2770
1476291363,2751,2774
1476294963,2762,2785
1476298562,2746,2769
1476302163,2752,2776
1476305762,2754,2778
1476309363,2753,2776
1476312963,2749,2772
1476316563,2744,2767
1476320162,2743,2766
1476323763,2734,2757
1476330962,2716,2739
1476334562,2724,2747
1476338163,2709,2731
1476341763,2710,2732
1476345362,2700,2722
1476348963,2696,2718
1476352562,2704,2726
1476356162,2708,2730
1476359763,2711,2733
1476363363,2708,2730
1476366962,2696,2719
1476370562,2708,2732
1476374163,2693,2716
1476377762,2689,2712
1476381363,2678,2701
1476384964,2689,2712
1476388563,2682,2705
1476392163,2689,2712
1476395763,2685,2708
1476399363,2687,2711
1476402963,2687,2711
1476406562,2688,2712
1476410163,2683,2707
1476413763,2679,2703
1476417362,2680,2704
1476420963,2677,2701
1476424562,2673,2697
1476428163,2672,2696
1476431763,2660,2684
1476435362,2667,2691
1476438963,2654,2679
1476442562,2660,2684
1476446163,2660,2684
1476449763,2660,2684
1476453362,2661,2685
1476456962,2661,2685
1476460562,2660,2684
1476464162,2654,2676
1476467763,2641,2663
1476471363,2644,2666
1476474963,2619,2640
1476478562,2622,2643
1476482163,2618,2639
1476485763,2614,2635
1476489363,2617,2638
1476492962,2612,2633
1476496562,2598,2618
1476500163,2604,2624
1476503763,2587,2607
1476507363,2577,2597
1476510963,2580,2600
1476514563,2570,2590
1476518163,2549,2569
1476521762,2553,2573
1476525363,2536,2556
1476528962,2542,2562
1476532562,2533,2553
1476536163,2543,2563
1476539762,2534,2554
1476543362,2543,2563
1476546963,2549,2571
1476550563,2551,2573
1476554162,2564,2586
1476557762,2545,2566
1476561362,2544,2564
1476564962,2537,2557
1476568563,2546,2566
1476572163,2543,2563
1476575762,2538,2557
1476579362,2539,2558
1476582962,2537,2556
1476586562,2522,2541
1476590162,2523,2541
1476593763,2510,2528
1476597362,2516,2534
1476600963,2508,2526
1476604563,2480,2497
1476608163,2501,2518
1476611763,2481,2497
1476615362,2477,2492
1476618962,2484,2499
1476622562,2487,2502
1476626163,2496,2511
1476629764,2509,2524
1476633363,2505,2521
1476636962,2500,2516
1476640563,2517,2533
1476644163,2517,2533
