DateTime,AddedIPs,RemovedIPs
1476269762,116,117
1476273363,74,74
1476276962,64,63
1476280562,78,78
1476284162,80,80
1476287762,91,91
1476291363,120,121
1476294963,59,58
1476298562,73,73
1476302163,85,86
1476305762,58,58
1476309363,60,59
1476312963,68,67
1476316563,65,65
1476320162,59,59
1476323763,61,61
1476327363,62,63
1476330962,51,51
1476334562,83,83
1476338163,65,64
1476341763,57,58
1476345362,57,57
1476348963,71,72
1476352562,68,67
1476356162,84,84
1476359763,70,70
1476363363,58,58
1476366962,66,66
1476370562,92,93
1476374163,88,86
1476377762,57,59
1476381363,75,75
1476384964,82,82
1476388563,85,85
1476392163,70,70
1476395763,63,61
1476399363,60,61
1476402963,59,59
1476406562,55,54
1476410163,76,77
1476413763,67,66
1476417362,52,54
1476420963,63,61
1476424562,61,62
1476428163,59,60
1476431763,59,57
1476435362,68,69
1476438963,60,59
1476442562,114,115
1476446163,64,64
1476449763,57,57
1476453362,77,78
1476456962,81,80
1476460562,70,69
1476464162,62,62
1476467763,61,61
1476471363,72,74
1476474963,62,62
1476478562,53,52
1476482163,63,63
1476485763,63,62
1476489363,62,63
1476492962,51,51
1476496562,58,58
1476500163,66,67
1476503763,51,51
1476507363,56,57
1476510963,49,48
1476514563,57,58
1476518163,63,63
1476521762,58,57
1476525363,67,66
1476528962,75,74
1476532562,89,92
1476536163,71,70
1476539762,61,62
1476543362,59,59
1476546963,92,90
1476550563,62,62
1476554162,96,96
1476557762,56,55
1476561362,71,72
1476564962,62,62
1476568563,69,69
1476572163,68,68
1476575762,59,59
1476579362,61,60
1476582962,72,73
1476586562,67,67
1476590162,67,66
1476593763,62,62
1476597362,62,63
1476600963,64,63
1476604563,67,67
1476608163,96,98
1476611763,94,93
1476615362,87,88
1476618962,92,91
1476622562,59,59
1476626163,68,68
1476629764,64,64
1476633363,71,71
1476636962,87,87
1476640563,87,87
1476644163,64,64
1476647764,64,64
1476651363,66,66
1476654963,71,72
1476658563,70,69
1476662162,62,62
1476665763,65,65
1476669363,63,63
1476672963,72,73
1476676562,53,52
1476680163,63,62
1476683763,66,66
1476687363,69,69
1476690963,67,67
1476694563,58,58
1476698163,60,61
1476701762,98,97
1476705363,69,70
1476708962,78,79
1476712563,61,60
1476716163,88,88
1476719763,62,62
1476723362,66,66
1476726963,59,59
1476730562,60,59
1476734163,66,66
1476737763,62,62
1476741363,102,103
1476744963,68,69
1476748562,65,65
1476752162,56,56
1476755763,67,67
1476759362,85,84
1476762962,73,72
1476766562,63,64
1476770163,72,72
1476773763,68,68
1476777363,79,79
1476780963,64,65
1476784563,66,66
1476788163,112,110
1476791763,124,124
1476795362,73,73
1476798962,66,66
1476802563,81,81
1476806163,87,87
1476809763,66,66
1476813362,85,85
1476816963,76,76
1476820562,69,69
1476824162,63,63
1476827762,64,64
1476831362,69,70
1476834963,59,59
1476838563,56,57
1476842162,66,65
1476845763,69,71
1476849362,55,56
1476852962,64,61
1476856563,71,73
1476860162,70,70
1476863763,76,77
1476867362,73,70
1476870962,70,71
1476874562,63,62
1476878163,65,66
1476881763,85,85
1476885362,66,67
1476888963,62,60
1476892562,59,60
1476896163,101,101
1476899763,68,68
1476903363,68,67
1476906963,76,77
1476910563,83,84
1476914163,104,103
1476917763,64,64
1476921363,61,61
1476924963,58,57
1476928562,75,76
1476932162,65,63
1476935762,53,55
1476939378,87,86
1476942962,87,86
1476946562,70,70
1476950162,63,65
1476953762,71,72
1476957363,78,78
1476960963,105,103
1476964563,129,129
1476968163,72,72
1476971762,86,85
1476975363,109,111
1476978962,85,85
1476982562,61,59
1476986162,67,68
1476989762,74,74
1476993363,107,108
1476996962,87,86
1477000562,110,109
1477004162,69,69
1477007762,53,53
1477011363,59,59
1477014963,60,60
1477018562,67,67
1477022163,56,56
1477025763,90,92
1477029362,62,62
1477032963,66,66
1477036563,88,90
1477040162,69,68
1477043763,84,84
1477047362,78,78
1477050962,76,75
1477054562,86,85
1477058163,63,63
1477061763,66,66
1477065362,95,95
1477068963,60,60
1477072563,76,76
1477076162,62,61
1477079763,60,60
1477083363,89,89
1477086963,68,68
1477090563,67,67
1477094163,82,82
1477097762,55,56
1477101363,71,71
1477104963,78,78
1477108563,66,67
1477112163,66,65
1477115763,67,68
1477119362,70,69
1477122963,67,67
1477126562,67,68
1477130163,90,89
1477133763,64,64
1477137363,64,64
1477140963,67,67
1477144563,69,70
1477148162,106,106
1477151762,77,77
1477155363,76,76
1477158963,82,80
1477162563,69,69
1477166163,64,64
1477169763,55,56
1477173362,69,68
1477176963,70,71
