DateTime,AddedIPs,RemovedIPs
1475342453,5,4
1475347254,6,6
1475350251,4,0
1475353856,6,5
1475357453,6,0
1475362260,3,6
1475367060,5,4
1475371259,7,7
1475376064,5,5
1475382661,3,0
1475388059,4,8
1475392857,9,4
1475398256,3,0
1475403658,8,9
1475409657,6,4
1475414455,5,7
1475419256,2,7
1475422254,2,0
1475425859,3,7
1475429452,4,4
1475433060,7,7
1475436655,3,0
1475440259,4,7
1475443854,6,7
1475446854,5,7
1475451060,8,5
1475455856,3,4
1475460662,2,3
1475466067,6,5
1475470265,6,5
1475475667,6,0
1475482264,3,7
1475486465,6,9
1475491261,11,0
1475497859,4,10
1475502058,7,11
1475508061,7,0
1475513467,9,10
1475518860,7,8
1475524261,4,4
1475529660,7,0
1475535058,4,11
1475540459,4,4
1475546466,7,9
1475550664,7,3
1475556661,2,7
1475562663,6,4
1475567459,5,2
1475572859,7,6
1475577661,4,5
1475581856,5,7
1475587260,3,5
1475592058,4,6
1475597457,6,5
1475602855,5,7
1475606460,7,0
1475610658,2,8
1475615461,5,6
1475626858,8,15
1475632261,3,8
1475637060,9,6
1475643060,8,8
1475647859,3,5
1475653858,3,7
1475659857,4,5
1475664660,4,4
1475670055,3,6
1475674852,6,9
1475678447,4,0
1475682655,6,4
1475687457,8,5
1475691057,5,0
1475694661,4,2
1475700061,4,12
1475706059,8,0
1475711461,5,7
1475716861,3,7
1475722257,5,5
1475727656,4,2
1475733056,5,7
1475739057,6,5
1475743861,6,5
1475749263,7,5
1475755260,4,6
1475759457,5,3
1475764859,4,6
1475770254,5,4
1475775057,6,5
1475779252,3,2
1475784655,7,3
1475787651,1,8
1475791853,8,0
1475797254,9,4
1475802653,4,4
1475808657,5,6
1475814655,5,5
1475820059,7,5
1475825458,6,6
1475830857,7,10
1475835066,6,6
1475841660,1,4
1475847057,8,4
1475851256,3,7
1475856653,5,7
1475862654,4,5
1475867459,6,7
1475872859,7,2
1475878257,2,4
1475884258,6,5
1475889060,5,5
1475895057,7,7
1475900461,3,2
1475906461,5,7
1475911858,4,4
1475916664,2,4
1475921465,6,4
1475927461,6,5
1475932856,2,7
1475937658,8,9
1475941855,4,11
1475947258,6,0
1475952060,5,12
1475956859,5,7
1475959857,9,0
1475965866,6,8
1475971861,9,4
1475978466,3,3
1475984464,7,9
1475992267,7,10
1475999466,8,0
1476005468,10,11
1476011467,8,6
1476019864,9,10
1476024659,5,3
1476030058,5,7
1476036660,12,6
1476041463,6,9
1476046259,4,12
1476051062,8,4
1476056460,7,0
1476061862,6,10
1476067859,4,1
1476072660,8,6
1476079261,3,7
1476084060,7,6
1476089463,6,3
1476094866,4,5
1476101462,6,7
1476108663,8,4
1476114658,8,10
1476120064,6,8
1476125461,8,9
1476131462,4,4
1476136263,6,6
1476141660,7,3
1476147061,9,2
1476152462,5,10
1476157862,5,3
1476163264,11,3
1476168064,4,4
1476173464,6,3
1476177661,4,5
1476181866,4,6
1476186669,2,0
1476192065,5,6
1476197463,10,3
1476202863,7,12
1476208256,6,7
1476213059,5,4
1476218460,2,3
1476223860,8,5
1476229858,6,0
1476235864,5,12
1476241265,3,7
1476246065,7,5
1476251465,8,5
1476256267,4,6
1476262265,7,3
1476267672,4,8
1476273060,7,4
1476278458,1,5
1476283854,6,11
1476289256,8,6
1476294659,6,8
1476299456,5,3
1476306062,6,0
1476310861,8,9
1476316262,6,0
1476321666,5,3
1476327665,2,4
1476331860,6,11
1476337859,5,0
1476343260,7,9
1476348061,3,0
1476354063,3,5
1476359458,7,6
1476364858,5,10
1476369660,5,9
1476375070,6,0
1476381058,5,10
1476386459,6,6
1476391859,3,13
1476397255,8,0
1476402652,6,16
1476407453,5,8
1476411658,3,0
1476417054,7,5
1476423052,8,6
1476427856,3,6
1476433259,6,8
1476438658,5,9
1476444061,2,9
1476450057,6,3
1476454254,4,6
1476460257,10,4
1476465659,5,7
1476470452,7,3
1476477661,5,5
1476482458,2,10
1476487854,3,0
1476492656,5,7
1476498054,5,8
1476502856,7,9
1476508856,4,5
1476513659,6,4
1476519653,3,5
1476525061,6,2
1476530454,3,7
1476535855,3,7
1476540654,6,1
1476546054,5,5
1476551454,5,4
1476557460,5,4
1476562260,2,14
1476568260,5,9
1476573663,7,9
1476578460,2,6
1476584461,7,4
1476590458,6,5
1476595858,4,0
1476601259,2,6
1476606059,4,6
1476610866,10,8
1476617461,6,5
1476622259,5,0
1476627658,6,5
1476633654,11,8
1476637856,7,6
1476644461,5,5
1476649862,8,7
1476655308,9,7
1476661263,8,10
1476668462,7,5
1476675666,6,11
1476683466,6,14
1476690059,6,0
1476697265,10,12
1476704458,8,4
1476711054,5,6
1476717055,4,5
1476724258,12,7
1476730855,7,5
1476735656,5,9
1476740458,4,0
1476746458,6,7
1476751264,7,17
1476757862,5,0
1476762661,3,10
1476768063,7,9
1476775266,7,0
1476778869,0,4
1476782465,4,4
1476786061,0,7
1476793260,1,6
1476796862,0,5
1476800463,0,7
1476804055,1,0
1476807657,0,10
1476811254,1,7
1476820261,6,10
1476826262,3,3
1476831660,3,8
1476837662,6,7
1476844862,10,6
1476852062,5,3
1476857459,4,12
1476864060,8,6
1476869459,6,9
1476874261,2,5
1476879658,9,5
1476885659,4,7
1476891058,9,7
1476896456,13,5
1476901861,4,6
1476906659,6,5
1476913261,5,5
1476918665,6,6
1476925264,5,6
1476930662,6,7
1476936666,6,1
1476943864,4,11
1476951665,5,9
1476957067,8,6
1476963665,3,6
1476970864,8,7
1476975666,1,11
1476982264,10,6
1476988263,10,6
1476993660,7,5
1476998465,8,3
1477005066,7,8
1477009863,6,6
1477015872,1,6
1477022469,5,7
1477028466,6,17
1477033863,5,3
1477041064,5,6
1477046459,4,3
1477053659,6,4
1477058459,8,5
1477063858,6,5
1477068656,5,4
1477073458,4,3
1477079455,6,10
1477084858,11,7
1477089662,7,4
1477095662,8,7
1477101062,7,3
1477107661,10,3
1477112462,8,7
1477118462,3,3
1477125666,9,4
1477130462,9,8
1477135867,3,5
1477141262,6,3
1477147261,9,5
1477153262,6,4
1477159257,5,6
1477164060,10,5
1477169461,8,4
1477176064,7,8
1477183266,8,6
1477189862,4,8
1477195261,6,6
1477200662,7,4
1477205465,4,7
1477212060,8,0
1477219262,10,10
1477225860,7,4
1477231260,6,8
1477236060,7,5
1477240859,5,5
1477246857,3,9
1477252864,5,4
1477258261,4,7
1477263062,6,6
1477268458,9,9
1477274461,6,6
1477279862,5,9
1477285859,9,0
1477292468,6,7
1477297869,6,7
1477303268,9,10
1477309265,6,8
1477314663,8,0
1477321857,6,8
1477327259,7,9
1477331456,7,12
1477336857,4,7
1477341657,9,3
1477347663,4,3
1477353058,7,6
1477359060,8,9
1477364459,4,9
1477369859,8,5
1477374659,4,8
1477380060,7,0
1477386065,5,2
1477392061,3,0
1477398660,5,1
1477404057,5,2
1477409460,3,0
1477414261,2,1
1477419060,6,8
1477425658,5,0
1477431059,6,15
1477435856,8,7
1477441256,6,0
1477446657,6,6
1477452061,7,8
1477456856,4,4
1477462860,7,5
1477468256,3,4
1477474257,2,0
1477479057,8,13
1477484458,4,9
1477489860,5,0
1477495860,5,5
1477501255,5,8
1477506058,4,10
1477512060,7,0
1477517458,4,13
1477522258,2,0
1477527662,5,8
1477533057,5,8
1477538457,11,6
1477543857,4,8
1477549260,5,6
1477554658,2,0
1477560059,3,1
1477566065,3,6
1477571461,2,7
1477577462,5,6
1477584659,9,4
1477588863,7,7
1477593658,9,11
1477599057,5,6
1477604462,7,4
1477610465,9,7
1477616463,6,11
1477621862,6,2
1477627267,6,4
1477632665,6,6
1477638063,6,0
1477642860,7,6
1477648264,3,6
1477653668,5,2
1477659062,4,5
1477664457,5,8
1477669859,3,8
1477674660,8,3
1477680752,7,3
1477686061,9,6
1477690866,4,8
1477696262,7,8
1477702262,4,4
1477707660,5,8
1477713659,9,8
1477719063,9,4
1477724461,9,4
1477729260,5,8
1477735262,5,0
1477740664,5,9
1477746060,6,14
1477750859,4,0
1477756259,10,12
1477760457,4,8
1477767654,6,4
1477771262,4,0
1477779060,9,15
1477785067,3,5
1477790462,3,5
1477797066,4,2
1477801262,5,4
1477806662,7,6
1477812065,5,6
1477817458,3,6
1477822862,3,11
1477828261,5,0
1477833660,4,6
1477839059,5,5
1477843865,2,5
1477849264,9,6
1477855262,3,5
1477860056,6,7
1477865459,6,5
1477870865,9,4
1477876258,5,7
1477882260,4,4
1477887062,5,4
1477892464,2,8
1477896665,3,4
1477902664,4,0
1477908068,4,6
1477912263,11,15
1477918862,2,0
1477923660,7,10
1477929061,4,5
1477934463,5,10
1477938661,6,5
1477942858,5,4
1477948266,3,4
1477951860,5,0
1477957858,8,5
1477963258,6,12
1477969258,2,0
1477974660,6,10
1477979459,4,5
1477986057,3,7
1477990858,5,3
1477995658,6,4
1478001059,6,0
1478006461,7,7
1478011856,1,3
1478017261,2,4
1478022658,6,3
1478027458,3,6
1478032863,3,3
1478036461,2,0
1478040067,6,3
