DateTime,AddedIPs,RemovedIPs
1475362260,17,20
1475367060,14,11
1475371259,17,18
1475376064,22,21
1475382661,20,20
1475388059,20,21
1475392857,15,13
1475398256,19,22
1475403658,20,16
1475409657,18,20
1475414455,16,17
1475419256,17,18
1475422254,15,15
1475425859,16,14
1475429452,19,20
1475433060,20,20
1475436655,16,17
1475440259,17,16
1475443854,18,17
1475446854,15,17
1475451060,19,16
1475455856,18,21
1475460662,17,17
1475466067,15,16
1475470265,19,16
1475475667,19,21
1475482264,19,18
1475486465,14,13
1475491261,23,21
1475497859,18,21
1475502058,21,20
1475508061,19,18
1475513467,20,20
1475518860,19,20
1475524261,20,21
1475529660,20,19
1475535058,16,16
1475540459,18,22
1475546466,23,18
1475550664,21,22
1475556661,17,17
1475562663,22,23
1475567459,20,22
1475572859,17,14
1475577661,22,20
1475581856,16,17
1475587260,20,22
1475592058,23,22
1475597457,17,20
1475602855,19,14
1475606460,17,19
1475610658,19,23
1475615461,21,18
1475626858,25,22
1475632261,19,23
1475637060,19,17
1475643060,24,24
1475647859,20,20
1475653858,19,21
1475659857,18,18
1475664660,19,17
1475670055,19,20
1475674852,22,20
1475678447,15,17
1475682655,19,20
1475687457,18,15
1475691057,16,18
1475694661,17,20
1475700061,23,18
1475706059,23,24
1475711461,16,19
1475716861,18,18
1475722257,20,18
1475727656,15,15
1475733056,20,21
1475739057,20,18
1475743861,20,20
1475749263,21,20
1475755260,20,20
1475759457,23,22
1475764859,19,23
1475770254,21,20
1475775057,17,17
1475779252,18,18
1475784655,19,20
1475787651,17,16
1475791853,21,19
1475797254,23,24
1475802653,16,15
1475808657,22,23
1475814655,19,22
1475820059,21,20
1475825458,21,19
1475830857,22,21
1475835066,17,18
1475841660,20,22
1475847057,21,18
1475851256,18,21
1475856653,19,19
1475862654,17,18
1475867459,20,19
1475872859,24,22
1475878257,17,17
1475884258,18,20
1475889060,20,17
1475895057,23,23
1475900461,21,25
1475906461,21,19
1475911858,17,18
1475916664,15,18
1475921465,17,15
1475927461,18,17
1475932856,21,21
1475937658,21,20
1475941855,17,15
1475947258,22,25
1475952060,18,16
1475956859,19,20
1475959857,21,19
1475965866,22,22
1475971861,23,22
1475978466,20,24
1475984464,19,18
1475992267,22,22
1475999466,22,20
1476005468,22,23
1476011467,23,25
1476019864,22,20
1476024659,22,21
1476030058,23,22
1476036660,25,27
1476041463,21,21
1476046259,21,21
1476051062,20,20
1476056460,22,22
1476061862,25,25
1476067859,17,19
1476072660,21,18
1476079261,21,24
1476084060,24,21
1476089463,21,21
1476094866,18,20
1476101462,18,16
1476108663,18,22
1476114658,20,16
1476120064,19,22
1476125461,19,18
1476131462,22,22
1476136263,24,23
1476141660,19,18
1476147061,22,23
1476152462,21,20
1476157862,23,26
1476163264,23,20
1476168064,20,22
1476173464,22,21
1476177661,19,21
1476181866,20,20
1476186669,19,16
1476192065,22,22
1476197463,24,23
1476202863,20,20
1476208256,21,25
1476213059,22,21
1476218460,17,19
1476223860,20,16
1476229858,24,25
1476235864,21,21
1476241265,17,19
1476246065,19,20
1476251465,20,18
1476256267,21,21
1476262265,19,19
1476267672,18,18
1476273060,23,22
1476278458,22,23
1476283854,18,17
1476289256,25,24
1476294659,17,19
1476299456,17,19
1476306062,22,17
1476310861,22,24
1476316262,22,21
1476321666,19,22
1476327665,16,18
1476331860,23,18
1476337859,19,22
1476343260,23,20
1476348061,19,21
