DateTime,Entries,UniqueIPs
1475222944,253552,257549
1475226680,252769,256843
1475230316,251389,255508
1475244746,250664,255012
1475255705,252996,257703
1475262846,255790,260565
1475266432,256052,260821
1475277013,241949,246462
1475284102,231263,235568
1475287670,225278,229478
1475291516,219238,223339
1475294903,212783,216699
1475298680,208281,212118
1475302081,204771,208493
1475309328,197753,201224
1475312881,196734,200189
1475320467,184846,188140
1475323845,178796,182034
1475327476,172078,175206
1475330902,166349,169366
1475334690,164528,167511
1475338253,161802,164746
1475341871,155948,158806
1475345296,151073,153877
1475356339,140907,143517
1475359699,138249,140860
1475366894,130874,133428
1475370660,127067,129574
1475378139,118660,121079
1475381499,113817,116124
1475385050,112628,114813
1475388487,112031,114114
1475392258,111485,113466
1475395681,110739,112630
1475399380,110472,112287
1475403079,110354,112067
1475406660,104882,106536
1475410106,99147,100691
1475413866,93559,95020
1475417300,87904,89231
1475424691,77068,78209
1475431927,67648,68696
1475435272,62413,63440
1475438872,56568,57566
1475450151,53334,54275
1475453456,53970,54914
1475468070,55279,56255
1475475156,56652,57590
1475478605,55777,56634
1475482058,54708,55560
1475489417,52900,53603
1475493025,81373,82345
1475511680,117967,119295
1475514625,120797,122156
1475518369,124495,125907
1475532653,140018,141585
1475536222,144509,146095
1475543615,155502,157248
1475550747,158723,160542
1475557976,158745,160580
1475565034,163767,165732
1475568752,166465,168496
1475572248,173453,175586
1475575859,179621,181814
1475583093,196048,198493
1475587057,202326,204866
1475590233,206465,209052
1475593763,211953,214639
1475597616,215888,218621
1475600686,221697,224619
1475604912,225192,228172
1475608185,227936,230939
1475611806,230245,233326
1475619409,237248,240532
1475622575,242280,245640
1475637115,259832,263399
1475640695,259675,263242
1475644110,260092,263671
1475647918,258979,262554
1475651524,258694,262223
1475658884,261591,265205
1475662404,262281,265866
1475669458,259342,262822
1475673142,259532,262993
1475676875,260563,264029
1475683903,258220,261723
1475687726,259575,263110
1475691019,263834,267487
1475694607,266940,270644
1475698440,274360,278223
1475702153,276104,280005
1475716230,273689,277575
1475723670,276738,280701
1475727230,278122,282125
1475734240,282557,286706
1475737996,286563,290824
1475741729,284880,289125
1475744983,287652,291958
1475748629,286278,290533
1475756216,286267,290477
1475759670,286133,290283
1475763047,286622,290752
1475770695,288487,292685
1475777827,291395,295579
1475784878,297602,301917
1475791839,301573,305929
1475799107,305931,310341
1475806883,303042,307457
1475810715,294406,298658
1475813526,295268,299542
1475817042,296011,300300
1475820667,296618,300899
1475828020,296414,300725
1475831509,296338,300654
1475835090,292815,297065
1475838624,288640,292821
1475842320,283678,287747
1475845464,285217,289363
1475864829,253681,257226
1475867719,237502,240703
1475870728,238727,241984
1475874675,223997,226948
1475879096,218912,221758
1475881856,213803,216555
1475885317,209372,212069
1475889443,205652,208282
1475892613,200236,202803
1475896185,201041,203650
1475900394,189072,191340
1475903445,188510,190711
1475906977,189823,192062
1475910553,189201,191419
1475914393,184378,186537
1475917870,184704,186865
1475924960,174220,176261
1475932271,164857,166821
1475935750,160360,162310
1475939481,155651,157554
1475943070,150775,152673
1475946686,146753,148626
1475950144,141613,143441
1475953898,135867,137649
1475957466,128983,130709
1475961066,123761,125373
1475964530,120139,121668
1475971904,108720,110110
1475975293,104594,105946
1475982773,97330,98621
1475986259,93374,94601
1475989733,91513,92706
1475993466,92074,93290
1475997122,92132,93357
1476000652,92304,93530
1476011526,92205,93466
1476022320,89338,90576
1476025846,89587,90830
1476029318,89783,91032
1476033059,89885,91128
1476036661,90321,91600
1476040211,90678,91977
1476043795,90404,91703
1476047441,90392,91687
1476051049,90255,91557
1476058281,90063,91389
1476061884,90282,91614
1476065292,90890,92245
1476068947,91341,92695
1476072617,92725,94100
1476076125,93869,95251
1476079743,94459,95860
1476083516,93499,94889
1476087105,91251,92593
1476090588,88681,89963
1476094155,86173,87410
1476097726,92715,94097
1476101578,92591,93985
1476104910,92022,93436
1476108645,90897,92310
1476112141,90733,92153
1476127023,88247,89685
1476130211,87213,88653
1476137511,88142,89614
1476144622,89586,91104
1476148303,90495,92040
1476151878,91360,92911
1476155350,91941,93502
1476166120,92866,94466
1476173781,93884,95527
1476180695,93953,95600
1476184137,93584,95244
1476187736,93452,95087
1476191317,93636,95282
1476195050,94909,96565
1476202575,93701,95399
1476205729,92568,94262
1476209441,93073,94796
1476216865,93288,95039
1476220252,93169,94928
1476227568,95224,97041
1476238551,96358,98192
1476249355,97219,99064
1476252675,99052,100925
1476256316,101314,103224
1476259919,103267,105249
1476266957,102306,104291
1476270517,99537,101464
1476274147,98876,100876
1476277814,98236,100229
1476281490,98701,100698
1476285036,99957,101996
1476288776,100837,102879
1476292386,102146,104224
1476295974,103200,105335
1476303222,104426,106627
1476313776,103973,106193
1476328324,102386,104546
1476335504,100955,103051
1476349947,97911,99892
1476353417,96698,98665
1476357136,97192,99169
1476364149,98162,100205
1476367733,99556,101654
1476371339,100177,102332
1476375110,101378,103576
1476378529,102985,105214
1476385728,103095,105326
1476389376,102420,104644
1476403961,99195,101356
1476407493,98389,100523
1476410881,97810,99929
1476414495,97613,99731
1476418190,97420,99552
1476429068,96370,98470
1476432528,95153,97252
1476436354,94167,96251
1476439733,93156,95211
1476443318,93422,95489
1476447140,94297,96435
1476458103,94233,96318
1476465117,92380,94434
1476468614,90864,92905
1476472314,89337,91314
1476475775,87617,89546
1476483162,88661,90574
1476486691,88712,90639
1476490201,87868,89785
1476493783,86852,88774
1476504744,87907,89798
1476515426,91859,93837
1476526658,95451,97468
1476529798,95067,97087
1476533512,93769,95782
1476537010,93146,95154
1476540699,92594,94556
1476544199,91608,93498
1476547836,90528,92356
1476555222,87189,88908
1476562303,87311,89006
1476565958,87428,89109
1476573302,87684,89359
1476580087,87108,88771
1476583894,87356,89022
1476587402,87745,89422
1476591105,87777,89465
1476594601,88277,89942
1476598093,88631,90299
1476605348,88396,90100
1476608995,87230,88887
1476612489,85210,86826
1476616231,83225,84760
1476623464,80815,82252
1476627036,79219,80611
1476634357,80984,82386
1476637875,81920,83336
1476641465,82458,83887
1476649009,85112,86566
1476662948,82036,83500
1476670385,83900,85385
1476673710,84814,86311
1476677516,85544,87059
1476698988,79995,81322
1476702456,77424,78701
1476713392,84582,85980
1476716918,84422,85829
1476720524,83976,85374
1476724102,84230,85638
1476731476,85537,86988
1476735014,85561,87042
1476738684,87353,88861
1476742299,88705,90237
1476745884,89682,91225
1476763755,94984,96688
1476767496,97369,99128
1476771089,98923,100727
1476774510,98430,100227
1476778119,98229,100001
1476789110,99597,101361
1476792545,102088,103900
1476800003,106839,108852
1476803328,108188,110260
1476810587,106514,108575
1476818012,106461,108582
1476821520,105362,107463
1476825022,104205,106283
1476828515,103585,105649
1476832107,103495,105577
1476839512,103633,105736
1476846527,103495,105548
1476850105,103427,105468
1476853737,102712,104760
1476857328,102152,104168
1476860915,100498,102479
1476868234,98027,99944
1476889722,100657,102670
1476893373,103932,105978
1476896920,106900,108992
1476904217,109934,112132
1476907866,110073,112220
1476915196,108284,110371
1476936769,102056,103895
1476940122,99928,101721
1476943704,97826,99564
1476947489,96026,97715
1476951063,96797,98494
1476954518,97282,98990
1476961988,98333,100037
1476965332,97349,99064
1476983519,93803,95375
1476994553,96027,97623
1476997899,96461,98065
1477001523,97805,99421
1477004909,98194,99798
1477008498,98078,99684
1477019547,97057,98620
1477022908,96865,98420
1477026671,96123,97697
1477030091,95501,97053
1477037472,94914,96483
1477041077,96386,97997
1477048338,96743,98372
1477051862,98315,99962
1477062761,102282,103991
1477066167,100003,101688
1477077117,98658,100319
1477080688,97081,98712
1477084097,96283,97915
1477087910,95632,97235
1477091308,95884,97520
1477094897,95969,97587
1477098512,96313,97924
1477109367,97387,99056
1477113065,97497,99149
1477116501,97126,98771
1477145549,99240,100926
1477148907,98948,100666
1477152519,98288,99990
1477159963,96578,98221
1477163279,95089,96666
1477166909,93678,95208
1477170681,91586,93080
1477174269,90365,91843
1477195907,93301,94831
1477210225,99245,100904
1477213745,100590,102285
1477217341,99689,101373
1477220873,99254,100930
1477224676,99332,101019
1477228099,97192,98854
1477231869,96538,98180
1477235461,96525,98164
1477238933,94520,96107
1477242697,94095,95656
1477257267,88166,89557
1477260700,87975,89347
1477264280,87841,89190
1477271572,87009,88329
1477275055,86920,88229
