DateTime,Entries,UniqueIPs
1476757323,3017,3049
1476758522,3007,3039
1476759122,3006,3038
1476759721,3008,3040
1476760921,3008,3040
1476762121,3023,3055
1476763321,3020,3051
1476763921,3023,3054
1476764523,3023,3054
1476765122,3025,3056
1476765722,3026,3057
1476766921,3026,3057
1476768121,3025,3056
1476768722,3026,3057
1476769321,3021,3052
1476769921,3017,3048
1476771722,3016,3047
1476772921,3015,3046
1476774122,3010,3041
1476775321,3016,3047
1476776521,3017,3048
1476779522,3018,3049
1476780122,3022,3053
1476781322,3023,3054
1476782522,3024,3055
1476784921,3032,3063
1476786122,3033,3064
1476786721,3034,3065
1476790321,3036,3067
1476790921,3040,3071
1476791522,3041,3072
1476794521,3040,3071
1476795722,3048,3079
1476796921,3047,3078
1476799321,3046,3077
1476800522,3050,3081
1476801121,3053,3084
1476802922,3055,3086
1476806522,3063,3094
1476807722,3064,3095
1476808321,3063,3094
1476808921,3064,3095
1476810721,3063,3094
1476812522,3068,3099
1476813121,3071,3102
1476814922,3070,3101
1476818522,3069,3100
1476819122,3071,3102
1476820921,3068,3099
1476822121,3069,3100
1476823321,3066,3097
1476825721,3066,3097
1476826921,3068,3100
1476828722,3064,3096
1476834121,3071,3103
1476834722,3072,3104
1476838321,3073,3105
1476840124,3082,3114
1476840721,3085,3117
1476844322,3096,3129
1476844921,3097,3130
1476846122,3099,3132
1476846722,3098,3131
1476849122,3099,3132
1476852122,3100,3133
1476853322,3095,3128
1476855721,3097,3130
1476856922,3096,3129
1476858122,3095,3128
1476859322,3094,3127
1476860522,3107,3140
1476861122,3107,3140
1476861721,3107,3140
1476862322,3111,3144
1476866522,3115,3148
1476868321,3116,3149
1476870121,3115,3148
1476872522,3120,3153
1476874922,3120,3153
1476876721,3118,3151
1476879122,3121,3154
1476879721,3120,3153
1476885721,3123,3156
1476886321,3124,3157
1476888122,3125,3158
1476889921,3124,3157
1476891722,3125,3158
1476892922,3136,3169
1476893522,3137,3170
1476894122,3138,3171
1476895321,3139,3172
1476896521,3141,3174
1476897121,3140,3173
1476900722,3144,3177
1476905522,3142,3175
1476906122,3143,3176
1476907321,3144,3177
1476908521,3153,3186
1476909122,3151,3184
1476910322,3153,3186
1476912122,3162,3195
1476913322,3165,3198
1476914522,3165,3198
1476916923,3166,3199
1476918121,3165,3198
1476920522,3168,3201
1476921121,3169,3202
1476921721,3140,3173
1476923521,3141,3174
1476926522,3158,3191
1476927721,3159,3192
1476930722,3207,3240
1476931321,3217,3250
1476932522,3219,3252
1476934322,3232,3265
1476934922,3236,3269
1476936121,3237,3270
1476938522,3241,3274
1476943322,3243,3276
1476944522,3250,3283
1476945122,3252,3285
1476946922,3253,3286
1476949321,3261,3294
1476949921,3262,3295
1476950521,3264,3295
1476955321,3270,3301
1476958922,3269,3300
1476960121,3270,3301
1476960722,3271,3302
1476961321,3272,3303
1476961921,3273,3304
1476963722,3274,3305
1476966121,3275,3306
1476967323,3278,3309
1476967921,3285,3316
1476969722,3286,3317
1476974522,3289,3320
1476975121,3290,3321
1476978722,3292,3323
1476981722,3294,3325
1476982922,3295,3326
1476983522,3296,3327
1476984721,3297,3328
1476988323,3299,3330
1476988921,3322,3353
1476990121,3324,3355
1476990721,3325,3356
1476991321,3326,3357
1476992521,3327,3358
1476993722,3328,3359
1476997321,3348,3380
1476997921,3352,3384
1476999121,3353,3385
1477000321,3354,3386
1477000921,3355,3387
1477002122,3354,3386
1477004522,3357,3389
1477006922,3359,3391
1477007521,3334,3366
1477008122,3337,3369
1477012321,3346,3378
1477012922,3351,3383
1477014121,3353,3385
1477014722,3354,3386
1477016522,3360,3392
1477017722,3361,3393
1477018921,3362,3394
1477020122,3361,3393
1477020723,3365,3397
1477021321,3366,3398
