DateTime,Entries,UniqueIPs
1476277202,3704,3704
1476280801,3689,3689
1476284402,3701,3701
1476288002,3736,3736
1476291601,3718,3718
1476295201,3740,3740
1476298801,3741,3741
1476302402,3769,3769
1476306002,3767,3767
1476309601,3810,3810
1476313201,3814,3814
1476316801,3811,3811
1476320402,3818,3818
1476324001,3851,3851
1476327601,3870,3870
1476331202,3874,3874
1476334802,3926,3926
1476338401,3944,3944
1476342001,3940,3940
1476345601,3999,3999
1476349202,4049,4049
1476352801,4075,4075
1476356401,4105,4105
1476360002,4133,4133
1476363601,4099,4099
1476367202,4144,4144
1476370802,4103,4103
1476374402,4069,4069
1476378001,4071,4071
1476381601,4103,4103
1476385201,4064,4064
1476388801,4011,4011
1476392401,3979,3979
1476396002,3953,3953
1476399601,3945,3945
1476403202,3889,3889
1476406801,3871,3871
1476410401,3882,3882
1476414001,3905,3905
1476417602,3919,3919
1476421202,3926,3926
1476424801,3947,3947
1476428402,3955,3955
1476432002,3935,3935
1476435601,3882,3882
1476439202,3899,3899
1476442801,3930,3930
1476446402,3971,3971
1476450002,3989,3989
1476453602,3981,3981
1476457202,3993,3993
1476460802,4009,4009
1476464402,3983,3983
1476468001,3957,3957
1476471602,3999,3999
1476475202,4016,4016
1476478802,4011,4011
1476482402,3996,3996
1476486002,3989,3989
1476489602,3958,3958
1476493202,3963,3963
1476496802,3937,3937
1476500401,3958,3958
1476504001,3976,3976
1476507601,3974,3974
1476511202,3952,3952
1476514801,3957,3957
1476518402,3946,3946
1476522001,3954,3954
1476525602,3951,3951
1476529201,3898,3898
1476532802,3856,3856
1476536402,3816,3816
1476540001,3775,3775
1476543601,3774,3774
1476547201,3738,3738
1476550802,3799,3799
1476554402,3801,3801
1476558001,3771,3771
1476561602,3784,3784
1476565202,3807,3807
1476568801,3853,3853
1476572402,3866,3866
1476576002,3896,3896
1476579602,3937,3937
1476583202,3977,3977
1476586802,3962,3962
1476590402,3873,3873
1476594002,3865,3865
1476597602,3854,3854
1476601202,3861,3861
1476604802,3878,3878
1476608402,3861,3861
1476612002,3854,3854
1476615602,3871,3871
1476619202,3857,3857
1476622802,3952,3952
1476626402,3933,3933
1476630002,3930,3930
1476633602,3948,3948
1476637202,3916,3916
1476640802,3910,3910
1476644402,3921,3921
1476648002,3925,3925
1476651603,3940,3940
1476655203,3899,3899
1476658801,3927,3927
1476662402,3872,3872
1476666002,3884,3884
1476669602,3840,3840
1476673202,3791,3791
1476676801,3788,3788
1476680402,3762,3762
1476684002,3767,3767
1476687601,3799,3799
1476691203,3821,3821
1476694802,3982,3982
1476698401,4073,4073
1476702002,4142,4142
1476705602,4264,4264
1476709202,4221,4221
1476712802,4255,4255
1476716401,4294,4294
1476720002,4313,4313
1476723602,4283,4283
1476727202,4278,4278
1476730802,4292,4292
1476734402,4306,4306
1476738002,4363,4363
1476741602,4383,4383
1476745202,4369,4369
1476748802,4371,4371
1476752403,4396,4396
1476756002,4442,4442
1476759602,4521,4521
1476763202,4564,4564
1476766802,4631,4631
1476770402,4682,4682
1476774002,4719,4719
1476777602,4759,4759
1476781202,4735,4735
1476784802,4692,4692
1476788402,4636,4636
1476792002,4561,4561
1476795603,4527,4527
1476799202,4483,4483
1476802803,4483,4483
1476806401,4438,4438
1476810002,4386,4386
1476813602,4432,4432
1476817201,4413,4413
1476820802,4370,4370
1476824402,4355,4355
1476828002,4362,4362
1476831602,4382,4382
1476835202,4380,4380
1476838802,4383,4383
1476842402,4341,4341
1476846002,4270,4270
1476849602,4258,4258
1476853202,4241,4241
1476856801,4252,4252
1476860402,4256,4256
1476864002,4242,4242
1476867602,4221,4221
1476871202,4223,4223
1476874801,4161,4161
1476878402,4161,4161
1476882002,4182,4182
1476885602,4190,4190
1476889202,4189,4189
1476892802,4241,4241
1476896402,4259,4259
1476900002,4238,4238
1476903603,4258,4258
1476907202,4313,4313
1476910802,4323,4323
1476914402,4306,4306
1476918002,4301,4301
1476921602,4293,4293
1476925203,4326,4326
1476928802,4335,4335
1476932402,4318,4318
1476936002,4314,4314
1476939602,4291,4291
1476943202,4302,4302
1476946802,4299,4299
1476950402,4310,4310
1476954002,4321,4321
1476957602,4352,4352
1476961202,4350,4350
1476964802,4322,4322
1476968402,4288,4288
1476972002,4256,4256
1476975602,4251,4251
1476979202,4414,4414
1476982802,4429,4429
1476986402,4407,4407
1476990002,4415,4415
1476993602,4377,4377
1476997202,4404,4404
1477000802,4376,4376
1477004403,4311,4311
1477008002,4200,4200
1477011602,4138,4138
1477015202,4204,4204
1477018802,4233,4233
1477022402,4236,4236
1477026002,4230,4230
1477029602,4227,4227
1477033202,4223,4223
1477036801,4240,4240
1477040402,4196,4196
1477044002,4170,4170
1477047602,4169,4169
1477051202,4184,4184
1477054802,4188,4188
1477058402,4197,4197
1477062002,4190,4190
1477065602,4002,4002
1477069202,4144,4144
1477072802,4144,4144
1477076402,4157,4157
1477080002,4173,4173
1477083602,4151,4151
1477087202,4298,4298
1477090802,4282,4282
1477094403,4265,4265
1477098003,4287,4287
1477101603,4279,4279
1477105202,4218,4218
1477108803,4196,4196
1477112402,4230,4230
1477116003,4202,4202
1477119602,4234,4234
1477123203,4216,4216
