DateTime,AddedIPs,RemovedIPs
1476758400,50,57
1476762000,64,48
1476765601,60,57
1476767400,1,0
1476769200,64,40
1476772800,54,49
1476776400,74,47
1476780000,58,61
1476783600,60,89
1476787200,55,110
1476790800,78,114
1476795000,69,142
1476798601,80,116
1476799800,0,1
1476801600,67,129
1476805200,47,101
1476808800,56,48
1476812401,41,50
1476816000,47,93
1476817800,0,1
1476819600,46,87
1476823200,66,111
1476826800,51,123
1476830400,52,143
1476834001,32,146
1476837600,41,137
1476841200,39,122
1476844800,58,141
1476848400,63,152
1476852000,78,154
1476855600,84,89
1476859200,76,50
1476862800,69,50
1476866400,67,122
1476868800,0,2
1476870000,70,118
1476873600,70,156
1476877200,222,118
1476880800,172,125
1476884400,157,122
1476886200,1,0
1476888000,162,161
1476891600,150,194
1476893400,4,0
1476895200,142,230
1476898800,154,87
1476903000,129,80
1476904800,46,0
1476906000,165,106
1476909000,0,6
1476909600,0,112
1476913200,339,132
1476916800,120,156
1476918600,80,0
1476920400,123,143
1476922200,72,0
1476924000,110,225
1476925800,55,0
1476927600,130,192
1476929400,21,0
1476931200,105,159
1476933000,43,0
1476934800,127,138
1476936600,8,0
1476938401,90,151
1476940800,50,0
1476942000,144,119
1476944401,17,0
1476945600,119,84
1476947400,46,0
1476949201,52,88
1476951600,25,0
1476952800,69,83
1476954600,24,0
1476956400,68,109
1476958200,13,0
1476960000,112,136
1476961800,53,0
1476963600,50,141
1476965400,19,0
1476967200,67,187
1476969000,25,0
1476970801,53,162
1476972601,21,0
1476974400,54,149
1476976200,7,0
1476978000,49,180
1476981600,43,99
1476984000,17,0
1476985200,42,86
1476987001,10,0
1476988800,44,132
1476990600,17,0
1476992400,48,119
1476996000,43,133
1476998401,27,0
1476999600,44,145
1477003200,70,147
1477005600,41,0
1477006800,112,57
1477010401,122,58
1477012200,7,0
1477014000,130,52
1477017600,121,63
1477020001,26,0
1477021201,134,55
1477024800,171,60
1477026600,23,0
1477028401,138,55
1477032000,113,63
1477033800,35,0
1477035601,132,42
1477039800,108,102
1477041000,21,0
1477042800,110,114
1477046400,126,142
1477048800,9,0
1477050000,108,134
1477053600,115,131
1477055400,23,0
1477057201,152,138
1477060800,103,172
1477063200,18,0
1477064400,44,193
1477068000,53,147
1477069800,7,0
1477071600,50,63
1477075200,56,64
1477078800,44,44
1477081200,6,0
1477082401,39,80
1477084200,7,0
1477086001,46,113
1477088400,13,0
1477089601,61,120
1477093200,48,120
1477096800,69,144
1477100400,55,127
1477104000,59,145
1477107601,57,121
1477111200,65,166
1477114800,60,114
1477116600,1,0
1477118400,72,54
1477120200,7,0
1477122001,58,55
1477125600,88,53
1477127401,0,3
1477129200,95,52
1477132800,72,57
1477136400,73,44
1477140000,66,47
1477143600,65,41
