DateTime,Entries,UniqueIPs
1476801600,30529,30529
1476805200,30475,30475
1476808800,30483,30483
1476812401,30474,30474
1476816000,30428,30428
1476817800,30427,30427
1476819600,30386,30386
1476823200,30341,30341
1476826800,30269,30269
1476830400,30178,30178
1476834001,30064,30064
1476837600,29968,29968
1476841200,29885,29885
1476844800,29802,29802
1476848400,29713,29713
1476852000,29637,29637
1476855600,29632,29632
1476859200,29658,29658
1476862800,29677,29677
1476866400,29622,29622
1476868800,29620,29620
1476870000,29572,29572
1476873600,29486,29486
1476877200,29590,29590
1476880800,29637,29637
1476884400,29672,29672
1476886200,29673,29673
1476888000,29674,29674
1476891600,29630,29630
1476893400,29634,29634
1476895200,29546,29546
1476898800,29613,29613
1476903000,29662,29662
1476904800,29708,29708
1476906000,29767,29767
1476909000,29761,29761
1476909600,29649,29649
1476913200,29856,29856
1476916800,29820,29820
1476918600,29900,29900
1476920400,29880,29880
1476922200,29952,29952
1476924000,29837,29837
1476925800,29892,29892
1476927600,29830,29830
1476929400,29851,29851
1476931200,29797,29797
1476933000,29840,29840
1476934800,29829,29829
1476936600,29837,29837
1476938401,29776,29776
1476940800,29826,29826
1476942000,29851,29851
1476944401,29868,29868
1476945600,29903,29903
1476947400,29949,29949
1476949201,29913,29913
1476951600,29938,29938
1476952800,29924,29924
1476954600,29948,29948
1476956400,29907,29907
1476958200,29920,29920
1476960000,29896,29896
1476961800,29949,29949
1476963600,29858,29858
1476965400,29877,29877
1476967200,29757,29757
1476969000,29782,29782
1476970801,29673,29673
1476972601,29694,29694
1476974400,29599,29599
1476976200,29606,29606
1476978000,29475,29475
1476981600,29419,29419
1476984000,29436,29436
1476985200,29392,29392
1476987001,29402,29402
1476988800,29314,29314
1476990600,29331,29331
1476992400,29260,29260
1476996000,29170,29170
1476998401,29197,29197
1476999600,29096,29096
1477003200,29019,29019
1477005600,29060,29060
1477006800,29115,29115
1477010401,29179,29179
1477012200,29186,29186
1477014000,29264,29264
1477017600,29322,29322
1477020001,29348,29348
1477021201,29427,29427
1477024800,29538,29538
1477026600,29561,29561
1477028401,29644,29644
1477032000,29694,29694
1477033800,29729,29729
1477035601,29819,29819
1477039800,29825,29825
1477041000,29846,29846
1477042800,29842,29842
1477046400,29826,29826
1477048800,29835,29835
1477050000,29809,29809
1477053600,29793,29793
1477055400,29816,29816
1477057201,29830,29830
1477060800,29761,29761
1477063200,29779,29779
1477064400,29630,29630
1477068000,29536,29536
1477069800,29543,29543
1477071600,29530,29530
1477075200,29522,29522
1477078800,29522,29522
1477081200,29528,29528
1477082401,29487,29487
1477084200,29494,29494
1477086001,29427,29427
1477088400,29440,29440
1477089601,29381,29381
1477093200,29309,29309
1477096800,29234,29234
1477100400,29162,29162
1477104000,29076,29076
1477107601,29012,29012
1477111200,28911,28911
1477114800,28857,28857
1477116600,28858,28858
1477118400,28876,28876
1477120200,28883,28883
1477122001,28886,28886
1477125600,28921,28921
1477127401,28918,28918
1477129200,28961,28961
1477132800,28976,28976
1477136400,29005,29005
1477140000,29024,29024
1477143600,29048,29048
1477147200,29069,29069
1477150800,29104,29104
1477154401,29111,29111
1477158000,29126,29126
1477161601,29132,29132
1477165201,29136,29136
1477168801,29148,29148
1477172400,29159,29159
1477176000,29178,29178
1477179600,29188,29188
1477183200,29193,29193
1477186800,29190,29190
1477190401,29180,29180
1477194000,29161,29161
1477197601,29164,29164
1477201200,29154,29154
1477204801,29154,29154
1477208401,29136,29136
1477212001,29122,29122
1477215600,29103,29103
1477219200,29073,29073
1477222800,29067,29067
1477226400,29055,29055
1477230000,29053,29053
1477233600,29050,29050
1477237201,29049,29049
1477240801,29051,29051
1477244400,29037,29037
1477248001,29031,29031
1477251601,29035,29035
1477255201,29042,29042
1477259400,29031,29031
1477262400,29034,29034
1477266000,29032,29032
1477269600,29043,29043
1477273200,29033,29033
1477276800,29031,29031
1477280400,29022,29022
1477284000,29014,29014
1477287600,29040,29040
1477291200,29067,29067
1477294800,29082,29082
1477298400,29100,29100
1477302000,29111,29111
1477305600,29310,29310
1477309200,29549,29549
1477312800,29627,29627
1477316402,29744,29744
1477320000,29931,29931
1477323600,30009,30009
1477327200,30100,30100
1477330800,30205,30205
1477334400,30334,30334
1477336200,30337,30337
1477338000,30513,30513
1477341600,30565,30565
1477344000,30567,30567
1477349400,30694,30694
1477352400,30795,30795
1477356000,30861,30861
1477357800,30899,30899
1477359601,30944,30944
1477361401,30968,30968
1477363201,30959,30959
1477365000,30974,30974
1477366800,30988,30988
1477368600,30998,30998
1477370400,31008,31008
1477372201,31016,31016
1477374000,30990,30990
1477375800,31015,31015
1477377600,31007,31007
1477380000,31027,31027
1477381200,31020,31020
1477383001,31037,31037
1477384800,31031,31031
1477386600,31049,31049
1477388400,31021,31021
1477390201,31032,31032
1477392000,31013,31013
1477393800,31024,31024
1477395600,31037,31037
1477399200,31049,31049
1477402800,31055,31055
1477406400,31105,31105
1477410000,31171,31171
1477413600,31234,31234
1477417200,31319,31319
1477420800,31375,31375
1477424400,31512,31512
1477428000,31672,31672
1477431600,31784,31784
1477433401,31798,31798
1477435201,31965,31965
1477438800,32135,32135
1477440600,32134,32134
1477442400,32311,32311
1477446001,32506,32506
1477449600,32639,32639
1477451400,32670,32670
1477453200,32838,32838
1477456800,32969,32969
1477458601,33042,33042
1477460400,33235,33235
1477462201,33289,33289
1477464000,33400,33400
1477465800,33453,33453
1477467600,33432,33432
1477470000,33453,33453
1477471200,33423,33423
1477473600,33438,33438
1477474800,33386,33386
1477476601,33410,33410
1477478400,33364,33364
1477480201,33378,33378
1477482001,33907,33907
1477483800,34073,34073
1477485601,34259,34259
1477487401,34395,34395
1477489200,34999,34999
1477491001,35234,35234
1477492801,35340,35340
1477494600,35429,35429
1477496400,35481,35481
1477498200,35618,35618
1477500000,35696,35696
1477501800,35833,35833
1477503601,35927,35927
1477505400,36058,36058
1477507201,36075,36075
1477509001,36203,36203
1477510800,36176,36176
1477513200,36211,36211
1477514400,36242,36242
1477516200,36340,36340
1477518000,36295,36295
1477519800,36338,36338
1477521600,36295,36295
1477523400,36334,36334
1477525200,36299,36299
1477527001,36335,36335
1477528800,36314,36314
1477530601,36351,36351
1477532401,36328,36328
1477534801,36349,36349
1477536000,36323,36323
1477537800,36367,36367
1477539600,36336,36336
1477541400,36377,36377
1477543201,36341,36341
1477545001,36393,36393
1477546801,36371,36371
1477548600,36402,36402
1477550400,36356,36356
1477552200,36395,36395
1477554000,36380,36380
1477555800,36410,36410
1477557601,36378,36378
1477559400,36412,36412
1477561200,36560,36560
1477563600,36630,36630
1477564800,37075,37075
1477567201,37337,37337
1477568401,37605,37605
1477570200,37738,37738
1477572000,38246,38246
1477573800,38545,38545
1477575600,38865,38865
1477577401,39029,39029
1477579200,39249,39249
1477581000,39812,39812
1477582801,39926,39926
1477584600,40041,40041
1477586400,40077,40077
1477588200,40216,40216
1477590000,40197,40197
1477592400,40235,40235
1477593600,40226,40226
1477595400,40291,40291
1477597800,40246,40246
1477599001,40332,40332
1477600800,40369,40369
1477602600,40508,40508
1477604400,40565,40565
1477606200,40693,40693
1477608000,40770,40770
1477610401,40864,40864
1477611601,40888,40888
1477613401,40975,40975
1477615200,41006,41006
1477617000,41116,41116
1477618800,41193,41193
1477620601,41318,41318
1477622401,41390,41390
1477624200,41546,41546
1477626000,41603,41603
1477627800,41741,41741
1477629601,41795,41795
1477632001,41913,41913
1477633200,41999,41999
1477635001,42127,42127
1477636801,42166,42166
1477638600,42320,42320
1477640400,42302,42302
1477642200,42352,42352
1477644000,42310,42310
1477646400,42352,42352
1477647600,42330,42330
1477649401,42393,42393
1477651201,42516,42516
1477653000,42656,42656
1477654800,43131,43131
1477657201,43529,43529
1477658401,43889,43889
1477660800,44335,44335
1477662000,44569,44569
1477663800,44830,44830
1477665600,44950,44950
1477667400,45144,45144
1477669200,45243,45243
1477671000,45367,45367
1477672800,45431,45431
1477674600,45611,45611
1477676401,45610,45610
1477678200,45665,45665
1477680001,45662,45662
1477681800,45719,45719
1477683600,45717,45717
1477686000,45761,45761
1477687201,45755,45755
1477689000,45817,45817
1477690800,45802,45802
1477692601,45861,45861
1477694400,45857,45857
1477696200,45887,45887
1477698000,45870,45870
1477699801,45912,45912
1477701600,45870,45870
1477703400,45915,45915
1477705200,45876,45876
1477707001,45902,45902
1477708800,45837,45837
1477710601,45875,45875
1477712400,45814,45814
1477714200,45850,45850
1477716000,45791,45791
1477717800,45807,45807
1477719600,45746,45746
1477721400,45770,45770
1477723201,45724,45724
1477725000,45740,45740
1477726801,45717,45717
1477728600,45729,45729
1477730400,45660,45660
1477732800,45687,45687
1477734001,45608,45608
1477735801,45633,45633
1477737600,45568,45568
1477739400,45597,45597
1477741800,45526,45526
1477744800,45461,45461
1477746600,45472,45472
1477748400,45403,45403
1477752000,45386,45386
1477755600,45359,45359
1477759200,45338,45338
1477762800,45320,45320
1477766400,45307,45307
1477770001,45284,45284
1477773601,45272,45272
1477777200,45248,45248
1477780800,45242,45242
1477784400,45237,45237
1477788001,45220,45220
1477791600,45199,45199
1477795200,45181,45181
1477798800,45176,45176
1477800600,45177,45177
1477802400,45173,45173
1477806001,45156,45156
1477809601,45146,45146
1477813200,45162,45162
1477816800,45170,45170
1477818600,45169,45169
1477820400,45132,45132
1477824000,45072,45072
1477827601,45001,45001
1477831200,44989,44989
1477834800,44986,44986
1477838400,44950,44950
1477842001,44931,44931
1477845600,44935,44935
1477849201,44927,44927
1477852801,44935,44935
1477856401,44943,44943
1477860000,44966,44966
1477863600,44970,44970
1477867200,44968,44968
1477870800,44993,44993
1477874400,45012,45012
1477878000,45019,45019
1477881600,45009,45009
1477885200,45020,45020
1477888800,45035,45035
1477892400,45064,45064
1477896000,45062,45062
1477899600,45101,45101
1477903200,45117,45117
1477905001,45116,45116
1477906800,45140,45140
1477910400,45307,45307
1477914000,45491,45491
1477917600,45680,45680
1477919401,45680,45680
1477921200,45931,45931
1477923000,45932,45932
1477924800,46170,46170
1477928401,46356,46356
1477930201,46445,46445
1477932000,46626,46626
1477933800,46741,46741
1477935601,46703,46703
1477939201,46680,46680
1477942800,46639,46639
1477946400,46601,46601
1477948201,46603,46603
1477950000,46560,46560
1477953600,46527,46527
1477957200,46494,46494
1477960801,46470,46470
1477964400,46425,46425
1477968000,46369,46369
1477971600,46308,46308
1477975200,46245,46245
1477978800,46185,46185
1477982400,46147,46147
1477986000,46092,46092
1477989601,46037,46037
1477991401,46038,46038
1477993200,45974,45974
1477996800,45929,45929
1478000400,45862,45862
1478004000,45813,45813
1478007600,45769,45769
1478011201,45709,45709
1478014801,45654,45654
1478018401,45233,45233
1478022000,45196,45196
1478025600,45158,45158
1478029200,45125,45125
1478032801,45100,45100
1478036400,45060,45060
1478040600,45021,45021
1478043600,44983,44983
1478047200,44942,44942
1478050800,44908,44908
1478054401,44869,44869
1478058000,44826,44826
1478059800,44825,44825
1478061600,44772,44772
1478065201,44721,44721
