DateTime,Entries,UniqueIPs
1476352451,2590,2672
1476356592,2589,2671
1476360192,2587,2670
1476367391,2587,2670
1476374592,2586,2669
1476378194,2586,2669
1476381791,2580,2663
1476388452,2577,2660
1476392591,2575,2658
1476396312,2574,2658
1476403392,2570,2654
1476410593,2571,2655
1476414192,2566,2650
1476417312,2567,2651
1476421392,2566,2650
1476424994,2563,2647
1476427992,2566,2650
1476432193,2566,2650
1476435793,2566,2650
1476439392,2567,2651
1476442994,2566,2650
1476446112,2570,2654
1476450192,2571,2655
1476453973,2565,2649
1476457393,2565,2649
1476460993,2566,2650
1476464596,2568,2652
1476468194,2570,2654
1476471794,2567,2651
1476478933,2566,2650
1476482593,2567,2651
1476483013,2565,2649
1476489797,2563,2646
1476493333,2561,2645
1476496993,2562,2646
1476500593,2554,2638
1476503715,2557,2641
1476504194,2553,2637
1476507794,2552,2636
1476511395,2555,2639
1476511813,2554,2638
1476518593,2556,2640
1476522135,2557,2641
1476525738,2557,2643
1476529397,2557,2643
1476536594,2559,2645
1476540194,2556,2642
1476547333,2554,2640
1476550996,2558,2644
1476554594,2553,2639
1476558195,2555,2641
1476561314,2553,2639
1476565395,2549,2635
1476568994,2554,2640
1476569414,2552,2638
1476572534,2553,2639
1476576196,2552,2638
1476579735,2548,2634
1476583394,2549,2635
1476586994,2541,2627
1476590054,2544,2630
1476594194,2542,2628
1476597795,2543,2629
1476598214,2547,2633
1476601394,2548,2634
1476604996,2551,2637
1476608294,2552,2638
1476608541,2550,2636
1476612134,2552,2638
1476615796,2554,2640
1476618855,2556,2641
1476622936,2558,2643
1476626596,2557,2642
1476627017,2559,2644
1476630196,2560,2645
1476633796,2560,2645
1476637397,2559,2644
1476640996,2563,2648
1476644596,2558,2643
1476647715,2560,2645
1476648135,2561,2646
1476651795,2561,2646
1476655400,2561,2645
1476655638,2559,2643
1476658940,2562,2646
1476662541,2565,2650
1476666199,2565,2650
1476669740,2559,2644
1476673398,2564,2649
1476676459,2561,2646
1476680598,2556,2641
1476684199,2557,2642
1476687198,2556,2641
1476687798,2557,2642
