DateTime,Entries,UniqueIPs
1476474913,1021,1021
1476478933,1022,1022
1476482593,1021,1021
1476483013,1021,1021
1476486194,1018,1018
1476489797,1021,1021
1476493333,1024,1024
1476496993,1024,1024
1476500593,1024,1024
1476503715,1024,1024
1476507794,1024,1024
1476511395,1025,1025
1476511813,1026,1026
1476514995,1025,1025
1476518593,1027,1027
1476522135,1024,1024
1476525738,1025,1025
1476529397,1026,1026
1476532453,1027,1027
1476536594,1029,1029
1476540194,1026,1026
1476540613,1025,1025
1476550996,1023,1023
1476554594,1027,1027
1476558195,1026,1026
1476561314,1026,1026
1476565395,1024,1024
1476568994,1030,1030
1476569414,1028,1028
1476572534,1030,1030
1476576196,1030,1030
1476579735,1027,1027
1476583394,1027,1027
1476586994,1026,1026
1476590054,1025,1025
1476594194,1025,1025
1476597795,1027,1027
1476598214,1027,1027
1476601394,1029,1029
1476604996,1026,1026
1476608294,1026,1026
1476612134,1029,1029
1476615796,1030,1030
1476618855,1030,1030
1476619395,1030,1030
1476622936,1033,1033
1476626596,1032,1032
1476627017,1034,1034
1476630196,1035,1035
1476633796,1034,1034
1476637397,1034,1034
1476640996,1038,1038
1476644596,1039,1039
1476647715,1040,1040
1476648135,1041,1041
1476651795,1042,1042
1476655400,1043,1043
1476655638,1042,1042
1476658940,1045,1045
1476662541,1048,1048
1476666199,1046,1046
1476669740,1050,1050
1476673398,1052,1052
1476676459,1052,1052
1476680598,1050,1050
1476684199,1048,1048
1476687198,1049,1049
1476687798,1049,1049
1476691398,1047,1047
1476694998,1050,1050
1476698542,1050,1050
1476702144,1052,1052
1476705319,1052,1052
1476709342,1052,1052
1476712999,1050,1050
1476713419,1052,1052
1476716599,1051,1051
1476720199,1054,1054
1476723801,1053,1053
1476727401,1050,1050
1476730999,1054,1054
1476734059,1056,1056
1476734660,1054,1054
1476738319,1055,1055
1476741259,1057,1057
1476741919,1054,1054
1476745340,1051,1051
1476748639,1050,1050
1476748999,1047,1047
1476752599,1048,1048
1476756320,1042,1042
1476759801,1043,1043
1476763401,1042,1042
1476766460,1042,1042
1476767000,1039,1039
1476770720,1041,1041
1476774141,1042,1042
1476777800,1040,1040
1476781400,1042,1042
1476784460,1044,1044
1476785000,1043,1043
1476788600,1041,1041
1476792204,1038,1038
1476792620,1038,1038
1476799400,1040,1040
1476806600,1040,1040
1476810144,1039,1039
1476810561,1038,1038
1476813800,1039,1039
1476817402,1037,1037
1476820520,1038,1038
1476824602,1036,1036
