DateTime,AddedIPs,RemovedIPs
1475055181,1,0
1475058781,0,2
1475065981,1,0
1475073181,0,2
1475076781,1,1
1475080381,3,0
1475091181,5,0
1475098382,1,3
1475101981,7,0
1475105581,0,3
1475109181,2,0
1475116381,0,2
1475119981,0,2
1475123581,1,0
1475127182,4,0
1475145181,2,2
1475148781,1,0
1475166781,2,0
1475170381,2,1
1475173981,0,3
1475177581,1,0
1475181181,2,3
1475188381,0,2
1475191981,2,0
1475195581,1,1
1475202781,0,4
1475206381,0,1
1475217181,1,2
1475224381,1,1
1475238781,1,0
1475245981,1,1
1475253181,1,0
1475260381,0,4
1475267581,1,3
1475278381,0,7
1475281981,1,0
1475285581,0,1
1475292781,1,1
1475299981,3,1
1475303581,0,2
1475310781,1,0
1475314381,3,0
1475317981,0,5
1475321581,2,0
1475325181,2,0
1475328781,2,8
1475335981,1,1
1475343181,3,2
1475350381,4,0
1475353981,3,0
1475357581,0,1
1475364781,0,2
1475368381,4,0
1475371981,2,2
1475379182,1,1
1475382781,1,0
1475397181,0,3
1475400782,0,1
1475404381,5,0
1475411581,0,2
1475425981,0,3
1475433181,1,0
1475440381,0,6
1475447581,2,0
1475451181,1,0
1475461981,0,2
1475469181,3,4
1475472781,2,0
1475487181,2,0
1475490782,0,1
1475494381,4,0
1475497981,1,3
1475508782,2,1
1475512381,0,1
1475515981,3,1
1475519581,1,0
1475537581,0,2
1475541181,1,1
1475548381,1,1
1475559182,0,1
1475562781,3,0
1475569981,4,0
1475584381,1,1
1475591581,0,3
1475609581,0,1
1475613182,0,1
1475623981,0,2
1475627581,0,1
1475638381,0,2
1475645581,1,0
1475656381,0,2
1475659981,0,3
1475677981,0,3
1475681581,2,1
1475685182,1,0
1475692381,1,3
1475695981,1,1
1475699581,0,5
1475703181,2,0
1475706781,1,2
1475713981,2,1
1475724781,0,1
1475728382,1,0
1475735581,1,1
1475746382,1,1
1475749982,1,1
1475764381,0,2
1475767982,1,0
1475785981,1,0
1475793181,0,1
1475800381,2,1
1475807581,0,6
1475811181,4,0
1475825581,1,0
1475829181,0,1
1475832781,1,2
1475836381,1,0
1475843581,0,1
1475850781,0,1
1475854381,1,0
1475861581,0,1
1475865181,1,1
1475868781,1,0
1475872381,0,2
1475879581,1,0
1475886781,0,6
1475897581,1,0
1475901181,0,1
1475911981,0,1
1475922781,4,2
1475929981,1,0
1475944381,2,2
1475947981,2,0
1475951582,0,3
1475958781,0,2
1475962381,2,2
1475965981,1,0
1475973181,1,1
1475987582,2,1
1476001982,1,0
1476005582,1,1
1476012781,5,0
1476016381,0,3
1476019981,1,0
1476023581,0,1
1476030781,3,1
1476037982,2,2
1476052381,3,1
1476063181,1,1
1476070382,1,0
1476077582,0,2
1476081181,3,3
1476091982,0,2
1476102781,0,8
1476109981,0,1
1476117181,1,0
1476120781,1,0
1476124381,0,4
1476131581,1,0
1476135181,0,2
1476138781,1,0
1476145981,0,1
1476149581,1,2
1476153181,2,1
1476160381,1,0
1476163981,2,1
1476171182,1,0
1476174781,0,1
1476181981,0,1
1476189181,2,0
1476192781,0,3
1476196381,0,3
1476199981,1,1
1476210781,3,3
1476214381,1,0
1476221582,1,0
1476225181,2,2
1476232381,1,1
1476235981,1,0
1476246781,1,0
1476253981,2,0
1476261182,0,2
1476264781,0,1
1476275581,1,2
1476279181,1,0
1476282781,0,1
1476286381,1,0
1476289981,2,1
1476297181,1,4
1476300781,2,0
1476304381,0,2
1476307982,2,0
1476311582,1,2
1476325981,0,2
1476329581,1,0
1476333181,2,0
1476340381,1,4
1476351181,1,0
1476354781,2,0
1476361981,1,0
1476365581,1,0
1476372782,0,1
1476376381,4,0
1476379981,0,3
1476383581,1,0
1476390782,0,5
1476394381,1,0
1476397981,1,0
1476405181,0,1
1476408781,1,0
1476412381,0,3
1476415981,0,1
1476419581,1,2
1476423181,1,0
1476430381,1,0
1476444781,1,0
1476448382,0,2
1476451981,2,0
1476455581,1,2
1476459181,0,1
1476462781,2,0
1476466381,4,0
1476473581,2,0
1476477182,0,2
1476480781,1,5
1476484382,1,1
1476487981,1,0
1476498781,1,2
1476505981,1,0
1476513181,0,3
1476516781,2,0
1476520381,2,0
1476531181,0,2
1476538381,0,3
1476541981,4,1
1476545581,0,2
1476549181,1,0
1476552781,0,1
1476559981,2,2
1476567181,0,1
1476577981,0,4
1476585181,2,0
1476588781,0,2
1476592381,3,0
1476595981,2,0
1476599581,0,2
1476617581,1,1
1476621181,0,1
1476628381,0,4
1476635581,9,1
1476639181,7,0
1476642781,0,2
1476646381,2,0
1476649981,3,2
1476653581,0,2
1476657181,3,0
1476664381,1,0
1476671581,2,2
1476678781,1,0
1476685982,0,1
1476689581,0,1
1476696782,0,1
1476700382,2,0
1476703981,0,2
1476707581,3,1
1476711181,1,0
1476714781,0,1
1476718381,4,1
1476721982,0,2
1476725582,2,0
1476729181,0,4
1476732781,3,0
1476736381,0,2
1476743581,0,7
1476747181,2,0
1476754381,2,0
1476757981,0,2
1476765181,0,2
1476768781,1,0
1476772381,0,1
1476779582,0,1
1476783181,0,2
1476808381,0,2
1476811981,0,3
1476815581,0,4
1476822781,4,1
1476826381,2,0
1476829981,0,2
1476833581,1,1
1476837181,0,3
1476840781,0,5
1476851582,0,2
1476855181,1,0
1476858781,2,1
1476865981,0,2
1476873181,0,1
1476880381,4,0
1476887581,1,1
1476894781,0,4
1476898381,3,0
1476901981,1,3
1476905581,0,4
1476909181,1,0
1476916381,0,4
1476919981,0,1
1476930781,0,1
1476934382,0,1
1476937981,1,0
1476945181,1,0
1476952381,1,0
1476955981,0,2
1476959581,0,1
1476966781,2,0
1476970381,0,2
1476973981,3,1
1476977581,0,1
1476984781,6,1
1476988381,3,2
1476991981,0,1
1476995581,1,0
1477002781,0,5
1477006381,4,0
1477013582,0,2
1477017181,2,0
1477020781,0,3
1477027981,0,3
1477031581,1,0
1477035181,3,0
1477042381,0,1
1477045981,0,2
1477049581,3,0
1477056781,1,0
1477060381,0,1
1477063981,2,0
1477067581,0,1
1477071181,3,0
1477081981,1,2
1477085581,1,0
1477089181,0,2
1477092781,0,1
1477096381,1,0
1477103581,1,2
1477117982,0,3
1477121581,1,0
1477128781,2,1
1477132381,1,0
1477135981,1,0
1477143181,0,1
1477153981,4,0
1477161181,3,3
1477164782,1,0
1477168381,0,1
1477179181,1,1
1477186381,3,0
1477193581,0,2
1477197181,2,0
1477200781,1,0
1477204381,0,2
1477207981,2,0
1477211581,0,1
1477215181,1,0
1477218781,0,2
1477222381,3,0
1477225981,2,0
1477233181,1,4
1477243981,1,0
1477247581,0,1
1477254781,1,0
1477258382,0,4
1477261981,0,1
