DateTime,AddedIPs,RemovedIPs
1475303581,7,8
1475310781,9,6
1475314381,15,11
1475321581,6,11
1475325181,4,2
1475328781,13,8
1475335981,7,9
1475339581,13,13
1475343181,7,5
1475350381,11,11
1475353981,12,11
1475357581,8,9
1475364781,8,8
1475368381,8,7
1475371981,6,5
1475379182,15,17
1475382781,7,10
1475389981,7,5
1475393581,7,5
1475400782,4,5
1475404381,13,13
1475411581,4,4
1475415181,14,16
1475422381,8,9
1475425981,2,1
1475429581,12,17
1475433181,8,6
1475436782,1,0
1475440381,8,7
1475443981,9,8
1475447581,7,7
1475451181,10,10
1475458381,5,7
1475469181,10,10
1475472781,8,7
1475476381,11,11
1475483581,6,8
1475487181,18,15
1475494381,12,10
1475497981,10,9
1475505181,5,3
1475508782,8,11
1475515981,10,12
1475519581,12,12
1475526781,15,14
1475530381,9,6
1475537581,5,4
1475541181,12,13
1475548381,7,8
1475551981,10,9
1475559182,7,6
1475562781,14,18
1475569981,18,16
1475573581,6,6
1475580781,5,3
1475584381,6,9
1475587981,2,3
1475595181,7,9
1475598781,12,11
1475605981,11,9
1475609581,3,5
1475613182,5,6
1475616781,10,8
1475623981,8,9
1475627581,8,9
1475634781,5,5
1475638381,4,4
1475645581,19,16
1475649181,9,8
1475656381,12,15
1475659981,5,5
1475667182,6,5
1475670781,10,13
1475677981,7,8
1475681581,11,8
1475685182,6,6
1475688782,8,6
1475692381,3,4
1475695981,7,9
1475703181,9,6
1475706781,10,11
1475713981,10,12
1475717581,11,12
1475724781,6,5
1475728382,5,5
1475735581,8,7
1475739181,5,5
1475746382,7,7
1475749982,3,5
1475757182,9,10
1475760781,2,2
1475767982,8,7
1475771581,7,7
1475775181,3,3
1475782381,6,7
1475785981,9,6
1475789581,7,8
1475793181,9,8
1475800381,8,6
1475803981,1,2
1475811181,17,17
1475814781,8,8
1475821981,5,5
1475825581,5,6
1475832781,16,16
1475836381,8,9
1475843581,8,10
1475847181,15,15
1475854381,6,6
1475857981,6,6
1475865181,8,7
1475868781,12,10
1475875981,8,7
1475879581,7,6
1475886781,11,8
1475890381,3,4
1475897581,7,9
1475901181,7,8
1475908382,15,14
1475911981,5,3
1475919182,2,6
1475922781,14,15
1475929981,7,8
1475933581,7,6
1475940781,6,4
1475944381,14,13
1475947981,15,12
1475955181,8,9
1475958781,8,9
1475962381,15,13
1475965981,7,5
1475973181,8,11
1475980381,11,10
1475987582,12,10
1475994781,12,9
1476001982,8,11
1476005582,10,9
1476012781,9,12
1476019981,14,16
1476027182,6,7
1476030781,9,10
1476037982,14,13
1476041581,3,4
1476048781,10,9
1476052381,10,9
1476059581,13,13
1476063181,8,6
1476070382,4,5
1476073981,7,7
1476081181,8,7
1476084781,11,16
1476091982,9,7
1476095581,12,9
1476102781,8,11
1476109981,7,7
1476117181,7,9
1476120781,11,8
1476127981,12,11
1476131581,11,15
1476138781,10,7
1476142381,7,8
1476149581,12,13
1476153181,9,8
1476160381,9,9
1476163981,10,10
1476171182,13,10
1476174781,9,11
1476178382,6,6
1476181981,7,6
1476189181,6,7
1476192781,4,5
1476199981,15,13
1476203581,7,5
1476210781,14,19
1476214381,6,5
1476221582,7,7
1476225181,11,12
1476232381,7,6
1476235981,7,6
1476243181,6,11
1476246781,12,13
1476253981,9,7
1476257581,8,6
1476264781,11,11
1476268382,6,5
1476275581,13,14
1476279181,3,5
1476286381,12,12
1476289981,8,8
1476297181,10,9
1476300781,14,11
1476307982,9,10
1476311582,14,13
1476318781,11,10
1476322382,6,8
1476329581,6,8
1476333181,10,6
1476340381,12,13
1476343982,12,14
1476351181,9,10
1476354781,9,9
1476361981,10,10
1476365581,12,13
1476372782,7,8
1476376381,17,15
1476383581,5,6
1476387181,9,10
1476394381,5,5
1476397981,18,17
1476405181,5,7
1476408781,7,6
1476412381,14,13
1476419581,9,8
1476423181,14,13
1476430381,8,9
1476433981,13,11
1476441181,8,5
1476444781,4,5
1476451981,20,22
1476455581,7,6
1476462781,10,14
1476466381,10,8
1476473581,11,15
1476480781,6,7
1476484382,10,9
1476487981,14,11
1476495181,7,5
1476498781,8,11
1476505981,7,7
1476509581,16,15
1476516781,9,9
1476520381,8,9
1476527581,16,14
1476531181,8,9
1476538381,8,7
1476541981,8,9
1476549181,9,8
1476552781,11,13
1476559981,7,7
1476563581,14,11
1476570781,2,2
1476574381,12,13
1476581581,6,7
1476585181,12,14
1476592381,14,7
1476595981,9,15
1476603181,6,7
1476606781,9,9
1476613981,10,11
1476617581,14,13
1476624781,6,9
1476628381,8,7
